# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.287
metadata : {}


# id : NWRW1800000033.287.1.1
[오늘과 내일/이형삼]K메디컬의 판 키우기

[오늘과	[/SS+오늘/NNG+과/JC
내일/이형삼]K메디컬의	내일/NNG+//SP+이형삼/NNP+]/SS+K/SL+메디컬/NNG+의/JKG
판	판/NNG
키우기	키우/VV+기/ETN


# id : NWRW1800000033.287.2.1
외국인이 많이 찾는 서울 강남의 한 성형외과 원장은 “언어 장벽보다 힘든 게 문화 차이”라고 털어놨다.

외국인이	외국인/NNG+이/JKS
많이	많이/MAG
찾는	찾/VV+는/ETM
서울	서울/NNP
강남의	강남/NNP+의/JKG
한	한/MMN
성형외과	성형외과/NNG
원장은	원장/NNG+은/JX
“언어	“/SS+언어/NNG
장벽보다	장벽/NNG+보다/JKB
힘든	힘들/VA+ㄴ/ETM
게	거/NNB+이/JKS
문화	문화/NNG
차이”라고	차이/NNG+”/SS+라고/JKQ
털어놨다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.287.2.2
한국 환자는 최신 성형 정보를 꿰뚫고 있어 상담 과정이 학술토론을 방불케 한다.

한국	한국/NNP
환자는	환자/NNG+는/JX
최신	최신/NNG
성형	성형/NNG
정보를	정보/NNG+를/JKO
꿰뚫고	꿰뚫/VV+고/EC
있어	있/VX+어/EC
상담	상담/NNG
과정이	과정/NNG+이/JKS
학술토론을	학술/NNG+토론/NNG+을/JKO
방불케	방불하/VA+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.287.2.3
‘귀족수술(팔자주름 제거술)이 좋겠다’는 식으로 주문도 구체적이다.

‘귀족수술(팔자주름	‘/SS+귀족/NNG+수술/NNG+(/SS+팔자/NNG+주름/NNG
제거술)이	제거술/NNG+)/SS+이/JKS
좋겠다’는	좋/VA+겠/EP+다/EF+’/SS+는/ETM
식으로	식/NNB+으로/JKB
주문도	주문/NNG+도/JX
구체적이다.	구체/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.287.2.4
중국 환자는 성형에 대한 환상은 크지만 ‘디테일’엔 약하다.

중국	중국/NNP
환자는	환자/NNG+는/JX
성형에	성형/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
환상은	환상/NNG+은/JX
크지만	크/VA+지만/EC
‘디테일’엔	‘/SS+디테일/NNG+’/SS+에/JKB+ㄴ/JX
약하다.	약하/VA+다/EF+./SF


# id : NWRW1800000033.287.2.5
막연한 요구에 살을 잘 붙여 대안을 제시해야 수술 결과가 기대치에 어긋나지 않는다.

막연한	막연하/VA+ㄴ/ETM
요구에	요구/NNG+에/JKB
살을	살/NNG+을/JKO
잘	잘/MAG
붙여	붙이/VV+어/EC
대안을	대안/NNG+을/JKO
제시해야	제시/NNG+하/XSV+아야/EC
수술	수술/NNG
결과가	결과/NNG+가/JKS
기대치에	기대/NNG+치/XSN+에/JKB
어긋나지	어긋나/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000033.287.2.6
일본 환자는 뒷말이 없다.

일본	일본/NNP
환자는	환자/NNG+는/JX
뒷말이	뒷말/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.287.2.7
