# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.246
metadata : {}


# id : NWRW1800000052.246.1.1
“박 대통령 올케 서향희, 철거왕 이금열 사건에 개입”

“박	“/SS+박/NNP
대통령	대통령/NNG
올케	올케/NNG
서향희,	서향희/NNP+,/SP
철거왕	철거/NNG+왕/NNG
이금열	이금열/NNP
사건에	사건/NNG+에/JKB
개입”	개입/NNG+”/SS


# id : NWRW1800000052.246.2.1
<뉴스타파> 의혹 제기

<뉴스타파>	</SS+뉴스타파/NNP+>/SS
의혹	의혹/NNG
제기	제기/NNG


# id : NWRW1800000052.246.3.1
2013년 도피중 이금열에 법무법인 연결

2013년	2013/SN+년/NNB
도피중	도피/NNG+중/NNB
이금열에	이금열/NNP+에/JKB
법무법인	법무/NNG+법인/NNG
연결	연결/NNG


# id : NWRW1800000052.246.4.1
청와대 민정수석실서 경고했던 사실 확인

청와대	청와대/NNP
민정수석실서	민정/NNG+수석실/NNG+서/JKB
경고했던	경고/NNG+하/XSV+았/EP+던/ETM
사실	사실/NNG
확인	확인/NNG


# id : NWRW1800000052.246.5.1
“2014년 청와대서 유출 문건에도 내용 포함”

“2014년	“/SS+2014/SN+년/NNB
청와대서	청와대/NNP+서/JKB
유출	유출/NNG
문건에도	문건/NNG+에/JKB+도/JX
내용	내용/NNG
포함”	포함/NNG+”/SS


# id : NWRW1800000052.246.6.1
우병우 ‘정윤회 사건’ 당시 알았을 가능성

우병우	우병우/NNP
‘정윤회	‘/SS+정윤회/NNP
사건’	사건/NNG+’/SS
당시	당시/NNG
알았을	알/VV+았/EP+을/ETM
가능성	가능/NNG+성/XSN


# id : NWRW1800000052.246.7.1
박근혜 대통령의 올케인 서향희 변호사가 2013년 검찰 수사를 피해 도피 중이던 ‘철거왕’ 이금열 사건에 개입했다는 언론보도가 나왔다.

박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
올케인	올케/NNG+이/VCP+ㄴ/ETM
서향희	서향희/NNP
변호사가	변호사/NNG+가/JKS
2013년	2013/SN+년/NNB
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
피해	피하/VV+아/EC
도피	도피/NNG
중이던	중/NNB+이/VCP+던/ETM
‘철거왕’	‘/SS+철거/NNG+왕/NNG+’/SS
이금열	이금열/NNP
사건에	사건/NNG+에/JKB
개입했다는	개입/NNG+하/XSV+았/EP+다는/ETM
언론보도가	언론/NNG+보도/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.246.7.2
이 보도는 서 변호사가 당시 김수남 수원지검장(현 검찰총장)을 만났다는 말이 나왔고 당시 청와대 민정수석실에서 서 변호사에게 경고했다는 사실도 드러났다고 전했다.

이	이/MMD
보도는	보도/NNG+는/JX
서	서/NNP
변호사가	변호사/NNG+가/JKS
당시	당시/NNG
김수남	김수남/NNP
수원지검장(현	수원지검장/NNG+(/SS+현/MMD
검찰총장)을	검찰/NNG+총장/NNG+)/SS+을/JKO
만났다는	만나/VV+았/EP+다는/ETM
말이	말/NNG+이/JKS
나왔고	나오/VV+았/EP+고/EC
청와대	청와대/NNP
민정수석실에서	민정/NNG+수석실/NNG+에서/JKB
변호사에게	변호사/NNG+에게/JKB
경고했다는	경고/NNG+하/XSV+았/EP+다는/ETM
사실도	사실/NNG+도/JX
드러났다고	드러나/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.246.8.1
25일 탐사저널리즘을 표방하는 인터넷 매체 <뉴스타파> 보도에 따르면, 서 변호사는 2013년 5월 검찰 수사를 피해 도피 중이던 이 회장을 서울 강남구 청담동의 리베라서울호텔의 식당에서 만났다.

25일	25/SN+일/NNB
탐사저널리즘을	탐사/NNG+저널리즘/NNG+을/JKO
표방하는	표방/NNG+하/XSV+는/ETM
인터넷	인터넷/NNG
매체	매체/NNG
<뉴스타파>	</SS+뉴스타파/NNP+>/SS
보도에	보도/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
서	서/NNP
변호사는	변호사/NNG+는/JX
2013년	2013/SN+년/NNB
5월	5/SN+월/NNB
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
피해	피하/VV+아/EC
도피	도피/NNG
중이던	중/NNB+이/VCP+던/ETM
이	이/NNP
회장을	회장/NNG+을/JKO
서울	서울/NNP
강남구	강남구/NNP
청담동의	청담동/NNP+의/JKG
리베라서울호텔의	리베라서울호텔/NNP+의/JKG
식당에서	식당/NNG+에서/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.246.8.2
이 자리엔 호텔의 소유주이자 두 사람의 만남을 주선한 박순석 신안그룹 회장도 동석했다.

이	이/MMD
자리엔	자리/NNG+에/JKB+ㄴ/JX
호텔의	호텔/NNG+의/JKG
소유주이자	소유주/NNG+이/VCP+자/EC
두	두/MMN
사람의	사람/NNG+의/JKG
만남을	만남/NNG+을/JKO
주선한	주선/NNG+하/XSV+ㄴ/ETM
박순석	박순석/NNP
신안그룹	신안그룹/NNP
회장도	회장/NNG+도/JX
동석했다.	동석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.246.8.3
이 자리에서 서 변호사는 이 회장에게 사건 해결을 약속하고, 자신과 같이 일하던 변호사가 대표로 있는 법무법인을 연결해줬다.

이	이/NNP
자리에서	자리/NNG+에서/JKB
서	서/NNP
변호사는	변호사/NNG+는/JX
회장에게	회장/NNG+에게/JKB
사건	사건/NNG
해결을	해결/NNG+을/JKO
약속하고,	약속/NNG+하/XSV+고/EC+,/SP
자신과	자신/NNG+과/JKB
같이	같이/MAG
일하던	일/NNG+하/XSV+던/ETM
변호사가	변호사/NNG+가/JKS
대표로	대표/NNG+로/JKB
있는	있/VA+는/ETM
법무법인을	법무/NNG+법인/NNG+을/JKO
연결해줬다.	연결/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.246.8.4
수임료와 관련해 양쪽의 의견을 전달하는 역할도 맡았다.

수임료와	수임료/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
양쪽의	양쪽/NNG+의/JKG
의견을	의견/NNG+을/JKO
전달하는	전달/NNG+하/XSV+는/ETM
역할도	역할/NNG+도/JX
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.246.9.1
이금열 다원그룹 회장은 철거업체 행동대장 출신으로 적준용역을 만들어 임신부를 폭행하는 등 잔인한 방식으로 철거를 진행해 ‘철거왕’으로 불리는 인물이다.

이금열	이금열/NNP
다원그룹	다원그룹/NNP
회장은	회장/NNG+은/JX
철거업체	철거업체/NNG
행동대장	행동/NNG+대장/NNG
출신으로	출신/NNG+으로/JKB
적준용역을	적준용역/NNP+을/JKO
만들어	만들/VV+어/EC
임신부를	임신부/NNG+를/JKO
폭행하는	폭행/NNG+하/XSV+는/ETM
등	등/NNB
잔인한	잔인/NNG+하/XSA+ㄴ/ETM
방식으로	방식/NNG+으로/JKB
철거를	철거/NNG+를/JKO
진행해	진행/NNG+하/XSV+아/EC
‘철거왕’으로	‘/SS+철거/NNG+왕/NNG+’/SS+으로/JKB
불리는	불리/VV+는/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.246.9.2
2013년 수원지검의 수사로 1000억원대 횡령과 배임, 정관계 로비 사실이 드러나 징역 5년을 선고받고 복역 중이다.

2013년	2013/SN+년/NNB
수원지검의	수원지검/NNP+의/JKG
수사로	수사/NNG+로/JKB
1000억원대	1000/SN+억/NR+원/NNB+대/XSN
횡령과	횡령/NNG+과/JC
배임,	배임/NNG+,/SP
정관계	정관계/NNG
로비	로비/NNG
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
징역	징역/NNG
