# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.255
metadata : {}


# id : NWRW1800000054.255.1.1
['2017 프로야구' 감독·해설위원 14명이 답했다] 은퇴예고 이승엽 홈런 몇개 칠까

['2017	[/SS+'/SS+2017/SN
프로야구'	프로/NNG+야구/NNG+'/SS
감독·해설위원	감독/NNG+·/SP+해설/NNG+위원/NNG
14명이	14/SN+명/NNB+이/JKS
답했다]	답/NNG+하/XSV+았/EP+다/EF+]/SS
은퇴예고	은퇴/NNG+예고/NNG
이승엽	이승엽/NNP
홈런	홈런/NNG
몇개	몇/NR+개/NNB
칠까	치/VV+ㄹ까/EF


# id : NWRW1800000054.255.2.1
'라이언킹'의 마지막 시즌… 오늘 플레이볼

'라이언킹'의	'/SS+라이언킹/NNP+'/SS+의/JKG
마지막	마지막/NNG
시즌…	시즌/NNG+…/SE
오늘	오늘/MAG
플레이볼	플레이/NNG+볼/NNG


# id : NWRW1800000054.255.3.1
야구장에 잠자리채 신드롬을 일으킨 2003년 시즌 56번째 홈런.

야구장에	야구장/NNG+에/JKB
잠자리채	잠자리채/NNG
신드롬을	신드롬/NNG+을/JKO
일으킨	일으키/VV+ㄴ/ETM
2003년	2003/SN+년/NNB
시즌	시즌/NNG
56번째	56/SN+번/NNB+째/XSN
홈런.	홈런/NNG+./SF


# id : NWRW1800000054.255.3.2
삼성에 첫 우승을 안긴 2002년 한국시리즈 6차전 9회 3점 홈런.

삼성에	삼성/NNP+에/JKB
첫	첫/MMN
우승을	우승/NNG+을/JKO
안긴	안기/VV+ㄴ/ETM
2002년	2002/SN+년/NNB
한국시리즈	한국/NNP+시리즈/NNG
6차전	6/SN+차전/NNB
9회	9/SN+회/NNB
3점	3/SN+점/NNB
홈런.	홈런/NNG+./SF


# id : NWRW1800000054.255.3.3
베이징올림픽과 월드베이스볼클래식(WBC) 등 숱한 국제대회에서 날린 결정적인 한 방….

베이징올림픽과	베이징/NNP+올림픽/NNG+과/JC
월드베이스볼클래식(WBC)	월드베이스볼클래식/NNG+(/SS+WBC/SL+)/SS
등	등/NNB
숱한	숱하/VA+ㄴ/ETM
국제대회에서	국제/NNG+대회/NNG+에서/JKB
날린	날리/VV+ㄴ/ETM
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
한	한/MMN
방….	방/NNB+…/SE+./SF


# id : NWRW1800000054.255.3.4
1995년 프로에 데뷔한 지 올해로 23시즌째를 맞는 '대한민국 '프랜차이즈 스타' 이승엽(41)은 그간 호쾌한 스윙으로 한국 야구 팬들이 영원히 간직할 드라마를 써 내려갔다.

1995년	1995/SN+년/NNB
프로에	프로/NNG+에/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
지	지/NNB
올해로	올해/NNG+로/JKB
23시즌째를	23/SN+시즌/NNG+째/XSN+를/JKO
맞는	맞/VV+는/ETM
'대한민국	'/SS+대한민국/NNP
'프랜차이즈	'/SS+프랜차이즈/NNG
스타'	스타/NNG+'/SS
이승엽(41)은	이승엽/NNP+(/SS+41/SN+)/SS+은/JX
그간	그/NP+간/XSN
호쾌한	호쾌하/VA+ㄴ/ETM
스윙으로	스윙/NNG+으로/JKB
한국	한국/NNP
야구	야구/NNG
팬들이	팬/NNG+들/XSN+이/JKS
영원히	영원히/MAG
간직할	간직/NNG+하/XSV+ㄹ/ETM
드라마를	드라마/NNG+를/JKO
써	쓰/VV+어/EC
내려갔다.	내려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.255.4.1
이승엽이 3월 31일 마지막 시즌을 시작한다.

이승엽이	이승엽/NNP+이/JKS
3월	3/SN+월/NNB
31일	31/SN+일/NNB
마지막	마지막/NNG
시즌을	시즌/NNG+을/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.255.4.2
이승엽은 지난해에 '2017시즌 후 은퇴'를 이미 공언했다.

이승엽은	이승엽/NNP+은/JX
지난해에	지난해/NNG+에/JKB
'2017시즌	'/SS+2017/SN+시즌/NNG
후	후/NNG
은퇴'를	은퇴/NNG+'/SS+를/JKO
이미	이미/MAG
공언했다.	공언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.255.4.3
이승엽의 마지막 행진에 빼놓을 수 없는 것은 역시 홈런이다.

이승엽의	이승엽/NNP+의/JKG
마지막	마지막/NNG
행진에	행진/NNG+에/JKB
빼놓을	빼놓/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
것은	것/NNB+은/JX
역시	역시/MAG
홈런이다.	홈런/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.255.4.4
지난해 이승엽은 불혹의 나이에도 27개의 타구를 담장 밖으로 넘겨 이 부문 공동 8위에 올랐다.

지난해	지난해/NNG
이승엽은	이승엽/NNP+은/JX
불혹의	불혹/NNG+의/JKG
나이에도	나이/NNG+에/JKB+도/JX
27개의	27/SN+개/NNB+의/JKG
