# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.166
metadata : {}


# id : NWRW1800000022.166.1.1
방송3社와 경쟁할 새 채널… "2개 이하 만들것";서비스업 선진화 방안

방송3社와	방송/NNG+3/SN+社/SH+와/JKB
경쟁할	경쟁/NNG+하/XSV+ㄹ/ETM
새	새/MMA
채널…	채널/NNG+…/SE
"2개	"/SS+2/SN+개/NNB
이하	이하/NNG
만들것";서비스업	만들/VV+ㄹ/ETM+것/NNB+"/SS+;/SP+서비스업/NNG
선진화	선진/NNG+화/XSN
방안	방안/NNG


# id : NWRW1800000022.166.2.1
8일 정부가 발표한 '서비스업 선진화 방안'에는 그동안 독점적 영역으로서 진입장벽이 높았던 방송·통신 시장에 경쟁원리를 불어넣어 서비스의 질을 높이는 내용이 담겼다.

8일	8/SN+일/NNB
정부가	정부/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
'서비스업	'/SS+서비스업/NNG
선진화	선진/NNG+화/XSN
방안'에는	방안/NNG+'/SS+에/JKB+는/JX
그동안	그동안/NNG
독점적	독점/NNG+적/XSN
영역으로서	영역/NNG+으로서/JKB
진입장벽이	진입/NNG+장벽/NNG+이/JKS
높았던	높/VA+았/EP+던/ETM
방송·통신	방송/NNG+·/SP+통신/NNG
시장에	시장/NNG+에/JKB
경쟁원리를	경쟁/NNG+원리/NNG+를/JKO
불어넣어	불어넣/VV+어/EC
서비스의	서비스/NNG+의/JKG
질을	질/NNG+을/JKO
높이는	높이/VV+는/ETM
내용이	내용/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.166.3.1
또 금연·다이어트 등 건강관리 전문 서비스 시장을 병원 외에 민간회사들에 개방하는 것도 새로운 성장산업을 창출할 수 있는 방안으로 기대되고 있다.

또	또/MAG
금연·다이어트	금연/NNG+·/SP+다이어트/NNG
등	등/NNB
건강관리	건강/NNG+관리/NNG
전문	전문/NNG
