# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.335
metadata : {}


# id : NWRW1800000041.335.1.1
與 압승… 이정현 호남門 열다

與	與/SH
압승…	압승/NNG+…/SE
이정현	이정현/NNP
호남門	호남/NNP+門/SH
열다	열/VV+다/EF


# id : NWRW1800000041.335.2.1
[7·30 재보선] 18년만의 ‘정치혁명’… 與, 수도권 5곳 포함 11곳 석권 ‘세월호 심판론’만 믿고 부실공천한 야당은 4곳에 그쳐

[7·30	[/SS+7/SN+·/SP+30/SN
재보선]	재보선/NNG+]/SS
18년만의	18/SN+년/NNB+만/NNB+의/JKG
‘정치혁명’…	‘/SS+정치/NNG+혁명/NNG+’/SS+…/SE
與,	與/SH+,/SP
수도권	수도/NNG+권/XSN
5곳	5/SN+곳/NNG
포함	포함/NNG
11곳	11/SN+곳/NNG
석권	석권/NNG
‘세월호	‘/SS+세월호/NNP
심판론’만	심판/NNG+론/XSN+’/SS+만/JX
믿고	믿/VV+고/EC
부실공천한	부실/NNG+공천/NNG+하/XSV+ㄴ/ETM
야당은	야당/NNG+은/JX
4곳에	4/SN+곳/NNG+에/JKB
그쳐	그치/VV+어/EF


# id : NWRW1800000041.335.3.1
‘박근혜의 남자’가 야당의 안방에서 철옹성 같은 지역주의 벽을 깼다.

‘박근혜의	‘/SS+박근혜/NNP+의/JKG
남자’가	남자/NNG+’/SS+가/JKS
야당의	야당/NNG+의/JKG
안방에서	안방/NNG+에서/JKB
철옹성	철옹성/NNG
같은	같/VA+은/ETM
지역주의	지역주의/NNG
벽을	벽/NNG+을/JKO
깼다.	깨/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.335.3.2
7·30 재·보궐선거 전남 순천-곡성에서 박근혜 대통령의 최측근인 새누리당 이정현 후보가 당선된 것이다.

7·30	7/SN+·/SP+30/SN
재·보궐선거	재/XPN+·/SP+보궐/NNG+선거/NNG
전남	전남/NNP
순천-곡성에서	순천/NNP+-/SO+곡성/NNP+에서/JKB
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
최측근인	최/XPN+측근/NNG+이/VCP+ㄴ/ETM
새누리당	새누리당/NNP
이정현	이정현/NNP
후보가	후보/NNG+가/JKS
당선된	당선/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.335.3.3
1988년 소선거구제 도입 이후 새누리당 계열 정당이 광주 전남에서 지역구 국회의원을 배출한 것은 처음이다.

1988년	1988/SN+년/NNB
소선거구제	소/XPN+선거구/NNG+제/XSN
도입	도입/NNG
이후	이후/NNG
새누리당	새누리당/NNP
계열	계열/NNG
정당이	정당/NNG+이/JKS
광주	광주/NNP
전남에서	전남/NNP+에서/JKB
지역구	지역구/NNG
국회의원을	국회/NNG+의원/NNG+을/JKO
배출한	배출/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.335.3.4
호남권 전체에선 1996년 15대 총선 이후 18년 만이다.

호남권	호남/NNP+권/XSN
전체에선	전체/NNG+에서/JKB+ㄴ/JX
1996년	1996/SN+년/NNB
15대	15/SN+대/NNB
총선	총선/NNG
이후	이후/NNG
18년	18/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.335.4.1
재·보선 선거구 15곳 가운데 새누리당은 11곳에서 승리해 압승했다.

재·보선	재·보선/NNG
선거구	선거구/NNG
15곳	15/SN+곳/NNG
가운데	가운데/NNG
새누리당은	새누리당/NNP+은/JX
11곳에서	11/SN+곳/NNG+에서/JKB
승리해	승리/NNG+하/XSV+아/EC
압승했다.	압승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.335.4.2
이로써 안정적 과반인 158석을 확보하게 됐다.

이로써	이/NP+로써/JKB
안정적	안정/NNG+적/XSN
과반인	과반/NNG+이/VCP+ㄴ/ETM
158석을	158/SN+석/NNB+을/JKO
확보하게	확보/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.335.4.3
새정치민주연합은 호남 3곳을 포함해 4곳에서 승리하는 데 그쳤다.

새정치민주연합은	새정치민주연합/NNP+은/JX
호남	호남/NNP
3곳을	3/SN+곳/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
4곳에서	4/SN+곳/NNG+에서/JKB
승리하는	승리/NNG+하/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.335.4.4
최대 이변을 만들어낸 이정현 의원은 “호남에 예산 폭탄을 안기겠다”는 공약을 던지며 바닥 민심을 흔들어 놓은 것이 주효했던 것으로 분석된다.

최대	최대/NNG
이변을	이변/NNG+을/JKO
만들어낸	만들/VV+어/EC+내/VX+ㄴ/ETM
이정현	이정현/NNP
의원은	의원/NNG+은/JX
“호남에	“/SS+호남/NNP+에/JKB
예산	예산/NNG
폭탄을	폭탄/NNG+을/JKO
