# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.173
metadata : {}


# id : NWRW1800000056.173.1.1
‘AI 청정’ 제주도 뚫렸다…철새 분변서 ‘고병원성’ 확진

‘AI	‘/SS+AI/SL
청정’	청정/NNG+’/SS
제주도	제주도/NNP
뚫렸다…철새	뚫리/VV+었/EP+다/EF+…/SE+철새/NNG
분변서	분변/NNG+서/JKB
‘고병원성’	‘/SS+고/XPN+병원/NNG+성/XSN+’/SS
확진	확진/NNG


# id : NWRW1800000056.173.2.1
인근 농가 닭·오리 이동제한 조처

인근	인근/NNG
농가	농가/NNG
닭·오리	닭/NNG+·/SP+오리/NNG
이동제한	이동/NNG+제한/NNG
조처	조처/NNG


# id : NWRW1800000056.173.3.1
추가 의심신고는 1건…진정 국면

추가	추가/NNG
의심신고는	의심/NNG+신고/NNG+는/JX
1건…진정	1/SN+건/NNB+…/SE+진정/NNG
국면	국면/NNG


# id : NWRW1800000056.173.4.1
조류인플루엔자(AI) 청정지역이었던 제주도에서 처음으로 고병원성 에이아이 확진 판정이 나와 방역에 빨간불이 켜졌다.

조류인플루엔자(AI)	조류/NNG+인플루엔자/NNG+(/SS+AI/SL+)/SS
청정지역이었던	청정/NNG+지역/NNG+이/VCP+었/EP+던/ETM
제주도에서	제주도/NNP+에서/JKB
처음으로	처음/NNG+으로/JKB
고병원성	고/XPN+병원/NNG+성/XSN
에이아이	에이아이/NNG
확진	확진/NNG
판정이	판정/NNG+이/JKS
나와	나오/VV+아/EC
방역에	방역/NNG+에/JKB
빨간불이	빨간불/NNG+이/JKS
켜졌다.	켜/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.173.5.1
10일 농림축산식품부의 말을 종합하면, 환경부 산하 국립환경과학원이 제주시 구좌읍 하도리 철새도래지에서 채취한 야생조류 분변을 검사한 결과 고병원성 ‘H5N6형’ 바이러스가 검출됐다.

10일	10/SN+일/NNB
농림축산식품부의	농림/NNG+축산/NNG+식품부/NNG+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
환경부	환경부/NNG
산하	산하/NNG
국립환경과학원이	국립환경과학원/NNP+이/JKS
제주시	제주시/NNP
구좌읍	구좌읍/NNP
하도리	하도리/NNP
철새도래지에서	철새/NNG+도래지/NNG+에서/JKB
채취한	채취/NNG+하/XSV+ㄴ/ETM
야생조류	야생/NNG+조류/NNG
분변을	분변/NNG+을/JKO
검사한	검사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
고병원성	고/XPN+병원/NNG+성/XSN
‘H5N6형’	‘/SS+H/SL+5/SN+N/SL+6/SN+형/XSN+’/SS
바이러스가	바이러스/NNG+가/JKS
