# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.212
metadata : {}


# id : NWRW1800000041.212.1.1
“추석 택배물품 훼손땐 운송장 꼭 보관을”

“추석	“/SS+추석/NNG
택배물품	택배/NNG+물품/NNG
훼손땐	훼손/NNG+때/NNG+ㄴ/JX
운송장	운송장/NNG
꼭	꼭/MAG
보관을”	보관/NNG+을/JKO+”/SS


# id : NWRW1800000041.212.2.1
공정위 “손배청구 근거 남겨둬야”

공정위	공정위/NNG
“손배청구	“/SS+손배/NNG+청구/NNG
근거	근거/NNG
남겨둬야”	남기/VV+어/EC+두/VX+어야/EC+”/SS


# id : NWRW1800000041.212.3.1
지난해 추석을 앞두고 A 씨는 인터넷을 통해 지인에게 선물할 한과세트를 구입했다.

지난해	지난해/NNG
추석을	추석/NNG+을/JKO
앞두고	앞두/VV+고/EC
A	A/SL
씨는	씨/NNB+는/JX
인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+아/EC
지인에게	지인/NNG+에게/JKB
선물할	선물/NNG+하/XSV+ㄹ/ETM
한과세트를	한과/NNG+세트/NNG+를/JKO
구입했다.	구입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.212.3.2
예정된 날짜가 지나도 한과가 도착하지 않자 A 씨는 택배업체에 연락했고 “차량이 고장 나 배달이 지연됐다”는 답변을 들었다.

예정된	예정/NNG+되/XSV+ㄴ/ETM
날짜가	날짜/NNG+가/JKS
지나도	지나/VV+아도/EC
한과가	한과/NNG+가/JKS
도착하지	도착/NNG+하/XSV+지/EC
않자	않/VX+자/EC
A	A/SL
씨는	씨/NNB+는/JX
택배업체에	택배업체/NNG+에/JKB
연락했고	연락/NNG+하/XSV+았/EP+고/EC
“차량이	“/SS+차량/NNG+이/JKS
고장	고장/NNG
나	나/VV+아/EC
배달이	배달/NNG+이/JKS
지연됐다”는	지연/NNG+되/XSV+었/EP+다/EF+”/SS+는/ETM
답변을	답변/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.212.3.3
한과는 추석연휴가 끝난 2주 뒤에야 도착했고, A 씨는 선물을 전달하지 못했다.

한과는	한과/NNG+는/JX
추석연휴가	추석/NNG+연휴/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
2주	2/SN+주/NNB
뒤에야	뒤/NNG+에/JKB+야/JX
도착했고,	도착/NNG+하/XSV+았/EP+고/EC+,/SP
A	A/SL
씨는	씨/NNB+는/JX
선물을	선물/NNG+을/JKO
전달하지	전달/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.212.4.1
공정거래위원회는 추석을 앞두고 이런 소비자들의 피해를 막기 위해 택배서비스, 여행계약, 상품권 등 3개 분야에 대해 소비자 피해주의보를 내렸다고 24일 밝혔다.

공정거래위원회는	공정/NNG+거래/NNG+위원회/NNG+는/JX
추석을	추석/NNG+을/JKO
앞두고	앞두/VV+고/EC
이런	이런/MMD
소비자들의	소비자/NNG+들/XSN+의/JKG
피해를	피해/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
택배서비스,	택배/NNG+서비스/NNG+,/SP
여행계약,	여행/NNG+계약/NNG+,/SP
상품권	상품/NNG+권/XSN
등	등/NNB
3개	3/SN+개/NNB
분야에	분야/NNG+에/JKB
대해	대하/VV+아/EC
소비자	소비자/NNG
피해주의보를	피해/NNG+주의보/NNG+를/JKO
내렸다고	내리/VV+었/EP+다고/EC
24일	24/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.212.4.2
명절기간에는 이용객이 몰리면서 물품 배송이 제때 이뤄지지 않거나 택배업체의 부주의로 상품이 훼손, 분실되는 사례가 늘기 때문이다.

명절기간에는	명절/NNG+기간/NNG+에/JKB+는/JX
이용객이	이용객/NNG+이/JKS
몰리면서	몰리/VV+면서/EC
물품	물품/NNG
배송이	배송/NNG+이/JKS
제때	제때/NNG
이뤄지지	이뤄지/VV+지/EC
않거나	않/VX+거나/EC
택배업체의	택배업체/NNG+의/JKG
부주의로	부/XPN+주의/NNG+로/JKB
상품이	상품/NNG+이/JKS
훼손,	훼손/NNG+,/SP
분실되는	분실/NNG+되/XSV+는/ETM
사례가	사례/NNG+가/JKS
늘기	늘/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.212.5.1
