# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.150
metadata : {}


# id : NWRW1800000026.150.1.1
['아! 6·25' 6·25전쟁 60주년 특별기획전 ] 보고 듣고 만지는 '6·25, 그리고 분단 60년';DMZ를 3D 영상으로 실감나게… 참전 용사의 육성 전쟁 체험담…

['아!	[/SS+'/SS+아/IC+!/SF
6·25'	6/SN+·/SP+25/SN+'/SS
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
60주년	60/SN+주년/NNB
특별기획전	특별/NNG+기획전/NNG
]	]/SS
보고	보/VV+고/EC
듣고	듣/VV+고/EC
만지는	만지/VV+는/ETM
'6·25,	'/SS+6/SN+·/SP+25/SN+,/SP
그리고	그리고/MAJ
분단	분단/NNG
60년';DMZ를	60/SN+년/NNB+'/SS+;/SP+DMZ/SL+를/JKO
3D	3/SN+D/SL
영상으로	영상/NNG+으로/JKB
실감나게…	실감/NNG+나/VV+게/EC+…/SE
참전	참전/NNG
용사의	용사/NNG+의/JKG
육성	육성/NNG
전쟁	전쟁/NNG
체험담…	체험담/NNG+…/SE


# id : NWRW1800000026.150.2.1
서울 용산 전쟁기념관 기획전시실에 들어서면 숫자 '6'과 '0'을 아파트 5층 높이(16m)로 만든 대형 전시물이 가장 먼저 보인다.

서울	서울/NNP
용산	용산/NNP
전쟁기념관	전쟁기념관/NNP
기획전시실에	기획/NNG+전시실/NNG+에/JKB
들어서면	들어서/VV+면/EC
숫자	숫자/NNG
'6'과	'/SS+6/SN+'/SS+과/JC
'0'을	'/SS+0/SN+'/SS+을/JKO
아파트	아파트/NNG
5층	5/SN+층/NNG
높이(16m)로	높이/NNG+(/SS+16/SN+m/SW+)/SS+로/JKB
만든	만들/VV+ㄴ/ETM
대형	대형/NNG
전시물이	전시물/NNG+이/JKS
가장	가장/MAG
먼저	먼저/MAG
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.150.2.2
숫자의 겉면엔 1950년 12월 흥남철수작전 당시의 흑백사진이 새겨져 있다.

숫자의	숫자/NNG+의/JKG
겉면엔	겉면/NNG+에/JKB+ㄴ/JX
1950년	1950/SN+년/NNB
12월	12/SN+월/NNB
흥남철수작전	흥남/NNP+철수/NNG+작전/NNG
당시의	당시/NNG+의/JKG
흑백사진이	흑백/NNG+사진/NNG+이/JKS
새겨져	새기/VV+어/EC+지/VX+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.150.2.3
마치 60년 전 그때로 돌아간 듯 저 멀리 커다란 배가 보이고 그 앞으로 피란민들이 뒤엉켜 있는 장면이 생생하다.

마치	마치/MAG
60년	60/SN+년/NNB
전	전/NNG
그때로	그때/NNG+로/JKB
돌아간	돌아가/VV+ㄴ/ETM
듯	듯/NNB
저	저/MMD
멀리	멀리/MAG
커다란	커다랗/VA+ㄴ/ETM
배가	배/NNG+가/JKS
보이고	보이/VV+고/EC
그	그/MMD
앞으로	앞/NNG+으로/JKB
피란민들이	피란민/NNG+들/XSN+이/JKS
뒤엉켜	뒤엉키/VV+어/EC
있는	있/VX+는/ETM
장면이	장면/NNG+이/JKS
생생하다.	생생하/VA+다/EF+./SF


# id : NWRW1800000026.150.2.4
1950년 6·25 전쟁, 그리고 이후 60년 동안 한반도에서 벌어졌던 이야기를 아울러 담겠다는 '아! 6·25' 전시 전체의 상징물이다.

1950년	1950/SN+년/NNB
6·25	6/SN+·/SP+25/SN
전쟁,	전쟁/NNG+,/SP
그리고	그리고/MAJ
이후	이후/NNG
60년	60/SN+년/NNB
동안	동안/NNG
한반도에서	한반도/NNP+에서/JKB
벌어졌던	벌어지/VV+었/EP+던/ETM
이야기를	이야기/NNG+를/JKO
아울러	아울러/MAG
담겠다는	담/VV+겠/EP+다는/ETM
'아!	'/SS+아/IC+!/SF
6·25'	6/SN+·/SP+25/SN+'/SS
전시	전시/NNG
전체의	전체/NNG+의/JKG
상징물이다.	상징물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.150.3.1
조선일보와 국방부, 전쟁기념관이 함께 준비해 4일 개막하는 이번 전시는 전쟁 당시보다 전쟁 이후에 더욱 무게가 실려 있다.

조선일보와	조선일보/NNP+와/JC
국방부,	국방부/NNG+,/SP
전쟁기념관이	전쟁기념관/NNP+이/JKS
함께	함께/MAG
준비해	준비/NNG+하/XSV+아/EC
4일	4/SN+일/NNB
개막하는	개막/NNG+하/XSV+는/ETM
이번	이번/NNG
전시는	전시/NNG+는/JX
전쟁	전쟁/NNG
당시보다	당시/NNG+보다/JKB
이후에	이후/NNG+에/JKB
더욱	더욱/MAG
무게가	무게/NNG+가/JKS
실려	실리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.150.3.2
'하나의 조국에 두 개의 서로 다른 체제를 가지고 지나온 20세기를 집중 조명'한다는 것이 기획 의도다.

'하나의	'/SS+하나/NR+의/JKG
조국에	조국/NNG+에/JKB
두	두/MMN
개의	개/NNB+의/JKG
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
체제를	체제/NNG+를/JKO
가지고	가지/VV+고/EC
지나온	지나오/VV+ㄴ/ETM
20세기를	20/SN+세기/NNG+를/JKO
집중	집중/NNG
조명'한다는	조명/NNG+'/SS+하/VV+ㄴ다는/ETM
것이	것/NNB+이/JKS
기획	기획/NNG
의도다.	의도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.150.3.3
특히 세계 유일의 분단현장이며 전후 60년 동안 인간과 개발의 영향이 미치지 않은 DMZ 내부의 사진 영상이 처음으로 공개된다.

특히	특히/MAG
세계	세계/NNG
유일의	유일/NNG+의/JKG
분단현장이며	분단/NNG+현장/NNG+이/VCP+며/EC
전후	전후/NNG
60년	60/SN+년/NNB
동안	동안/NNG
인간과	인간/NNG+과/JC
개발의	개발/NNG+의/JKG
영향이	영향/NNG+이/JKS
미치지	미치/VV+지/EC
않은	않/VX+은/ETM
DMZ	DMZ/SL
내부의	내부/NNG+의/JKG
사진	사진/NNG
영상이	영상/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
공개된다.	공개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.150.4.1
◆눈에 쏙 들어오는 사진 영상

◆눈에	◆/SW+눈/NNG+에/JKB
쏙	쏙/MAG
들어오는	들어오/VV+는/ETM
사진	사진/NNG
영상	영상/NNG


# id : NWRW1800000026.150.5.1
이번 전시는 지난 60년간 남한과 북한을 관통해온 역사의 흐름을 한눈에 파악하기 쉽도록 구성됐다.

이번	이번/NNG
전시는	전시/NNG+는/JX
지난	지나/VV+ㄴ/ETM
60년간	60/SN+년/NNB+간/XSN
남한과	남한/NNP+과/JC
북한을	북한/NNP+을/JKO
관통해온	관통/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
역사의	역사/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
한눈에	한눈/NNG+에/JKB
파악하기	파악/NNG+하/XSV+기/ETN
쉽도록	쉽/VA+도록/EC
구성됐다.	구성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.150.5.2
이를 위해 오랜 시간을 들여 읽어야 하는 설명자료보다는 이해가 빠르면서도 흥미를 더해 교육 효과를 높이는 시각자료에 중점을 뒀다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
오랜	오랜/MMA
시간을	시간/NNG+을/JKO
들여	들이/VV+어/EC
읽어야	읽/VV+어야/EC
하는	하/VX+는/ETM
설명자료보다는	설명/NNG+자료/NNG+보다/JKB+는/JX
이해가	이해/NNG+가/JKS
빠르면서도	빠르/VA+면서/EC+도/JX
흥미를	흥미/NNG+를/JKO
더해	더/MAG+하/XSV+아/EC
교육	교육/NNG
효과를	효과/NNG+를/JKO
높이는	높이/VV+는/ETM
시각자료에	시각/NNG+자료/NNG+에/JKB
중점을	중점/NNG+을/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.150.6.1
6·25 전쟁에서 종군기자로 활약해 여성 최초로 퓰리처상을 받은 고(故) 마거릿 히긴스씨가 보유했던 사진, 전 세계 참전국들과 박물관, 개인들로부터 직접 수집한 사진 등 1800여점을 볼 수 있다.

6·25	6/SN+·/SP+25/SN
전쟁에서	전쟁/NNG+에서/JKB
종군기자로	종군/NNG+기자/NNG+로/JKB
활약해	활약/NNG+하/XSV+아/EC
여성	여성/NNG
최초로	최초/NNG+로/JKB
퓰리처상을	퓰리처상/NNG+을/JKO
받은	받/VV+은/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
마거릿	마거릿/NNP
히긴스씨가	히긴스/NNP+씨/NNB+가/JKS
보유했던	보유/NNG+하/XSV+았/EP+던/ETM
사진,	사진/NNG+,/SP
전	전/MMN
세계	세계/NNG
참전국들과	참전국/NNG+들/XSN+과/JC
박물관,	박물관/NNG+,/SP
개인들로부터	개인/NNG+들/XSN+로부터/JKB
직접	직접/MAG
수집한	수집/NNG+하/XSV+ㄴ/ETM
사진	사진/NNG
등	등/NNB
1800여점을	1800/SN+여/XSN+점/NNB+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.150.6.2
'엄마 어렸을 적엔' 전시로 유명한 이승은·허헌선 부부 작가의 인형들도 등장해 가난했던 시절을 따뜻하게 보여준다.

'엄마	'/SS+엄마/NNG
어렸을	어리/VA+었/EP+을/ETM
적엔'	적/NNB+에/JKB+ㄴ/JX+'/SS
전시로	전시/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
이승은·허헌선	이승은/NNP+·/SP+허헌선/NNP
부부	부부/NNG
작가의	작가/NNG+의/JKG
인형들도	인형/NNG+들/XSN+도/JX
등장해	등장/NNG+하/XSV+아/EC
가난했던	가난/NNG+하/XSA+았/EP+던/ETM
시절을	시절/NNG+을/JKO
따뜻하게	따뜻하/VA+게/EC
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.150.7.1
다양한 영상자료들도 활용된다.

다양한	다양/NNG+하/XSA+ㄴ/ETM
영상자료들도	영상/NNG+자료/NNG+들/XSN+도/JX
활용된다.	활용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.150.7.2
