# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.316
metadata : {}


# id : NWRW1800000048.316.1.1
기세 오른 중국 ‘호주도 꺾어주마’

기세	기세/NNG
오른	오르/VV+ㄴ/ETM
중국	중국/NNP
‘호주도	‘/SS+호주/NNP+도/JX
꺾어주마’	꺾/VV+어/EC+주/VX+마/EF+’/SS


# id : NWRW1800000048.316.2.1
3전 전승 8강 진출에 ‘들썩’

3전	3/SN+전/NNB
전승	전승/NNG
8강	8/SN+강/NNB
진출에	진출/NNG+에/JKB
‘들썩’	‘/SS+들썩/MAG+’/SS


# id : NWRW1800000048.316.3.1
22일 입장권 벌써 품귀현상

22일	22/SN+일/NNB
입장권	입장/NNG+권/XSN
벌써	벌써/MAG
품귀현상	품귀/NNG+현상/NNG


# id : NWRW1800000048.316.4.1
“우리가 이길 수 있었던 것은 적보다 강했기 때문이 아니라 끝까지 포기하지 않았기 때문이다.”

“우리가	“/SS+우리/NP+가/JKS
이길	이기/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
적보다	적/NNG+보다/JKB
강했기	강하/VA+았/EP+기/ETN
때문이	때문/NNB+이/JKC
아니라	아니/VCN+라/EC
끝까지	끝/NNG+까지/JX
포기하지	포기/NNG+하/XSV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.”	때문/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000048.316.4.2
아시안컵 조별리그에서 세 골을 넣은 중국 축구 국가대표팀 쑨커의 말이다.

아시안컵	아시안/NNP+컵/NNG
조별리그에서	조별/NNG+리그/NNG+에서/JKB
세	세/MMN
골을	골/NNG+을/JKO
넣은	넣/VV+은/ETM
중국	중국/NNP
축구	축구/NNG
국가대표팀	국가/NNG+대표/NNG+팀/NNG
쑨커의	쑨커/NNP+의/JKG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.316.5.1
2015 아시안컵 조별리그 예선에서 중국이 사상 최초로 3전 전승(승점 9점)으로 1위로 통과하자 대륙이 들썩이고 있다.

2015	2015/SN
아시안컵	아시안/NNP+컵/NNG
조별리그	조별/NNG+리그/NNG
예선에서	예선/NNG+에서/JKB
중국이	중국/NNP+이/JKS
사상	사상/NNG
최초로	최초/NNG+로/JKB
3전	3/SN+전/NNB
전승(승점	전승/NNG+(/SS+승점/NNG
9점)으로	9/SN+점/NNB+)/SS+으로/JKB
1위로	1/SN+위/NNB+로/JKB
통과하자	통과/NNG+하/XSV+자/EC
대륙이	대륙/NNG+이/JKS
들썩이고	들썩이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.316.5.2
관영 <중국중앙티브이>(CCTV) 등 중국 언론은 아시안컵 소식을 연일 주요 뉴스로 다루었다.

관영	관영/NNG
