# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.246
metadata : {}


# id : NWRW1800000028.246.1.1
법원 “서울대, 황우석 파면 정당”

법원	법원/NNG
“서울대,	“/SS+서울대/NNP+,/SP
황우석	황우석/NNP
파면	파면/NNG
정당”	정당/NNG+”/SS


# id : NWRW1800000028.246.2.1
서울행정법원 행정12부(재판장 장상균)는 황우석(58) 전 서울대 교수가 서울대를 상대로 낸 파면처분 취소 청구소송에서 22일 원고 패소 판결했다.

서울행정법원	서울행정법원/NNP
행정12부(재판장	행정/NNG+12/SN+부/NNG+(/SS+재판장/NNG
장상균)는	장상균/NNP+)/SS+는/JX
황우석(58)	황우석/NNP+(/SS+58/SN+)/SS
전	전/MMD
서울대	서울대/NNP
교수가	교수/NNG+가/JKS
서울대를	서울대/NNP+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
파면처분	파면/NNG+처분/NNG
취소	취소/NNG
청구소송에서	청구/NNG+소송/NNG+에서/JKB
22일	22/SN+일/NNB
원고	원고/NNG
패소	패소/NNG
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.246.3.1
재판부는 판결문에서 “황 전 교수는 논문의 총괄 연구책임자임에도 데이터를 고의로 조작해 과학에 대한 신뢰 기반을 훼손하는 중대한 부정행위를 저질렀고 이로 인해 서울대 및 우리나라의 과학 수준에 대한 세계인의 평가에도 씻을 수 없이 커다란 타격을 줬다”며 “책임이 무거움에도 불구하고 책임을 회피하려는 태도를 보이고 있을 뿐만 아니라 비위행위로 인한 업적을 통해 큰 명성을 얻고 특별한 혜택을 누렸다”고 밝혔다.

재판부는	재판부/NNG+는/JX
판결문에서	판결문/NNG+에서/JKB
“황	“/SS+황/NNP
전	전/MMD
교수는	교수/NNG+는/JX
논문의	논문/NNG+의/JKG
총괄	총괄/NNG
연구책임자임에도	연구/NNG+책임자/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
데이터를	데이터/NNG+를/JKO
고의로	고의/NNG+로/JKB
조작해	조작/NNG+하/XSV+아/EC
과학에	과학/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰	신뢰/NNG
기반을	기반/NNG+을/JKO
훼손하는	훼손/NNG+하/XSV+는/ETM
중대한	중대/NNG+하/XSA+ㄴ/ETM
부정행위를	부정/NNG+행위/NNG+를/JKO
저질렀고	저지르/VV+었/EP+고/EC
이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
서울대	서울대/NNP
및	및/MAG
우리나라의	우리나라/NNG+의/JKG
과학	과학/NNG
수준에	수준/NNG+에/JKB
세계인의	세계인/NNG+의/JKG
평가에도	평가/NNG+에/JKB+도/JX
씻을	씻/VV+을/ETM
수	수/NNB
없이	없이/MAG
커다란	커다랗/VA+ㄴ/ETM
타격을	타격/NNG+을/JKO
줬다”며	주/VV+었/EP+다/EF+”/SS+며/EC
“책임이	“/SS+책임/NNG+이/JKS
무거움에도	무겁/VA+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
책임을	책임/NNG+을/JKO
회피하려는	회피/NNG+하/XSV+려는/ETM
태도를	태도/NNG+를/JKO
보이고	보이/VV+고/EC
있을	있/VX+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
비위행위로	비위/NNG+행위/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
업적을	업적/NNG+을/JKO
통해	통하/VV+아/EC
큰	크/VA+ㄴ/ETM
명성을	명성/NNG+을/JKO
얻고	얻/VV+고/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
혜택을	혜택/NNG+을/JKO
누렸다”고	누리/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.246.3.2
재판부는 “종전의 학문적 공적 등 모든 유리한 사정을 감안하더라도 파면 처분이 징계재량권 범위를 일탈하거나 남용했다고 볼 수 없다”고 덧붙였다.

재판부는	재판부/NNG+는/JX
“종전의	“/SS+종전/NNG+의/JKG
학문적	학문/NNG+적/XSN
공적	공적/NNG
등	등/NNB
모든	모든/MMN
유리한	유리/NNG+하/XSA+ㄴ/ETM
사정을	사정/NNG+을/JKO
감안하더라도	감안/NNG+하/XSV+더라도/EC
파면	파면/NNG
처분이	처분/NNG+이/JKS
징계재량권	징계/NNG+재량/NNG+권/XSN
범위를	범위/NNG+를/JKO
일탈하거나	일탈/NNG+하/XSV+거나/EC
남용했다고	남용/NNG+하/XSV+았/EP+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.246.4.1
황 전 교수는 2004·2005년 <사이언스>에 발표한 인간 배아줄기세포 관련 논문이 조작된 것으로 밝혀져 2006년 4월 파면 처분을 받았다.

황	황/NNP
전	전/MMD
교수는	교수/NNG+는/JX
2004·2005년	2004/SN+·/SP+2005/SN+년/NNB
<사이언스>에	</SS+사이언스/NNP+>/SS+에/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
인간	인간/NNG
배아줄기세포	배아/NNG+줄기세포/NNG
관련	관련/NNG
논문이	논문/NNG+이/JKS
조작된	조작/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀져	밝혀지/VV+어/EC
2006년	2006/SN+년/NNB
4월	4/SN+월/NNB
파면	파면/NNG
처분을	처분/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


