# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.370
metadata : {}


# id : NWRW1800000036.370.1.1
19대도 법조인 과잉…새누리·민주당 11%대

19대도	19/SN+대/NNB+도/JX
법조인	법조인/NNG
과잉…새누리·민주당	과잉/NNG+…/SE+새누리/NNP+·/SP+민주당/NNP
11%대	11/SN+%/SW+대/XSN


# id : NWRW1800000036.370.2.1
[한겨레] 지역구 공천 신청자 분석

[한겨레]	[/SS+한겨레/NNP+]/SS
지역구	지역구/NNG
공천	공천/NNG
신청자	신청자/NNG
분석	분석/NNG


# id : NWRW1800000036.370.3.1
언론인도 대거 출사표 6%

언론인도	언론인/NNG+도/JX
대거	대거/MAG
출사표	출사표/NNG
6%	6/SN+%/SW


# id : NWRW1800000036.370.4.1
여성은 7~8%대 낮은 수준

여성은	여성/NNG+은/JX
7~8%대	7/SN+~/SO+8/SN+%/SW+대/XSN
낮은	낮/VA+은/ETM
수준	수준/NNG


# id : NWRW1800000036.370.5.1
여야 신청자들 경력란에

여야	여야/NNG
신청자들	신청자/NNG+들/XSN
경력란에	경력/NNG+란/NNG+에/JKB


# id : NWRW1800000036.370.6.1
`박근혜’`노무현’ 언급많아

`박근혜’`노무현’	`/SS+박근혜/NNP+’/SS+`/SS+노무현/NNP+’/SS
언급많아	언급/NNG+많/VA+아/EF


# id : NWRW1800000036.370.7.1
국회에 ‘법조인이 지나치게 많다’는 부정적인 평가에도 불구하고 19대 국회에서도 여전히 법조인들이 대거 진출할 것으로 전망된다.

국회에	국회/NNG+에/JKB
‘법조인이	‘/SS+법조인/NNG+이/JKS
지나치게	지나치/VA+게/EC
많다’는	많/VA+다/EF+’/SS+는/ETM
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
평가에도	평가/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
19대	19/SN+대/NNB
국회에서도	국회/NNG+에서/JKB+도/JX
여전히	여전히/MAG
법조인들이	법조인/NNG+들/XSN+이/JKS
대거	대거/MAG
진출할	진출/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.370.7.2
여성의 경우 그동안의 약진에도 불구하고 지역구 출마를 신청한 비율이 7~8%대의 낮은 수준에 머물고 있는 것으로 나타났다.

여성의	여성/NNG+의/JKG
경우	경우/NNG
그동안의	그동안/NNG+의/JKG
약진에도	약진/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
지역구	지역구/NNG
출마를	출마/NNG+를/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
비율이	비율/NNG+이/JKS
7~8%대의	7/SN+~/SO+8/SN+%/SW+대/XSN+의/JKG
낮은	낮/VA+은/ETM
수준에	수준/NNG+에/JKB
머물고	머물/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.370.8.1
<한겨레>가 19일 새누리당과 민주통합당의 지역구 공천신청자 현황을 분석한 결과, 두 당 모두 법조인 비율이 11%를 넘어서면서 정당인을 제외하고는 가장 많은 비중을 차지한 것으로 집계됐다.

<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
19일	19/SN+일/NNB
새누리당과	새누리당/NNP+과/JC
민주통합당의	민주통합당/NNP+의/JKG
지역구	지역구/NNG
공천신청자	공천/NNG+신청자/NNG
현황을	현황/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
두	두/MMN
당	당/NNG
모두	모두/MAG
법조인	법조인/NNG
비율이	비율/NNG+이/JKS
11%를	11/SN+%/SW+를/JKO
넘어서면서	넘어서/VV+면서/EC
정당인을	정당인/NNG+을/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
가장	가장/MAG
많은	많/VA+은/ETM
비중을	비중/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.370.8.2
새누리당은 비공개로 공천 신청을 한 이들을 제외한 947명 가운데 107명(11.3%)이 법조인이었고, 민주통합당도 713명 가운데 80명(11.2%)이 법조계 출신이었다.

새누리당은	새누리당/NNP+은/JX
비공개로	비/XPN+공개/NNG+로/JKB
공천	공천/NNG
신청을	신청/NNG+을/JKO
한	하/VV+ㄴ/ETM
이들을	이/NP+들/XSN+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
947명	947/SN+명/NNB
가운데	가운데/NNG
107명(11.3%)이	107/SN+명/NNB+(/SS+11/SN+./SP+3/SN+%/SW+)/SS+이/JKS
법조인이었고,	법조인/NNG+이/VCP+었/EP+고/EC+,/SP
민주통합당도	민주통합당/NNP+도/JX
713명	713/SN+명/NNB
80명(11.2%)이	80/SN+명/NNB+(/SS+11/SN+./SP+2/SN+%/SW+)/SS+이/JKS
법조계	법조/NNG+계/XSN
출신이었다.	출신/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.370.8.3
역대 총선에서 당선 시점을 기준으로 법조인 출신은 16대에 41명, 17대에 54명, 18대에 59명으로 꾸준히 늘고 있다.

역대	역대/NNG
총선에서	총선/NNG+에서/JKB
당선	당선/NNG
시점을	시점/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
법조인	법조인/NNG
출신은	출신/NNG+은/JX
16대에	16/SN+대/NNB+에/JKB
41명,	41/SN+명/NNB+,/SP
17대에	17/SN+대/NNB+에/JKB
54명,	54/SN+명/NNB+,/SP
18대에	18/SN+대/NNB+에/JKB
59명으로	59/SN+명/NNB+으로/JKB
꾸준히	꾸준히/MAG
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.370.8.4
전략공천이나 비례대표 후보에 법조인 출신들이 대거 들어가는 점을 고려하면 이번 19대 국회에서도 이런 증가 추세가 이어질 가능성이 높다.

전략공천이나	전략/NNG+공천/NNG+이나/JC
비례대표	비례/NNG+대표/NNG
후보에	후보/NNG+에/JKB
법조인	법조인/NNG
출신들이	출신/NNG+들/XSN+이/JKS
대거	대거/MAG
들어가는	들어가/VV+는/ETM
점을	점/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
이번	이번/NNG
19대	19/SN+대/NNB
국회에서도	국회/NNG+에서/JKB+도/JX
이런	이런/MMD
증가	증가/NNG
추세가	추세/NNG+가/JKS
이어질	이어지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000036.370.9.1
법조인 외에 국회 진출 비율이 높은 언론인들도 이번 총선에 대거 출사표를 던졌다.

법조인	법조인/NNG
외에	외/NNB+에/JKB
국회	국회/NNG
진출	진출/NNG
비율이	비율/NNG+이/JKS
높은	높/VA+은/ETM
언론인들도	언론인/NNG+들/XSN+도/JX
이번	이번/NNG
총선에	총선/NNG+에/JKB
대거	대거/MAG
출사표를	출사표/NNG+를/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.370.9.2
새누리당 공천에는 59명(6.2%)이 신청을 했으며, 민주통합당에도 46명(현역 8명)의 언론인 출신이 몰렸다.

새누리당	새누리당/NNP
공천에는	공천/NNG+에/JKB+는/JX
59명(6.2%)이	59/SN+명/NNB+(/SS+6/SN+./SP+2/SN+%/SW+)/SS+이/JKS
신청을	신청/NNG+을/JKO
했으며,	하/VV+았/EP+으며/EC+,/SP
민주통합당에도	민주통합당/NNP+에/JKB+도/JX
46명(현역	46/SN+명/NNB+(/SS+현역/NNG
8명)의	8/SN+명/NNB+)/SS+의/JKG
언론인	언론인/NNG
출신이	출신/NNG+이/JKS
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.370.10.1
공천 신청자들을 성별로 분류하면, 새누리당의 여성 신청자들은 모두 77명으로 8.1%를 차지했고, 민주통합당에는 49명의 여성만 지역구 출마를 신청해 6.9%에 그쳤다.

공천	공천/NNG
신청자들을	신청자/NNG+들/XSN+을/JKO
성별로	성별/NNG+로/JKB
분류하면,	분류/NNG+하/XSV+면/EC+,/SP
새누리당의	새누리당/NNP+의/JKG
여성	여성/NNG
신청자들은	신청자/NNG+들/XSN+은/JX
모두	모두/MAG
77명으로	77/SN+명/NNB+으로/JKB
8.1%를	8/SN+./SP+1/SN+%/SW+를/JKO
차지했고,	차지/NNG+하/XSV+았/EP+고/EC+,/SP
민주통합당에는	민주통합당/NNP+에/JKB+는/JX
49명의	49/SN+명/NNB+의/JKG
여성만	여성/NNG+만/JX
지역구	지역구/NNG
출마를	출마/NNG+를/JKO
신청해	신청/NNG+하/XSV+아/EC
6.9%에	6/SN+./SP+9/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.370.10.2
연령대별로 보면, 공천신청자의 평균 연령은 새누리당이 54.4살이었고, 민주통합당이 52.6살로 나타났다.

연령대별로	연령대/NNG+별/XSN+로/JKB
보면,	보/VV+면/EC+,/SP
