# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.41
metadata : {}


# id : NWRW1800000053.41.1.1
‘非전시 美해군 방호’… 日, 자위대에 첫 명령

‘非전시	‘/SS+非/SH+전시/NNG
美해군	美/SH+해군/NNG
방호’…	방호/NNG+’/SS+…/SE
日,	日/SH+,/SP
자위대에	자위대/NNG+에/JKB
첫	첫/MMN
명령	명령/NNG


# id : NWRW1800000053.41.2.1
北위협 빌미 삼아 안보법 본격적용… ‘전쟁 가능 국가’로 활동반경 넓혀

北위협	北/SH+위협/NNG
빌미	빌미/NNG
삼아	삼/VV+아/EC
안보법	안보법/NNG
본격적용…	본격/NNG+적용/NNG+…/SE
‘전쟁	‘/SS+전쟁/NNG
가능	가능/NNG
국가’로	국가/NNG+’/SS+로/JKB
활동반경	활동/NNG+반경/NNG
넓혀	넓히/VV+어/EF


# id : NWRW1800000053.41.3.1
한반도 위기 상황과 관련해 이나다 도모미(稻田朋美) 일본 방위상이 해상자위대에 미국 해군 보급함에 대한 ‘무기 등 방호’ 명령을 내렸다고 아사히신문이 30일 복수의 정부 관계자의 말을 인용해 보도했다.

한반도	한반도/NNP
위기	위기/NNG
상황과	상황/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
이나다	이나다/NNP
도모미(稻田朋美)	도모미/NNP+(/SS+稻田朋美/SH+)/SS
일본	일본/NNP
방위상이	방위상/NNG+이/JKS
해상자위대에	해상/NNG+자위대/NNG+에/JKB
미국	미국/NNP
해군	해군/NNG
보급함에	보급/NNG+함/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘무기	‘/SS+무기/NNG
등	등/NNB
방호’	방호/NNG+’/SS
명령을	명령/NNG+을/JKO
내렸다고	내리/VV+었/EP+다고/EC
아사히신문이	아사히신문/NNP+이/JKS
30일	30/SN+일/NNB
복수의	복수/NNG+의/JKG
정부	정부/NNG
관계자의	관계자/NNG+의/JKG
말을	말/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.41.3.2
전시가 아닌 상황에서 해상자위대에 미군 함선 보호 임무를 부여한 것은 처음이다.

전시가	전시/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
해상자위대에	해상/NNG+자위대/NNG+에/JKB
미군	미군/NNG
함선	함선/NNG
보호	보호/NNG
임무를	임무/NNG+를/JKO
부여한	부여/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.41.4.1
‘무기 등 방호’는 전시와 평시의 중간 상태인 ‘그레이존(Gray zone)’ 상태에서 자위대가 무기를 사용해 미군 등 외국 군대 함선을 방호(보호)하는 임무를 뜻한다.

‘무기	‘/SS+무기/NNG
등	등/NNB
방호’는	방호/NNG+’/SS+는/JX
전시와	전시/NNG+와/JC
