# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.88
metadata : {}


# id : NWRW1800000040.88.1.1
파키스탄서 히말라야 등반객 테러 10명 사망

파키스탄서	파키스탄/NNP+서/JKB
히말라야	히말라야/NNP
등반객	등반객/NNG
테러	테러/NNG
10명	10/SN+명/NNB
사망	사망/NNG


# id : NWRW1800000040.88.2.1
수니파 무장세력 호텔서 총격

수니파	수니파/NNG
무장세력	무장/NNG+세력/NNG
호텔서	호텔/NNG+서/JKB
총격	총격/NNG


# id : NWRW1800000040.88.3.1
외국인 관광객 집단 살해 처음

외국인	외국인/NNG
관광객	관광객/NNG
집단	집단/NNG
살해	살해/NNG
처음	처음/NNG


# id : NWRW1800000040.88.4.1
파키스탄에서 히말라야 산맥을 등반하려던 외국인 관광객들을 살해한 테러가 발생했다.

파키스탄에서	파키스탄/NNP+에서/JKB
히말라야	히말라야/NNP
산맥을	산맥/NNG+을/JKO
등반하려던	등반/NNG+하/XSV+려던/ETM
외국인	외국인/NNG
관광객들을	관광객/NNG+들/XSN+을/JKO
살해한	살해/NNG+하/XSV+ㄴ/ETM
테러가	테러/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.88.4.2
이슬람주의 무장세력의 테러가 빈발하는 파키스탄에서도 외국인 관광객을 집단으로 살해한 테러는 이번이 처음이다.

이슬람주의	이슬람주의/NNG
무장세력의	무장/NNG+세력/NNG+의/JKG
테러가	테러/NNG+가/JKS
빈발하는	빈발/NNG+하/XSV+는/ETM
파키스탄에서도	파키스탄/NNP+에서/JKB+도/JX
외국인	외국인/NNG
관광객을	관광객/NNG+을/JKO
집단으로	집단/NNG+으로/JKB
살해한	살해/NNG+하/XSV+ㄴ/ETM
테러는	테러/NNG+는/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.88.5.1
23일 파키스탄 북부 길기트-발티스탄에 있는 낭가파르바트봉 기슭의 한 호텔에 무장 테러리스트들이 난입해, 이 산을 오르려는 외국인 관광객 9명 등 모두 10명을 살해했다고 <아에프페>(AFP) 통신 등 외신들이 보도했다.

23일	23/SN+일/NNB
파키스탄	파키스탄/NNP
북부	북부/NNG
길기트-발티스탄에	길기트/NNP+-/SO+발티스탄/NNP+에/JKB
있는	있/VA+는/ETM
