# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.61
metadata : {}


# id : NWRW1800000041.61.1.1
이스라엘軍, 유엔 학교 포격 최소15명 사망

이스라엘軍,	이스라엘/NNP+軍/SH+,/SP
유엔	유엔/NNP
학교	학교/NNG
포격	포격/NNG
최소15명	최소/NNG+15/SN+명/NNB
사망	사망/NNG


# id : NWRW1800000041.61.2.1
美, 국내 유대인 지지자 반발에 이스라엘 비행금지 이틀만에 철회

美,	美/SH+,/SP
국내	국내/NNG
유대인	유대인/NNP
지지자	지지자/NNG
반발에	반발/NNG+에/JKB
이스라엘	이스라엘/NNP
비행금지	비행/NNG+금지/NNG
이틀만에	이틀/NNG+만/NNB+에/JKB
철회	철회/NNG


# id : NWRW1800000041.61.3.1
이스라엘 탱크가 가자지구 북부에 있는 유엔 운영 학교에 포격을 가해 최소 15명이 숨지고 150여 명이 부상했다고 가자지구 보건관리들이 24일 밝혔다.

이스라엘	이스라엘/NNP
탱크가	탱크/NNG+가/JKS
가자지구	가자지구/NNP
북부에	북부/NNG+에/JKB
있는	있/VA+는/ETM
유엔	유엔/NNP
운영	운영/NNG
학교에	학교/NNG+에/JKB
포격을	포격/NNG+을/JKO
가해	가하/VV+아/EC
최소	최소/NNG
15명이	15/SN+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
150여	150/SN+여/XSN
명이	명/NNB+이/JKS
부상했다고	부상/NNG+하/XSV+았/EP+다고/EC
보건관리들이	보건/NNG+관리/NNG+들/XSN+이/JKS
24일	24/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.61.4.1
이 학교에는 이스라엘 지상군과 팔레스타인 무장정파 하마스의 치열한 전투를 피해 팔레스타인 주민 수백 명이 대피해 있었다.

이	이/MMD
학교에는	학교/NNG+에/JKB+는/JX
이스라엘	이스라엘/NNP
지상군과	지상군/NNG+과/JC
팔레스타인	팔레스타인/NNP
무장정파	무장/NNG+정파/NNG
하마스의	하마스/NNP+의/JKG
치열한	치열/NNG+하/XSA+ㄴ/ETM
전투를	전투/NNG+를/JKO
피해	피하/VV+아/EC
주민	주민/NNG
수백	수백/NR
명이	명/NNB+이/JKS
대피해	대피/NNG+하/XSV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.61.4.2
AP통신은 이스라엘 탱크의 포격으로 학교 운동장에는 희생자들의 핏물 웅덩이가 생기고 책을 비롯한 학교 용품들이 어지럽게 흩어져 있다고 전했다.

AP통신은	AP통신/NNP+은/JX
이스라엘	이스라엘/NNP
탱크의	탱크/NNG+의/JKG
포격으로	포격/NNG+으로/JKB
학교	학교/NNG
운동장에는	운동장/NNG+에/JKB+는/JX
희생자들의	희생자/NNG+들/XSN+의/JKG
핏물	핏물/NNG
웅덩이가	웅덩이/NNG+가/JKS
