# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.321
metadata : {}


# id : NWRW1800000024.321.1.1
이바노비치, 1R 탈락

이바노비치,	이바노비치/NNP+,/SP
1R	1/SN+R/SL
탈락	탈락/NNG


# id : NWRW1800000024.321.2.1
아나 이바노비치(22·세르비아·세계 11위)에게 두번째 경기는 없었다.

아나	아나/NNP
이바노비치(22·세르비아·세계	이바노비치/NNP+(/SS+22/SN+·/SP+세르비아/NNP+·/SP+세계/NNG
11위)에게	11/SN+위/NNB+)/SS+에게/JKB
두번째	두/MMN+번/NNB+째/XSN
경기는	경기/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000024.321.3.1
이바노비치는 2일(한국시각) 미국 뉴욕 빌리진 킹 내셔널 테니스센터에서 열린 유에스오픈 여자단식 1라운드에서 카테리나 본다렌코(23·우크라이나·52위)에게 1-2(6:2/3:6/6:7)로 역전패했다.

이바노비치는	이바노비치/NNP+는/JX
2일(한국시각)	2/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
미국	미국/NNP
뉴욕	뉴욕/NNP
빌리진	빌리진/NNP
킹	킹/NNP
내셔널	내셔널/NNG
테니스센터에서	테니스/NNG+센터/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
유에스오픈	유에스/NNP+오픈/NNG
여자단식	여자/NNG+단식/NNG
1라운드에서	1/SN+라운드/NNG+에서/JKB
카테리나	카테리나/NNP
본다렌코(23·우크라이나·52위)에게	본다렌코/NNP+(/SS+23/SN+·/SP+우크라이나/NNP+·/SP+52/SN+위/NNB+)/SS+에게/JKB
1-2(6:2/3:6/6:7)로	1/SN+-/SO+2/SN+(/SS+6/SN+:/SP+2/SN+//SP+3/SN+:/SP+6/SN+//SP+6/SN+:/SP+7/SN+)/SS+로/JKB
역전패했다.	역전패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.321.3.2
첫번째 서브 성공률이 59%에 그칠 정도로 서브에서 난조를 보인 게 컸다.

첫번째	첫/MMN+번/NNB+째/XSN
서브	서브/NNG
성공률이	성공/NNG+률/XSN+이/JKS
59%에	59/SN+%/SW+에/JKB
그칠	그치/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
서브에서	서브/NNG+에서/JKB
난조를	난조/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
게	거/NNB+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000024.321.3.3
2003년 프로에 데뷔한 그는 2005년 호주오픈부터 메이저대회 본선 무대를 밟았으며, 대회 첫 경기에서 탈락한 것은 이번이 처음이다.

2003년	2003/SN+년/NNB
프로에	프로/NNG+에/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
2005년	2005/SN+년/NNB
호주오픈부터	호주/NNP+오픈/NNG+부터/JX
메이저대회	메이저/NNG+대회/NNG
본선	본선/NNG
무대를	무대/NNG+를/JKO
밟았으며,	밟/VV+았/EP+으며/EC+,/SP
대회	대회/NNG
첫	첫/MMN
경기에서	경기/NNG+에서/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.321.3.4
이 때문인지, 이바노비치는 경기가 끝난 뒤 고개를 푹 숙이고 경기장을 빠져나갔다.

이	이/NP
때문인지,	때문/NNB+이/VCP+ㄴ지/EC+,/SP
이바노비치는	이바노비치/NNP+는/JX
경기가	경기/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
고개를	고개/NNG+를/JKO
푹	푹/MAG
숙이고	숙이/VV+고/EC
경기장을	경기장/NNG+을/JKO
빠져나갔다.	빠져나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.321.3.5
골프 선수 애덤 스콧(28·호주)과의 열애 이후 그는 이렇다 할 성적을 내지 못하고 있다.

골프	골프/NNG
선수	선수/NNG
애덤	애덤/NNP
스콧(28·호주)과의	스콧/NNP+(/SS+28/SN+·/SP+호주/NNP+)/SS+과/JKB+의/JKG
열애	열애/NNG
이후	이후/NNG
그는	그/NP+는/JX
이렇다	이렇/VA+다/EF
할	하/VV+ㄹ/ETM
성적을	성적/NNG+을/JKO
내지	내/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.321.3.6
‘무관의 여왕’ 디나라 사피나(러시아·1위)와 돌아온 ‘러시안 뷰티’ 마리야 샤라포바(31위)는 2라운드에 진출했다.

‘무관의	‘/SS+무관/NNG+의/JKG
여왕’	여왕/NNG+’/SS
디나라	디나라/NNP
사피나(러시아·1위)와	사피나/NNP+(/SS+러시아/NNP+·/SP+1/SN+위/NNB+)/SS+와/JC
돌아온	돌아오/VV+ㄴ/ETM
‘러시안	‘/SS+러시안/NNG
뷰티’	뷰티/NNG+’/SS
마리야	마리야/NNP
샤라포바(31위)는	샤라포바/NNP+(/SS+31/SN+위/NNB+)/SS+는/JX
2라운드에	2/SN+라운드/NNG+에/JKB
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


