# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.300
metadata : {}


# id : NWRW1800000046.300.1.1
[기자의 시각] '빠던'의 나라

[기자의	[/SS+기자/NNG+의/JKG
시각]	시각/NNG+]/SS
'빠던'의	'/SS+빠던/NNG+'/SS+의/JKG
나라	나라/NNG


# id : NWRW1800000046.300.2.1
처음엔 불어(佛語)인 줄 알았다.

처음엔	처음/NNG+에/JKB+ㄴ/JX
불어(佛語)인	불어/NNP+(/SS+佛語/SH+)/SS+이/VCP+ㄴ/ETM
줄	줄/NNB
알았다.	알/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.300.2.2
'빠던.' '빠따(방망이) 던지기'의 줄임말로, 야구 경기에서 타자가 공을 친 뒤 방망이를 멀리 휙 던져버리는 걸 일컫는다.

'빠던.'	'/SS+빠던/NNG+./SF+'/SS
'빠따(방망이)	'/SS+빠따/NNG+(/SS+방망이/NNG+)/SS
던지기'의	던지기/NNG+'/SS+의/JKG
줄임말로,	줄임/NNG+말/NNG+로/JKB+,/SP
야구	야구/NNG
경기에서	경기/NNG+에서/JKB
타자가	타자/NNG+가/JKS
공을	공/NNG+을/JKO
친	치/VV+ㄴ/ETM
뒤	뒤/NNG
방망이를	방망이/NNG+를/JKO
멀리	멀리/MAG
휙	휙/MAG
던져버리는	던지/VV+어/EC+버리/VX+는/ETM
걸	거/NNB+ㄹ/JKO
일컫는다.	일컫/VV+는다/EF+./SF


# id : NWRW1800000046.300.2.3
21일 한국 야구대표팀 박병호 선수가 '프리미어12' 초대 우승을 결정 짓는 3점 홈런을 때려낸 그 순간, 관중의 눈은 그의 손끝을 향했다.

21일	21/SN+일/NNB
한국	한국/NNP
야구대표팀	야구/NNG+대표/NNG+팀/NNG
박병호	박병호/NNP
선수가	선수/NNG+가/JKS
'프리미어12'	'/SS+프리미어/NNG+12/SN+'/SS
초대	초대/NNG
우승을	우승/NNG+을/JKO
결정	결정/NNG
짓는	짓/VV+는/ETM
3점	3/SN+점/NNB
홈런을	홈런/NNG+을/JKO
때려낸	때리/VV+어/EC+내/VX+ㄴ/ETM
그	그/MMD
순간,	순간/NNG+,/SP
관중의	관중/NNG+의/JKG
눈은	눈/NNG+은/JX
그의	그/NP+의/JKG
손끝을	손끝/NNG+을/JKO
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.300.2.4
박병호는 빠던으로 유명한 선수다.

박병호는	박병호/NNP+는/JX
빠던으로	빠던/NNG+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.300.2.5
그는 이날 방망이를 내던지지 않았다.

그는	그/NP+는/JX
이날	이날/NNG
방망이를	방망이/NNG+를/JKO
내던지지	내던지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.300.3.1
이번 대회로 떠오른 가장 뜨거운 키워드라면 단연 빠던일 것이다.

이번	이번/NNG
대회로	대회/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
가장	가장/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
키워드라면	키워드/NNG+이/VCP+라면/EC
단연	단연/MAG
빠던일	빠던/NNG+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.300.3.2
지난 19일 일본과의 대결이 대역전극으로 끝나자 이튿날 빠던은 종일 포털사이트 검색어를 휩쓸었다.

지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
일본과의	일본/NNP+과/JKB+의/JKG
대결이	대결/NNG+이/JKS
대역전극으로	대/XPN+역전극/NNG+으로/JKB
끝나자	끝나/VV+자/EC
이튿날	이튿날/NNG
빠던은	빠던/NNG+은/JX
종일	종일/MAG
포털사이트	포털/NNG+사이트/NNG
검색어를	검색어/NNG+를/JKO
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.300.3.3
승리의 초석을 놓은 오재원 선수가 9회 초 2사 만루 상황에서 빠던을 했다.

승리의	승리/NNG+의/JKG
초석을	초석/NNG+을/JKO
놓은	놓/VV+은/ETM
오재원	오재원/NNP
선수가	선수/NNG+가/JKS
9회	9/SN+회/NNB
초	초/NNB
2사	2/SN+사/NNG
만루	만루/NNG
상황에서	상황/NNG+에서/JKB
빠던을	빠던/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.300.3.4
