# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.136
metadata : {}


# id : NWRW1800000021.136.1.1
[미술 & 소통]여기는 상상미술관… 엉뚱한 질문만 환영!

[미술	[/SS+미술/NNG
&	&/SW
소통]여기는	소통/NNG+]/SS+여기/NP+는/JX
상상미술관…	상상/NNG+미술관/NNG+…/SE
엉뚱한	엉뚱하/VA+ㄴ/ETM
질문만	질문/NNG+만/JX
환영!	환영/NNG+!/SF


# id : NWRW1800000021.136.2.1
식사 준비하고, 설거지하고, 청소하고….

식사	식사/NNG
준비하고,	준비/NNG+하/XSV+고/EC+,/SP
설거지하고,	설거지/NNG+하/XSV+고/EC+,/SP
청소하고….	청소/NNG+하/XSV+고/EC+…/SE+./SF


# id : NWRW1800000021.136.2.2
아빠와 두 아들은 꼼짝 않고 엄마만 부려먹는다.

아빠와	아빠/NNG+와/JC
두	두/MMN
아들은	아들/NNG+은/JX
꼼짝	꼼짝/MAG
않고	않/VV+고/EC
엄마만	엄마/NNG+만/JX
부려먹는다.	부리/VV+어/EC+먹/VX+는다/EF+./SF


# id : NWRW1800000021.136.2.3
하루 종일 동동거리던 엄마가 사라진다.

하루	하루/NNG
종일	종일/MAG
동동거리던	동동거리/VV+던/ETM
엄마가	엄마/NNG+가/JKS
사라진다.	사라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.136.2.4
남은 음식을 찾겠다며 집안을 뒤지는 식구들의 모습은 어느새 돼지처럼 변해간다.

남은	남/VV+은/ETM
음식을	음식/NNG+을/JKO
찾겠다며	찾/VV+겠/EP+다며/EF
집안을	집안/NNG+을/JKO
뒤지는	뒤지/VV+는/ETM
식구들의	식구/NNG+들/XSN+의/JKG
모습은	모습/NNG+은/JX
어느새	어느새/MAG
돼지처럼	돼지/NNG+처럼/JKB
변해간다.	변하/VV+아/EC+가/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.136.3.1
6월 23일까지 서울 서초구 예술의 전당 한가람미술관에서 열리는 ‘동화책 속 세계여행’(02-585-9991)에선 인기작가 앤서니 브라운의 ‘돼지책’ 원화를 만날 수 있다.

6월	6/SN+월/NNB
23일까지	23/SN+일/NNB+까지/JX
서울	서울/NNP
서초구	서초구/NNP
예술의	예술/NNG+의/JKG
전당	전당/NNG
한가람미술관에서	한가람미술관/NNP+에서/JKB
열리는	열리/VV+는/ETM
‘동화책	‘/SS+동화책/NNG
속	속/NNG
세계여행’(02-585-9991)에선	세계/NNG+여행/NNG+’/SS+(/SS+02/SN+-/SO+585/SN+-/SO+9991/SN+)/SS+에서/JKB+ㄴ/JX
인기작가	인기/NNG+작가/NNG
앤서니	앤서니/NNP
브라운의	브라운/NNP+의/JKG
‘돼지책’	‘/SS+돼지책/NNP+’/SS
원화를	원화/NNG+를/JKO
만날	만나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.136.3.2
브라운 외에 존 버닝엄, 에르베 튈레, 최숙희 등 국내외 작가 65명의 원화 및 폐품을 활용한 설치 미술과 손뜨개를 활용한 그림책 등 다양한 작업을 선보인다.

브라운	브라운/NNP
외에	외/NNB+에/JKB
존	존/NNP
버닝엄,	버닝엄/NNP+,/SP
에르베	에르베/NNP
튈레,	튈레/NNP+,/SP
최숙희	최숙희/NNP
등	등/NNB
국내외	국내외/NNG
작가	작가/NNG
65명의	65/SN+명/NNB+의/JKG
원화	원화/NNG
및	및/MAG
폐품을	폐품/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
설치	설치/NNG
미술과	미술/NNG+과/JC
손뜨개를	손뜨개/NNG+를/JKO
그림책	그림책/NNG
다양한	다양/NNG+하/XSA+ㄴ/ETM
작업을	작업/NNG+을/JKO
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.136.4.1
아이와 어른에게 두루 사랑받는 만화 ‘피너츠’ 캐릭터를 소재로 한 미술전도 있다.

아이와	아이/NNG+와/JC
어른에게	어른/NNG+에게/JKB
두루	두루/MAG
사랑받는	사랑/NNG+받/XSV+는/ETM
만화	만화/NNG
‘피너츠’	‘/SS+피너츠/NNG+’/SS
캐릭터를	캐릭터/NNG+를/JKO
소재로	소재/NNG+로/JKB
한	하/VV+ㄴ/ETM
미술전도	미술전/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.136.4.2
5월 10일까지 서울 신세계백화점 본점 갤러리에서 열리는 ‘스누피라이프디자인’전(02-310-1921).

5월	5/SN+월/NNB
10일까지	10/SN+일/NNB+까지/JX
서울	서울/NNP
신세계백화점	신세계백화점/NNP
본점	본점/NNG
갤러리에서	갤러리/NNG+에서/JKB
열리는	열리/VV+는/ETM
‘스누피라이프디자인’전(02-310-1921).	‘/SS+스누피/NNP+라이프디자인/NNG+’/SS+전/NA+(/SS+02/SN+-/SO+310/SN+-/SO+1921/SN+)/SS+./SF


# id : NWRW1800000021.136.4.3
건축가 반 시게루, 디자이너 후카사와 나오토 등 예술가 17명이 상상력으로 재해석한 스누피의 세계가 펼쳐진다.

건축가	건축가/NNG
반	반/NNP
시게루,	시게루/NNP+,/SP
디자이너	디자이너/NNG
후카사와	후카사와/NNP
나오토	나오토/NNP
등	등/NNB
예술가	예술가/NNG
17명이	17/SN+명/NNB+이/JKS
상상력으로	상상력/NNG+으로/JKB
재해석한	재/XPN+해석/NNG+하/XSV+ㄴ/ETM
스누피의	스누피/NNP+의/JKG
세계가	세계/NNG+가/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.136.5.1
5월을 맞아 아이와 함께 볼만한 미술전이 풍성하다.

5월을	5/SN+월/NNB+을/JKO
맞아	맞/VV+아/EC
아이와	아이/NNG+와/JKB
함께	함께/MAG
볼만한	보/VV+ㄹ/ETM+만/NNB+하/XSA+ㄴ/ETM
미술전이	미술전/NNG+이/JKS
풍성하다.	풍성/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.136.5.2
그림책과 만화를 실마리로 한 전시에 기발한 발상을 테마로 한 기획전과 미디어아트전까지 ‘어린이 친화적’ 성격을 내세우고 있다.

그림책과	그림책/NNG+과/JC
만화를	만화/NNG+를/JKO
실마리로	실마리/NNG+로/JKB
한	하/VV+ㄴ/ETM
전시에	전시/NNG+에/JKB
기발한	기발하/VA+ㄴ/ETM
발상을	발상/NNG+을/JKO
테마로	테마/NNG+로/JKB
기획전과	기획전/NNG+과/JC
미디어아트전까지	미디어/NNG+아트전/NNG+까지/JX
‘어린이	‘/SS+어린이/NNG
친화적’	친화/NNG+적/XSN+’/SS
성격을	성격/NNG+을/JKO
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.136.5.3
현대미술의 난해함을 덜어내고 톡톡 튀는 상상력에 초점을 맞춘 전시들이라 어린이는 즐겁고, 어른들은 새로운 감성을 충전할 수 있다.

현대미술의	현대/NNG+미술/NNG+의/JKG
난해함을	난해하/VA+ㅁ/ETN+을/JKO
덜어내고	덜/VV+어/EC+내/VX+고/EC
톡톡	톡톡/MAG
튀는	튀/VV+는/ETM
상상력에	상상력/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
전시들이라	전시/NNG+들/XSN+이/VCP+라/EC
어린이는	어린이/NNG+는/JX
즐겁고,	즐겁/VA+고/EC+,/SP
어른들은	어른/NNG+들/XSN+은/JX
새로운	새롭/VA+ㄴ/ETM
감성을	감성/NNG+을/JKO
충전할	충전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.136.6.1
○ 상상의 힘, 치유의 힘

○	○/SW
상상의	상상/NNG+의/JKG
힘,	힘/NNG+,/SP
치유의	치유/NNG+의/JKG
힘	힘/NNG


# id : NWRW1800000021.136.7.1
수박이 칼을 찬 사무라이로 변신하고(도영준), 상처와 아픔의 때를 밀어주는 목욕탕이 등장하며(김정향) 호랑이는 커피를 홀짝인다(안윤모).

수박이	수박/NNG+이/JKS
칼을	칼/NNG+을/JKO
찬	차/VV+ㄴ/ETM
사무라이로	사무라이/NNG+로/JKB
변신하고(도영준),	변신/NNG+하/XSV+고/EC+(/SS+도영준/NNP+)/SS+,/SP
상처와	상처/NNG+와/JC
아픔의	아픔/NNG+의/JKG
때를	때/NNG+를/JKO
밀어주는	밀어주/VV+는/ETM
목욕탕이	목욕탕/NNG+이/JKS
등장하며(김정향)	등장/NNG+하/XSV+며/EC+(/SS+김정향/NNP+)/SS
호랑이는	호랑이/NNG+는/JX
커피를	커피/NNG+를/JKO
홀짝인다(안윤모).	홀짝이/VV+ㄴ다/EF+(/SS+안윤모/NNP+)/SS+./SF


# id : NWRW1800000021.136.7.2
6월 28일까지 경기 고양시 아람미술관에서 열리는 ‘행복한 상상프로젝트’전(031-960-0180).

6월	6/SN+월/NNB
28일까지	28/SN+일/NNB+까지/JX
경기	경기/NNP
고양시	고양시/NNP
아람미술관에서	아람미술관/NNP+에서/JKB
열리는	열리/VV+는/ETM
‘행복한	‘/SS+행복/NNG+하/XSA+ㄴ/ETM
상상프로젝트’전(031-960-0180).	상상/NNG+프로젝트/NNG+’/SS+전/NA+(/SS+031/SN+-/SO+960/SN+-/SO+0180/SN+)/SS+./SF


# id : NWRW1800000021.136.7.3
엉뚱, 유쾌, 발랄한 ‘상상’을 통해 일상에 활력을 일깨운다.

엉뚱,	엉뚱/XR+,/SP
유쾌,	유쾌/NNG+,/SP
발랄한	발랄하/VA+ㄴ/ETM
