# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.168
metadata : {}


# id : NWRW1800000028.168.1.1
중 우다웨이, 위성락 본부장 면담 “6자 잘 돌아갔더라면” /한-미-일 외교부 고위당국자, 향후 ‘대응방향’ 협의 /러 대통령, 이 대통령과 통화 “북에 제대로 신호줄것”

중	중/NNP
우다웨이,	우다웨이/NNP+,/SP
위성락	위성락/NNP
본부장	본부장/NNG
면담	면담/NNG
“6자	“/SS+6/SN+자/NNB
잘	잘/MAG
돌아갔더라면”	돌아가/VV+았/EP+더라면/EC+”/SS
/한-미-일	//SP+한-미-일/NNP
외교부	외교부/NNG
고위당국자,	고위/NNG+당국자/NNG+,/SP
향후	향후/NNG
‘대응방향’	‘/SS+대응/NNG+방향/NNG+’/SS
협의	협의/NNG
/러	//SP+러/NNP
대통령,	대통령/NNG+,/SP
이	이/NNP
대통령과	대통령/NNG+과/JKB
통화	통화/NNG
“북에	“/SS+북/NNP+에/JKB
제대로	제대로/MAG
신호줄것”	신호/NNG+주/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000028.168.2.1
천안함 침몰 사태와 관련한 한반도 주변국들의 움직임이 빨라지고 있다.

천안함	천안함/NNP
침몰	침몰/NNG
사태와	사태/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
한반도	한반도/NNP
주변국들의	주변국/NNG+들/XSN+의/JKG
움직임이	움직임/NNG+이/JKS
빨라지고	빠르/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.168.3.1
북핵 6자회담 의장국인 중국의 우다웨이 한반도사무 특별대표는 25일 서울 세종로 정부중앙청사 별관에서 위성락 외교통상부 한반도평화교섭본부장과 면담을 한 자리에서 한국 정부에 한반도 안정과 평화를 강조했다고 정부 고위당국자가 이날 밝혔다.

북핵	북핵/NNG
6자회담	6/SN+자/NNB+회담/NNG
의장국인	의장국/NNG+이/VCP+ㄴ/ETM
중국의	중국/NNP+의/JKG
우다웨이	우다웨이/NNP
한반도사무	한반도/NNP+사무/NNG
특별대표는	특별/NNG+대표/NNG+는/JX
25일	25/SN+일/NNB
서울	서울/NNP
세종로	세종로/NNP
정부중앙청사	정부중앙청사/NNP
별관에서	별관/NNG+에서/JKB
위성락	위성락/NNP
외교통상부	외교/NNG+통상부/NNG
한반도평화교섭본부장과	한반도평화교섭본부장/NNG+과/JKB
면담을	면담/NNG+을/JKO
한	하/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
한국	한국/NNP
정부에	정부/NNG+에/JKB
한반도	한반도/NNP
안정과	안정/NNG+과/JC
평화를	평화/NNG+를/JKO
강조했다고	강조/NNG+하/XSV+았/EP+다고/EC
정부	정부/NNG
고위당국자가	고위/NNG+당국자/NNG+가/JKS
이날	이날/NNG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.168.3.2
이 당국자는 “중국이 북한에 대해서도 자제를 촉구하고 평화와 안정을 얘기한 것 같은 인상을 받았다”고 전했다.

이	이/NNP
당국자는	당국자/NNG+는/JX
“중국이	“/SS+중국/NNP+이/JKS
북한에	북한/NNP+에/JKB
대해서도	대하/VV+아서/EC+도/JX
자제를	자제/NNG+를/JKO
촉구하고	촉구/NNG+하/XSV+고/EC
평화와	평화/NNG+와/JC
안정을	안정/NNG+을/JKO
얘기한	얘기/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같은	같/VA+은/ETM
인상을	인상/NNG+을/JKO
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.168.4.1
이날 회동에서 위성락 본부장은 천안함 문제를 집중적으로 거론했으나, 우 대표는 상대적으로 6자회담 문제에 더 큰 관심을 표명하는 분위기였던 것으로 알려졌다.

이날	이날/NNG
회동에서	회동/NNG+에서/JKB
위성락	위성락/NNP
본부장은	본부장/NNG+은/JX
천안함	천안함/NNP
문제를	문제/NNG+를/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
거론했으나,	거론/NNG+하/XSV+았/EP+으나/EC+,/SP
우	우/NNP
대표는	대표/NNG+는/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
6자회담	6/SN+자/NNB+회담/NNG
문제에	문제/NNG+에/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
표명하는	표명/NNG+하/XSV+는/ETM
분위기였던	분위기/NNG+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.168.4.2
우 대표는 이날 면담에서 “6자회담이 잘 돌아갔더라면 더 좋았겠다라는 생각을 하게 된다”고 말했으며, 위 본부장은 “천안함 때문에 6자회담이 열릴 수 없었다”고 얘기했다고 이 당국자는 전했다.

우	우/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
면담에서	면담/NNG+에서/JKB
“6자회담이	“/SS+6/SN+자/NNB+회담/NNG+이/JKS
잘	잘/MAG
돌아갔더라면	돌아가/VV+았/EP+더라면/EC
더	더/MAG
좋았겠다라는	좋/VA+았/EP+겠/EP+다라는/ETM
생각을	생각/NNG+을/JKO
하게	하/VV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했으며,	말/NNG+하/XSV+았/EP+으며/EC+,/SP
위	위/NNP
본부장은	본부장/NNG+은/JX
“천안함	“/SS+천안함/NNP
때문에	때문/NNB+에/JKB
6자회담이	6/SN+자/NNB+회담/NNG+이/JKS
열릴	열리/VV+ㄹ/ETM
수	수/NNB
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
얘기했다고	얘기/NNG+하/XSV+았/EP+다고/EC
이	이/NNP
당국자는	당국자/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.168.5.1
이와 함께 위 본부장과 커트 캠벨 미국 국무부 동아시아태평양 담당 차관보, 사이키 아키타카 일본 외무성 아시아대양주국장 등 한-미-일 3국의 고위당국자들이 26일 서울에서 조찬 모임을 갖고 천안함 사태 대응 방향을 협의한다.

이와	이/NP+와/JKB
함께	함께/MAG
위	위/NNP
본부장과	본부장/NNG+과/JC
커트	커트/NNP
캠벨	캠벨/NNP
미국	미국/NNP
국무부	국무부/NNG
동아시아태평양	동아시아/NNP+태평양/NNP
담당	담당/NNG
차관보,	차관보/NNG+,/SP
사이키	사이키/NNP
아키타카	아키타카/NNP
일본	일본/NNP
외무성	외무성/NNG
