# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.153
metadata : {}


# id : NWRW1800000029.153.1.1
“관람석 추락만은…” 끝까지 조종간 돌린 74세 노장, 300명 살렸다

“관람석	“/SS+관람석/NNG
추락만은…”	추락/NNG+만/JX+은/JX+…/SE+”/SS
끝까지	끝/NNG+까지/JX
조종간	조종간/NNG
돌린	돌리/VV+ㄴ/ETM
74세	74/SN+세/NNB
노장,	노장/NNG+,/SP
300명	300/SN+명/NNB
살렸다	살리/VV+었/EP+다/EF


# id : NWRW1800000029.153.2.1
관람석 앞쪽 박스에 추락… 구사일생 관중들 감사의 글

관람석	관람석/NNG
앞쪽	앞쪽/NNG
박스에	박스/NNG+에/JKB
추락…	추락/NNG+…/SE
구사일생	구사일생/NNG
관중들	관중/NNG+들/XSN
감사의	감사/NNG+의/JKG
글	글/NNG


# id : NWRW1800000029.153.3.1
“내가 앉아 있는 관람석 방향으로 비행기가 떨어지는 것을 보며 눈을 감고 죽을 준비를 했어요.

“내가	“/SS+내/NP+가/JKS
앉아	앉/VV+아/EC
있는	있/VX+는/ETM
관람석	관람석/NNG
방향으로	방향/NNG+으로/JKB
비행기가	비행기/NNG+가/JKS
떨어지는	떨어지/VV+는/ETM
것을	것/NNB+을/JKO
보며	보/VV+며/EC
눈을	눈/NNG+을/JKO
감고	감/VV+고/EC
죽을	죽/VV+을/ETM
준비를	준비/NNG+를/JKO
했어요.	하/VV+았/EP+어요/EF+./SF


# id : NWRW1800000029.153.3.2
하지만 비행기는 우리로부터 25피트(약 7.5m)가량 떨어진 곳에 추락했어요.

하지만	하지만/MAJ
비행기는	비행기/NNG+는/JX
우리로부터	우리/NP+로부터/JKB
25피트(약	25/SN+피트/NNB+(/SS+약/MMA
7.5m)가량	7/SN+./SP+5/SN+m/SW+)/SS+가량/XSN
떨어진	떨어지/VV+ㄴ/ETM
곳에	곳/NNG+에/JKB
추락했어요.	추락/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000029.153.3.3
조종사는 영웅이었다고 그의 유족에게 말해주고 싶어요.”

조종사는	조종사/NNG+는/JX
영웅이었다고	영웅/NNG+이/VCP+었/EP+다고/EC
그의	그/NP+의/JKG
유족에게	유족/NNG+에게/JKB
말해주고	말/NNG+하/XSV+아/EC+주/VX+고/EC
싶어요.”	싶/VX+어요/EF+./SF+”/SS


# id : NWRW1800000029.153.3.4
16일 미국 네바다 주 리노에서 열린 ‘내셔널 챔피언십 에어레이스’에서 발생한 비행기 추락사고 현장에 있던 킴 폰다 씨의 사고 당시 회상이다.

16일	16/SN+일/NNB
미국	미국/NNP
네바다	네바다/NNP
주	주/NNG
리노에서	리노/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘내셔널	‘/SS+내셔널/NNG
챔피언십	챔피언십/NNG
에어레이스’에서	에어레이스/NNG+’/SS+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
비행기	비행기/NNG
추락사고	추락/NNG+사고/NNG
현장에	현장/NNG+에/JKB
있던	있/VA+던/ETM
킴	킴/NNP
폰다	폰다/NNP
씨의	씨/NNB+의/JKG
사고	사고/NNG
당시	당시/NNG
회상이다.	회상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.153.3.5
조종사 지미 리워드 씨(74)가 몰던 ‘P-51 머스탱’이 주 관람석 앞쪽에 있는 박스로 추락하면서 리워드 씨를 포함한 9명이 숨지고 54명이 다쳤다.

조종사	조종사/NNG
지미	지미/NNP
리워드	리워드/NNP
씨(74)가	씨/NNB+(/SS+74/SN+)/SS+가/JKS
몰던	몰/VV+던/ETM
‘P-51	‘/SS+P/SL+-/SO+51/SN
머스탱’이	머스탱/NNG+’/SS+이/JKS
주	주/MMA
관람석	관람석/NNG
앞쪽에	앞쪽/NNG+에/JKB
있는	있/VA+는/ETM
박스로	박스/NNG+로/JKB
추락하면서	추락/NNG+하/XSV+면서/EC
씨를	씨/NNB+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
9명이	9/SN+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
54명이	54/SN+명/NNB+이/JKS
다쳤다.	다치/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.153.3.6
영국 일간 데일리메일은 사고 현장에 있던 관람객들의 말을 인용해 리워드 씨가 주 관람석 충돌 직전 비행기를 수직 상승시키면서 관람석 앞쪽에 떨어져 인명 피해를 줄일 수 있었다고 보도했다.

영국	영국/NNP
일간	일간/NNG
데일리메일은	데일리메일/NNP+은/JX
사고	사고/NNG
현장에	현장/NNG+에/JKB
있던	있/VA+던/ETM
관람객들의	관람객/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
리워드	리워드/NNP
씨가	씨/NNB+가/JKS
주	주/MMA
관람석	관람석/NNG
충돌	충돌/NNG
직전	직전/NNG
비행기를	비행기/NNG+를/JKO
수직	수직/NNG
상승시키면서	상승/NNG+시키/XSV+면서/EC
앞쪽에	앞쪽/NNG+에/JKB
떨어져	떨어지/VV+어/EC
인명	인명/NNG
피해를	피해/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있었다고	있/VA+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.153.4.1
에어쇼를 관람했던 벤 시셀 씨는 미국 CNN과의 인터뷰에서 “조종사가 추락하면서 관람석을 발견하고 조종간을 돌려 200∼300명의 목숨을 구했다”고 말했다.

에어쇼를	에어쇼/NNG+를/JKO
관람했던	관람/NNG+하/XSV+았/EP+던/ETM
벤	벤/NNP
