# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.336
metadata : {}


# id : NWRW1800000048.336.1.1
‘낭랑 18세’ 벤치치 기세 무섭네

‘낭랑	‘/SS+낭랑/XR
18세’	18/SN+세/NNB+’/SS
벤치치	벤치치/NNP
기세	기세/NNG
무섭네	무섭/VA+네/EF


# id : NWRW1800000048.336.2.1
세계랭킹 1·3·5위 잇따라 격파

세계랭킹	세계/NNG+랭킹/NNG
1·3·5위	1/SN+·/SP+3/SN+·/SP+5/SN+위/NNB
잇따라	잇따르/VV+아/EC
격파	격파/NNG


# id : NWRW1800000048.336.3.1
로저스컵 여자단식 정상 올라

로저스컵	로저스컵/NNG
여자단식	여자/NNG+단식/NNG
정상	정상/NNG
올라	오르/VV+아/EF


# id : NWRW1800000048.336.4.1
여자프로테니스(WTA) 투어에 ‘제2의 마르티나 힝기스’가 떴다.

여자프로테니스(WTA)	여자/NNG+프로/NNG+테니스/NNG+(/SS+WTA/SL+)/SS
투어에	투어/NNG+에/JKB
‘제2의	‘/SS+제/XPN+2/SN+의/JKG
마르티나	마르티나/NNP
힝기스’가	힝기스/NNP+’/SS+가/JKS
떴다.	뜨/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.336.5.1
주인공은 만 18살의 벨린다 벤치치(스위스).

주인공은	주인공/NNG+은/JX
만	만/MMA
18살의	18/SN+살/NNB+의/JKG
벨린다	벨린다/NNP
벤치치(스위스).	벤치치/NNP+(/SS+스위스/NNP+)/SS+./SF


# id : NWRW1800000048.336.5.2
세계랭킹 20위였던 그는 16일(현지시각) 캐나다 토론토에서 열린 로저스컵 여자단식 결승에서 세계랭킹 3위 시모나 할레프(루마니아)와 세트스코어 1-1로 팽팽히 맞선 뒤 3세트에서 기권승을 거두고 우승했다.

세계랭킹	세계/NNG+랭킹/NNG
20위였던	20/SN+위/NNB+이/VCP+었/EP+던/ETM
그는	그/NP+는/JX
16일(현지시각)	16/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
캐나다	캐나다/NNP
토론토에서	토론토/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
로저스컵	로저스컵/NNG
여자단식	여자/NNG+단식/NNG
결승에서	결승/NNG+에서/JKB
3위	3/SN+위/NNB
시모나	시모나/NNP
할레프(루마니아)와	할레프/NNP+(/SS+루마니아/NNP+)/SS+와/JKB
세트스코어	세트/NNG+스코어/NNG
1-1로	1/SN+-/SO+1/SN+로/JKB
팽팽히	팽팽히/MAG
맞선	맞서/VV+ㄴ/ETM
뒤	뒤/NNG
3세트에서	3/SN+세트/NNG+에서/JKB
기권승을	기권승/NNG+을/JKO
거두고	거두/VV+고/EC
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.336.5.3
벤치치는 1세트를 7-6<5>으로 잡은 뒤 2세트를 6-7<4>로 내줬고, 3세트 3-0으로 앞선 상황에서 할레프가 다리 부상으로 기권하면서 우승을 확정지었다.

벤치치는	벤치치/NNP+는/JX
1세트를	1/SN+세트/NNG+를/JKO
7-6<5>으로	7/SN+-/SO+6/SN+</SS+5/SN+>/SS+으로/JKB
잡은	잡/VV+은/ETM
뒤	뒤/NNG
2세트를	2/SN+세트/NNG+를/JKO
6-7<4>로	6/SN+-/SO+7/SN+</SS+4/SN+>/SS+로/JKB
내줬고,	내주/VV+었/EP+고/EC+,/SP
3세트	3/SN+세트/NNG
3-0으로	3/SN+-/SO+0/SN+으로/JKB
앞선	앞서/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
할레프가	할레프/NNP+가/JKS
다리	다리/NNG
부상으로	부상/NNG+으로/JKB
기권하면서	기권/NNG+하/XSV+면서/EC
우승을	우승/NNG+을/JKO
확정지었다.	확정/NNG+짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.336.6.1
벤치치는 이번 대회 4강전에서 세계 1위 서리나 윌리엄스(미국)를 2-1, 8강전에서 세계 5위 아나 이바노비치(세르비아)를 2-0으로 누르는 등 놀라운 경기력을 보여줬다.

벤치치는	벤치치/NNP+는/JX
이번	이번/NNG
대회	대회/NNG
4강전에서	4/SN+강전/NNB+에서/JKB
세계	세계/NNG
1위	1/SN+위/NNB
서리나	서리나/NNP
윌리엄스(미국)를	윌리엄스/NNP+(/SS+미국/NNP+)/SS+를/JKO
2-1,	2/SN+-/SO+1/SN+,/SP
8강전에서	8/SN+강전/NNB+에서/JKB
5위	5/SN+위/NNB
아나	아나/NNP
이바노비치(세르비아)를	이바노비치/NNP+(/SS+세르비아/NNP+)/SS+를/JKO
2-0으로	2/SN+-/SO+0/SN+으로/JKB
누르는	누르/VV+는/ETM
등	등/NNB
놀라운	놀랍/VA+ㄴ/ETM
경기력을	경기력/NNG+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.336.6.2
32강전에서는 캐럴라인 보즈니아키(덴마크)를 2-0으로 잡았다.

32강전에서는	32/SN+강전/NNB+에서/JKB+는/JX
캐럴라인	캐럴라인/NNP
보즈니아키(덴마크)를	보즈니아키/NNP+(/SS+덴마크/NNP+)/SS+를/JKO
2-0으로	2/SN+-/SO+0/SN+으로/JKB
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.336.6.3
이번 우승으로 세계 12위로 수직상승했다.

이번	이번/NNG
우승으로	우승/NNG+으로/JKB
세계	세계/NNG
12위로	12/SN+위/NNB+로/JKB
수직상승했다.	수직/NNG+상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.336.7.1
지난해 여자프로테니스 정규투어에 데뷔한 벤치치는 만 17살6개월 나이에 유에스(US)오픈 여자단식 8강에 올라 주목을 끌었고, 신인상을 받았다.

지난해	지난해/NNG
여자프로테니스	여자/NNG+프로/NNG+테니스/NNG
정규투어에	정규/NNG+투어/NNG+에/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
벤치치는	벤치치/NNP+는/JX
만	만/MMA
17살6개월	17/SN+살/NNB+6/SN+개월/NNB
나이에	나이/NNG+에/JKB
유에스(US)오픈	유에스/NNP+(/SS+US/SL+)/SS+오픈/NNG
여자단식	여자/NNG+단식/NNG
8강에	8/SN+강/NNB+에/JKB
올라	오르/VV+아/EC
주목을	주목/NNG+을/JKO
끌었고,	끌/VV+었/EP+고/EC+,/SP
신인상을	신인상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF
