# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.369
metadata : {}


# id : NWRW1800000044.369.1.1
세부내용도 없이…‘국가개조위’ 급조 발표

세부내용도	세부/NNG+내용/NNG+도/JX
없이…‘국가개조위’	없이/MAG+…/SE+‘/SS+국가/NNG+개조위/NNG+’/SS
급조	급조/NNG
발표	발표/NNG


# id : NWRW1800000044.369.2.1
[한겨레] 정부, 국회 사전통보도 안해

[한겨레]	[/SS+한겨레/NNP+]/SS
정부,	정부/NNG+,/SP
국회	국회/NNG
사전통보도	사전/NNG+통보/NNG+도/JX
안해	안/MAG+하/VV+아/EF


# id : NWRW1800000044.369.3.1
정홍원 국무총리가 유임이 결정된 지 12일 만인 8일 대국민 담화를 통해 국가개조 작업을 강력히 추진하겠다고 밝혔다.

정홍원	정홍원/NNP
국무총리가	국무총리/NNG+가/JKS
유임이	유임/NNG+이/JKS
결정된	결정/NNG+되/XSV+ㄴ/ETM
지	지/NNB
12일	12/SN+일/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
8일	8/SN+일/NNB
대국민	대국민/NNG
담화를	담화/NNG+를/JKO
통해	통하/VV+아/EC
국가개조	국가/NNG+개조/NNG
작업을	작업/NNG+을/JKO
강력히	강력히/MAG
추진하겠다고	추진/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.369.4.1
정 총리는 이날 서울 광화문 정부청사에서 기자회견을 열어 ‘국가대개조 범국민위원회’를 만들겠다고 말했다.

정	정/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
서울	서울/NNP
광화문	광화문/NNP
정부청사에서	정부/NNG+청사/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
‘국가대개조	‘/SS+국가/NNG+대/XPN+개조/NNG
범국민위원회’를	범/XPN+국민/NNG+위원회/NNG+’/SS+를/JKO
만들겠다고	만들/VV+겠/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.369.4.2
그러나 이날 발표 내용 대부분이 아이디어 수준의 구상에 머물러 ‘국가개조 의지를 밝히는 수준’의 발표 아니냐는 지적도 나온다.

그러나	그러나/MAJ
이날	이날/NNG
발표	발표/NNG
내용	내용/NNG
대부분이	대/XPN+부분/NNG+이/JKS
아이디어	아이디어/NNG
수준의	수준/NNG+의/JKG
구상에	구상/NNG+에/JKB
머물러	머무르/VV+어/EC
‘국가개조	‘/SS+국가/NNG+개조/NNG
의지를	의지/NNG+를/JKO
밝히는	밝히/VV+는/ETM
수준’의	수준/NNG+’/SS+의/JKG
아니냐는	아니/VCN+냐는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.369.5.1
정 총리는 “국가안전체계를 제대로 갖추고 공직사회 혁신, 부패구조 혁파 등 공직 개혁을 우선적으로 추진하겠다”고 말했다.

정	정/NNP
총리는	총리/NNG+는/JX
“국가안전체계를	“/SS+국가/NNG+안전/NNG+체계/NNG+를/JKO
제대로	제대로/MAG
갖추고	갖추/VV+고/EC
공직사회	공직/NNG+사회/NNG
혁신,	혁신/NNG+,/SP
부패구조	부패/NNG+구조/NNG
혁파	혁파/NNG
등	등/NNB
공직	공직/NNG
개혁을	개혁/NNG+을/JKO
우선적으로	우선/NNG+적/XSN+으로/JKB
추진하겠다”고	추진/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.369.5.2
총리실은 이를 위해 민·관 합동으로 ‘국가대개조 범국민위원회’를 꾸리고, 위원회 산하에 공직개혁·안전혁신·부패척결·의식개혁 등 전문분과를 두어 국민 의견을 수렴하고 의제를 계속 발굴해 나가겠다고 말했다.

총리실은	총리실/NNG+은/JX
이를	이/NP+를/JKO
위해	위하/VV+아/EC
