# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.281
metadata : {}


# id : NWRW1800000030.281.1.1
[만물상] 잠수함 수출

[만물상]	[/SS+만물상/NNG+]/SS
잠수함	잠수함/NNG
수출	수출/NNG


# id : NWRW1800000030.281.2.1
태평양전쟁이 터질 때 일본 함대와 미국 태평양함대의 전력은 항공모함 10척 대 3척, 전함 10척 대 8척, 잠수함 62척 대 57척으로 일본 절대 우위였다.

태평양전쟁이	태평양/NNP+전쟁/NNG+이/JKS
터질	터지/VV+ㄹ/ETM
때	때/NNG
일본	일본/NNP
함대와	함대/NNG+와/JC
미국	미국/NNP
태평양함대의	태평양/NNP+함대/NNG+의/JKG
전력은	전력/NNG+은/JX
항공모함	항공/NNG+모함/NNG
10척	10/SN+척/NNB
대	대/NNB
3척,	3/SN+척/NNB+,/SP
전함	전함/NNG
8척,	8/SN+척/NNB+,/SP
잠수함	잠수함/NNG
62척	62/SN+척/NNB
57척으로	57/SN+척/NNB+으로/JKB
절대	절대/NNG
우위였다.	우위/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.281.2.2
미 해군은 일본이 경시하고 있던 잠수함 전투에 총력을 기울여 이를 뒤집었다.

미	미/NNP
해군은	해군/NNG+은/JX
일본이	일본/NNP+이/JKS
경시하고	경시/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
잠수함	잠수함/NNG
전투에	전투/NNG+에/JKB
총력을	총력/NNG+을/JKO
기울여	기울이/VV+어/EC
이를	이/NP+를/JKO
뒤집었다.	뒤집/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.281.2.3
잠망경에 인원을 고정배치하고 모든 탐지장치를 풀가동해 적함의 공격 루트를 철저히 분석했다.

잠망경에	잠망경/NNG+에/JKB
인원을	인원/NNG+을/JKO
고정배치하고	고정/NNG+배치/NNG+하/XSV+고/EC
모든	모든/MMN
탐지장치를	탐지/NNG+장치/NNG+를/JKO
풀가동해	풀가동/NNG+하/XSV+아/EC
적함의	적함/NNG+의/JKG
공격	공격/NNG
루트를	루트/NNG+를/JKO
철저히	철저히/MAG
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.281.2.4
기뢰 구역을 탐지하는 새 FM 음향탐지기도 개발했다.

기뢰	기뢰/NNG
구역을	구역/NNG+을/JKO
탐지하는	탐지/NNG+하/XSV+는/ETM
새	새/MMA
FM	FM/SL
