# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.353
metadata : {}


# id : NWRW1800000054.353.1.1
문재인, 朴대통령 추진 '액티브X 폐지'를 공약으로

문재인,	문재인/NNP+,/SP
朴대통령	朴/SH+대통령/NNG
추진	추진/NNG
'액티브X	'/SS+액티브/NNG+X/SL
폐지'를	폐지/NNG+'/SS+를/JKO
공약으로	공약/NNG+으로/JKB


# id : NWRW1800000054.353.2.1
구로 디지털단지서 ICT 간담회 "금지된 것 빼곤 다 할 수 있도록 4차혁명 분야에 규제 완화할 것

구로	구로/NNP
디지털단지서	디지털/NNG+단지/NNG+서/JKB
ICT	ICT/SL
간담회	간담회/NNG
"금지된	"/SS+금지/NNG+되/XSV+ㄴ/ETM
것	것/NNB
빼곤	빼/VV+곤/EC
다	다/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
4차혁명	4/SN+차/NNB+혁명/NNG
분야에	분야/NNG+에/JKB
규제	규제/NNG
완화할	완화/NNG+하/XSV+ㄹ/ETM


# id : NWRW1800000054.353.3.1
문재인 더불어민주당 후보가 2일 정보통신기술(ICT) 분야 정책을 발표하며 '액티브X 폐지' '규제 완화' 같은 공약을 내놨다.

문재인	문재인/NNP
더불어민주당	더불어민주당/NNP
후보가	후보/NNG+가/JKS
2일	2/SN+일/NNB
정보통신기술(ICT)	정보/NNG+통신/NNG+기술/NNG+(/SS+ICT/SL+)/SS
분야	분야/NNG
정책을	정책/NNG+을/JKO
발표하며	발표/NNG+하/XSV+며/EC
'액티브X	'/SS+액티브/NNG+X/SL
폐지'	폐지/NNG+'/SS
'규제	'/SS+규제/NNG
완화'	완화/NNG+'/SS
같은	같/VA+은/ETM
공약을	공약/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.353.3.2
문 후보는 이를 'ICT 적폐 청산'이라고 했다.

문	문/NNP
후보는	후보/NNG+는/JX
이를	이/NP+를/JKO
'ICT	'/SS+ICT/SL
적폐	적폐/NNG
청산'이라고	청산/NNG+'/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.353.3.3
다른 분야와 달리 이날은 박근혜 대통령이 '창조 경제'를 내세우며 강조했던 내용과 겹치는 내용이 많았다.

다른	다른/MMD
분야와	분야/NNG+와/JKB
달리	달리/MAG
이날은	이날/NNG+은/JX
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
'창조	'/SS+창조/NNG
경제'를	경제/NNG+'/SS+를/JKO
내세우며	내세우/VV+며/EC
강조했던	강조/NNG+하/XSV+았/EP+던/ETM
내용과	내용/NNG+과/JKB
겹치는	겹치/VV+는/ETM
내용이	내용/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.353.4.1
문 후보는 이날 서울 구로구 디지털단지에서 열린 'ICT 현장 리더 간담회'에서 "4차 혁명 시대의 ICT 중소 벤처기업이 대한민국 경제의 성장 동력이 되도록 만들겠다"며 "신산업 ICT 분야는 금지된 것 빼고는 다 할 수 있도록 규제를 완화하겠다"고 했다.

문	문/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
서울	서울/NNP
구로구	구로구/NNP
디지털단지에서	디지털/NNG+단지/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
'ICT	'/SS+ICT/SL
현장	현장/NNG
리더	리더/NNG
간담회'에서	간담회/NNG+'/SS+에서/JKB
"4차	"/SS+4/SN+차/NNB
혁명	혁명/NNG
시대의	시대/NNG+의/JKG
ICT	ICT/SL
중소	중소/NNG
벤처기업이	벤처/NNG+기업/NNG+이/JKS
대한민국	대한민국/NNP
경제의	경제/NNG+의/JKG
성장	성장/NNG
동력이	동력/NNG+이/JKC
되도록	되/VV+도록/EC
만들겠다"며	만들/VV+겠/EP+다/EF+"/SS+며/EC
"신산업	"/SS+신/XPN+산업/NNG
분야는	분야/NNG+는/JX
금지된	금지/NNG+되/XSV+ㄴ/ETM
것	것/NNB
빼고는	빼/VV+고/EC+는/JX
다	다/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
규제를	규제/NNG+를/JKO
완화하겠다"고	완화/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.353.4.2
그러면서 "공인인증서 완전 폐지를 실현해 다양한 인증 방식이 시장에서 경쟁할 수 있도록 하고 '액티브X'도 폐지하겠다"고도 했다.

그러면서	그러/VV+면서/EC
"공인인증서	"/SS+공인/NNG+인증서/NNG
완전	완전/NNG
폐지를	폐지/NNG+를/JKO
실현해	실현/NNG+하/XSV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
인증	인증/NNG
방식이	방식/NNG+이/JKS
시장에서	시장/NNG+에서/JKB
경쟁할	경쟁/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고	하/VX+고/EC
'액티브X'도	'/SS+액티브/NNG+X/SL+'/SS+도/JX
폐지하겠다"고도	폐지/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.353.4.3
'액티브X'는 인터넷 사이트에서 보안·인증·결제 등의 기능을 추가하기 위한 기술이지만 오히려 보안상 문제가 많이 발견되면서 해외에서는 거의 쓰지 않고 있다.

'액티브X'는	'/SS+액티브/NNG+X/SL+'/SS+는/JX
인터넷	인터넷/NNG
사이트에서	사이트/NNG+에서/JKB
보안·인증·결제	보안/NNG+·/SP+인증/NNG+·/SP+결제/NNG
등의	등/NNB+의/JKG
기능을	기능/NNG+을/JKO
추가하기	추가/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
