# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.149
metadata : {}


# id : NWRW1800000029.149.1.1
[카다피의 종말]총성도 멎기 전… “석유 선점” 열강 아우성

[카다피의	[/SS+카다피/NNP+의/JKG
종말]총성도	종말/NNG+]/SS+총성/NNG+도/JX
멎기	멎/VV+기/ETN
전…	전/NNG+…/SE
“석유	“/SS+석유/NNG
선점”	선점/NNG+”/SS
열강	열강/NNG
아우성	아우성/NNG


# id : NWRW1800000029.149.2.1
리비아 이젠 석유 전쟁터… 伊, 기술진 파견 등 선수 쳐

리비아	리비아/NNP
이젠	이제/NNG+ㄴ/JX
석유	석유/NNG
전쟁터…	전쟁터/NNG+…/SE
伊,	伊/SH+,/SP
기술진	기술진/NNG
파견	파견/NNG
등	등/NNB
선수	선수/NNG
쳐	치/VV+어/EF


# id : NWRW1800000029.149.3.1
반군에 잘 보이기 경쟁… “정상 생산 3년 걸릴 것”

반군에	반군/NNG+에/JKB
잘	잘/MAG
보이기	보이/VV+기/ETN
경쟁…	경쟁/NNG+…/SE
“정상	“/SS+정상/NNG
생산	생산/NNG
3년	3/SN+년/NNB
걸릴	걸리/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000029.149.4.1
리비아 내전이 종식되기 전인데도 주요국 정부와 석유 메이저들이 리비아 원유 생산시설을 사전 확보하기 위한 물밑 전쟁에 들어갔다.

리비아	리비아/NNP
내전이	내전/NNG+이/JKS
종식되기	종식/NNG+되/XSV+기/ETN
전인데도	전/NNG+이/VCP+ㄴ데/EC+도/JX
주요국	주요국/NNG
정부와	정부/NNG+와/JC
석유	석유/NNG
메이저들이	메이저/NNG+들/XSN+이/JKS
원유	원유/NNG
생산시설을	생산/NNG+시설/NNG+을/JKO
사전	사전/NNG
확보하기	확보/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
물밑	물밑/NNG
전쟁에	전쟁/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.149.5.1
리비아 원유 생산이 재개되려면 다소 시간이 걸릴 것으로 예상되지만 리비아로부터 수입량이 많은 국가들은 벌써부터 반카다피군 측 줄대기에 나섰다.

리비아	리비아/NNP
원유	원유/NNG
생산이	생산/NNG+이/JKS
재개되려면	재개/NNG+되/XSV+려면/EC
다소	다소/MAG
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되지만	예상/NNG+되/XSV+지만/EC
리비아로부터	리비아/NNP+로부터/JKB
수입량이	수입량/NNG+이/JKS
많은	많/VA+은/ETM
국가들은	국가/NNG+들/XSN+은/JX
벌써부터	벌써/MAG+부터/JX
반카다피군	반/NNG+카다피/NNP+군/NNB
측	측/NNB
줄대기에	줄/NNG+대/VV+기/ETN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.149.5.2
주요 증시도 리비아 원유생산 재개에 따른 유가 하락으로 인플레이션 압력이 줄어들 것이라는 점과 리비아 재건사업에 따른 투자 수요가 늘 것이라는 기대감에 소폭 상승했다.

주요	주요/NNG
증시도	증시/NNG+도/JX
리비아	리비아/NNP
원유생산	원유/NNG+생산/NNG
재개에	재개/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
유가	유가/NNG
하락으로	하락/NNG+으로/JKB
인플레이션	인플레이션/NNG
압력이	압력/NNG+이/JKS
줄어들	줄어들/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
점과	점/NNG+과/JC
재건사업에	재건/NNG+사업/NNG+에/JKB
투자	투자/NNG
수요가	수요/NNG+가/JKS
늘	늘/VV+ㄹ/ETM
기대감에	기대감/NNG+에/JKB
소폭	소폭/NNG
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.149.6.1
원유 수입량의 20%를 리비아에서 들여오고 있는 이탈리아가 선수를 쳤다.

원유	원유/NNG
수입량의	수입량/NNG+의/JKG
20%를	20/SN+%/SW+를/JKO
리비아에서	리비아/NNP+에서/JKB
들여오고	들여오/VV+고/EC
있는	있/VX+는/ETM
이탈리아가	이탈리아/NNP+가/JKS
선수를	선수/NNG+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.149.6.2
이탈리아 최대 석유회사인 에니(ENI)사는 내전 발발 직전까지 리비아의 가장 큰 원유생산시설을 가동해왔다.

이탈리아	이탈리아/NNP
최대	최대/NNG
석유회사인	석유/NNG+회사/NNG+이/VCP+ㄴ/ETM
에니(ENI)사는	에니/NNP+(/SS+ENI/SL+)/SS+사/NNG+는/JX
내전	내전/NNG
발발	발발/NNG
직전까지	직전/NNG+까지/JX
리비아의	리비아/NNP+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
원유생산시설을	원유/NNG+생산/NNG+시설/NNG+을/JKO
가동해왔다.	가동/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.149.6.3
프랑코 프라티니 이탈리아 외교장관은 22일 국영방송에 출연해 “에니는 앞으로도 북아프리카에서 1등을 유지할 것”이라며 “이미 에니의 기술진을 생산시설 재가동을 위해 리비아 동부로 보냈다”고 말했다.

프랑코	프랑코/NNP
프라티니	프라티니/NNP
이탈리아	이탈리아/NNP
외교장관은	외교/NNG+장관/NNG+은/JX
22일	22/SN+일/NNB
국영방송에	국영/NNG+방송/NNG+에/JKB
출연해	출연/NNG+하/XSV+아/EC
“에니는	“/SS+에니/NNP+는/JX
앞으로도	앞/NNG+으로/JKB+도/JX
북아프리카에서	북아프리카/NNP+에서/JKB
1등을	1/SN+등/NNB+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이미	“/SS+이미/MAG
에니의	에니/NNP+의/JKG
기술진을	기술진/NNG+을/JKO
생산시설	생산/NNG+시설/NNG
재가동을	재/XPN+가동/NNG+을/JKO
위해	위하/VV+아/EC
리비아	리비아/NNP
동부로	동부/NNG+로/JKB
보냈다”고	보내/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.149.6.4
니콜라 사르코지 대통령도 이날 반군 과도국가위원회 무스타파 압둘 잘릴 의장을 엘리제궁으로 초청한 자리에서 프랑스에서 리비아가 차지하는 중요성을 역설했다.

니콜라	니콜라/NNP
사르코지	사르코지/NNP
대통령도	대통령/NNG+도/JX
이날	이날/NNG
반군	반군/NNG
과도국가위원회	과도/NNG+국가/NNG+위원회/NNG
무스타파	무스타파/NNP
압둘	압둘/NNP
잘릴	잘릴/NNP
의장을	의장/NNG+을/JKO
엘리제궁으로	엘리제궁/NNP+으로/JKB
초청한	초청/NNG+하/XSV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
프랑스에서	프랑스/NNP+에서/JKB
리비아가	리비아/NNP+가/JKS
차지하는	차지/NNG+하/XSV+는/ETM
중요성을	중요/NNG+성/XSN+을/JKO
역설했다.	역설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.149.6.5
구체적으로 원유를 언급하지는 않았지만 사전 로비 성격도 숨어 있다는 게 외신들의 분석이다.

구체적으로	구체/NNG+적/XSN+으로/JKB
원유를	원유/NNG+를/JKO
언급하지는	언급/NNG+하/XSV+지/EC+는/JX
않았지만	않/VX+았/EP+지만/EC
사전	사전/NNG
로비	로비/NNG
성격도	성격/NNG+도/JX
숨어	숨/VV+어/EC
있다는	있/VX+다는/ETM
게	거/NNB+이/JKS
외신들의	외신/NNG+들/XSN+의/JKG
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.149.7.1
국제에너지기구(IEA)에 따르면 리비아의 하루 원유 생산량은 155만 배럴로 이 중 80%를 수출한다.

국제에너지기구(IEA)에	국제에너지기구/NNP+(/SS+IEA/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
리비아의	리비아/NNP+의/JKG
하루	하루/NNG
원유	원유/NNG
생산량은	생산량/NNG+은/JX
155만	155/SN+만/NR
배럴로	배럴/NNB+로/JKB
이	이/MMD
중	중/NNB
80%를	80/SN+%/SW+를/JKO
수출한다.	수출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.149.7.2
이탈리아 에니, 프랑스의 토탈, 영국의 BP 등이 현지에 생산시설을 갖고 있어 ‘글로벌 석유 메이저의 각축장’으로 불린다.

이탈리아	이탈리아/NNP
에니,	에니/NNP+,/SP
