# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.162
metadata : {}


# id : NWRW1800000038.162.1.1
[기자수첩] 더 시끄러워진 대한문… 이럴 바엔 화단 치우는게 낫겠다

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
더	더/MAG
시끄러워진	시끄럽/VA+어/EC+지/VX+ㄴ/ETM
대한문…	대한문/NNP+…/SE
이럴	이렇/VA+ㄹ/ETM
바엔	바/NNB+에/JKB+ㄴ/JX
화단	화단/NNG
치우는게	치우/VV+는/ETM+거/NNB+이/JKS
낫겠다	낫/VA+겠/EP+다/EF


# id : NWRW1800000038.162.2.1
10일 오후 2시 30분 서울 덕수궁 대한문 앞에서 민주노총 등 쌍용차문제 관련 제(諸)사회단체 대표 20여명이 기자회견을 열고 지난 4일 철거된 분향소(농성 천막)를 돌려달라고 주장했다.

10일	10/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
30분	30/SN+분/NNB
서울	서울/NNP
덕수궁	덕수궁/NNP
대한문	대한문/NNP
앞에서	앞/NNG+에서/JKB
민주노총	민주노총/NNP
등	등/NNB
쌍용차문제	쌍용차/NNP+문제/NNG
관련	관련/NNG
제(諸)사회단체	제/MMN+(/SS+諸/SH+)/SS+사회단체/NNG
대표	대표/NNG
20여명이	20/SN+여/XSN+명/NNB+이/JKS
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
철거된	철거/NNG+되/XSV+ㄴ/ETM
분향소(농성	분향소/NNG+(/SS+농성/NNG
천막)를	천막/NNG+)/SS+를/JKO
돌려달라고	돌리/VV+어/EC+달/VX+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.162.3.1
발언자로 나선 이용길 진보신당 대표는 "대한문은 역사 유적으로서의 대한문이 아니고, 오늘 이 시간엔 죽어간 노동자 24명의 분향소"라며 "중구청은 상갓집을 부순 것이므로, 중구청장은 책임지고 사과하고 사퇴해야 한다"고 말했다.

발언자로	발언자/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
이용길	이용길/NNP
진보신당	진보신당/NNP
대표는	대표/NNG+는/JX
"대한문은	"/SS+대한문/NNP+은/JX
역사	역사/NNG
유적으로서의	유적/NNG+으로서/JKB+의/JKG
대한문이	대한문/NNP+이/JKC
아니고,	아니/VCN+고/EC+,/SP
오늘	오늘/MAG
이	이/MMD
시간엔	시간/NNG+에/JKB+ㄴ/JX
죽어간	죽/VV+어/EC+가/VX+ㄴ/ETM
노동자	노동자/NNG
24명의	24/SN+명/NNB+의/JKG
분향소"라며	분향소/NNG+"/SS+이/VCP+라며/EC
"중구청은	"/SS+중구청/NNP+은/JX
상갓집을	상갓집/NNG+을/JKO
부순	부수/VV+ㄴ/ETM
것이므로,	것/NNB+이/VCP+므로/EC+,/SP
중구청장은	중구청장/NNG+은/JX
책임지고	책임지/VV+고/EC
사과하고	사과/NNG+하/XSV+고/EC
사퇴해야	사퇴/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.162.3.2
그의 목소리는 쩌렁쩌렁했다.

그의	그/NP+의/JKG
목소리는	목소리/NNG+는/JX
쩌렁쩌렁했다.	쩌렁쩌렁/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000038.162.3.3
횡단보도를 건너온 20대 여성은 두 손으로 귀를 막고서 종종걸음으로 자리를 피했다.

횡단보도를	횡단보도/NNG+를/JKO
건너온	건너오/VV+ㄴ/ETM
20대	20/SN+대/NNB
여성은	여성/NNG+은/JX
두	두/MMN
손으로	손/NNG+으로/JKB
귀를	귀/NNG+를/JKO
막고서	막/VV+고서/EC
종종걸음으로	종종걸음/NNG+으로/JKB
자리를	자리/NNG+를/JKO
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.162.4.1
이들은 기자회견을 하다가 갑자기 영정(影幀) 모형과 플래카드를 들고 화단 안으로 들어갔다.

이들은	이/NP+들/XSN+은/JX
기자회견을	기자/NNG+회견/NNG+을/JKO
하다가	하/VV+다가/EC
갑자기	갑자기/MAG
영정(影幀)	영정/NNG+(/SS+影幀/SH+)/SS
모형과	모형/NNG+과/JC
플래카드를	플래카드/NNG+를/JKO
들고	들/VV+고/EC
화단	화단/NNG
안으로	안/NNG+으로/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.162.4.2
중구청이 불법 농성 천막을 철거하고 천막 재설치를 막기 위해 그 자리에 만든 화단이다.

중구청이	중구청/NNP+이/JKS
불법	불법/NNG
농성	농성/NNG
천막을	천막/NNG+을/JKO
철거하고	철거/NNG+하/XSV+고/EC
천막	천막/NNG
재설치를	재/XPN+설치/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
그	그/MMD
자리에	자리/NNG+에/JKB
만든	만들/VV+ㄴ/ETM
화단이다.	화단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.162.4.3
한 시위자가 마이크를 잡고 "남대문서 경비과장은 (불법시위 금지 안내) 방송하세요"라며 경찰을 조롱했다.

한	한/MMN
시위자가	시위자/NNG+가/JKS
마이크를	마이크/NNG+를/JKO
잡고	잡/VV+고/EC
"남대문서	"/SS+남대문서/NNP
경비과장은	경비/NNG+과장/NNG+은/JX
(불법시위	(/SS+불법/NNG+시위/NNG
금지	금지/NNG
안내)	안내/NNG+)/SS
