# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.193
metadata : {}


# id : NWRW1800000032.193.1.1
조선왕실도서 1200책 90여년만에 귀환

조선왕실도서	조선/NNP+왕실/NNG+도서/NNG
1200책	1200/SN+책/NNG
90여년만에	90/SN+여/XSN+년/NNB+만/NNB+에/JKB
귀환	귀환/NNG


# id : NWRW1800000032.193.2.1
‘조선왕실의궤’등 돌려받아

‘조선왕실의궤’등	‘/SS+조선왕실의궤/NNG+’/SS+등/NNB
돌려받아	돌려받/VV+아/EF


# id : NWRW1800000032.193.3.1
일본서 소유권 온전히 인수

일본서	일본/NNP+서/JKB
소유권	소유/NNG+권/XSN
온전히	온전히/MAG
인수	인수/NNG


# id : NWRW1800000032.193.4.1
90년 넘게 일본에 묻혔던 옛 조선왕실의 귀중한 책들이 마침내 돌아왔다.

90년	90/SN+년/NNB
넘게	넘/VV+게/EC
일본에	일본/NNP+에/JKB
묻혔던	묻히/VV+었/EP+던/ETM
옛	옛/MMA
조선왕실의	조선/NNP+왕실/NNG+의/JKG
귀중한	귀중하/VA+ㄴ/ETM
책들이	책/NNG+들/XSN+이/JKS
마침내	마침내/MAG
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.193.4.2
구한말과 일제 강점기 반출됐던 <조선왕실의궤>(궁중행사 기록집)를 비롯한 조선왕실 도서 1200책이 고국 품에 다시 안기는데는 2시간도 채 걸리지 않았다.

구한말과	구/XPN+한말/NNG+과/JC
일제	일제/NNG
강점기	강점기/NNG
반출됐던	반출/NNG+되/XSV+었/EP+던/ETM
<조선왕실의궤>(궁중행사	</SS+조선왕실의궤/NNG+>/SS+(/SS+궁중/NNG+행사/NNG
기록집)를	기록집/NNG+)/SS+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
조선왕실	조선/NNP+왕실/NNG
도서	도서/NNG
1200책이	1200/SN+책/NNG+이/JKS
고국	고국/NNG
품에	품/NNG+에/JKB
다시	다시/MAG
안기는데는	안기/VV+는/ETM+데/NNB+는/JX
2시간도	2/SN+시간/NNB+도/JX
채	채/MAG
걸리지	걸리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.193.5.1
일본 도쿄의 궁내청(왕실도서관)에 소장됐던 도서들은 6일 도쿄 나리타 공항에서 출발한 대한항공편으로 오후 3시20분 1차분 600책이, 오후 4시35분께는 2차분 600책이 인천공항에 도착했다.

일본	일본/NNP
도쿄의	도쿄/NNP+의/JKG
궁내청(왕실도서관)에	궁내청/NNP+(/SS+왕실/NNG+도서관/NNG+)/SS+에/JKB
소장됐던	소장/NNG+되/XSV+었/EP+던/ETM
도서들은	도서/NNG+들/XSN+은/JX
6일	6/SN+일/NNB
도쿄	도쿄/NNP
나리타	나리타/NNP
공항에서	공항/NNG+에서/JKB
출발한	출발/NNG+하/XSV+ㄴ/ETM
대한항공편으로	대한항공/NNP+편/NNB+으로/JKB
오후	오후/NNG
3시20분	3/SN+시/NNB+20/SN+분/NNB
1차분	1/SN+차/NNB+분/XSN
600책이,	600/SN+책/NNG+이/JKS+,/SP
4시35분께는	4/SN+시/NNB+35/SN+분/NNB+께/XSN+는/JX
2차분	2/SN+차/NNB+분/XSN
600책이	600/SN+책/NNG+이/JKS
인천공항에	인천공항/NNP+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.193.5.2
도서들은 14개 나무상자에 담긴 뒤 컨테이너 4대에 각각 실려 들어왔다.

도서들은	도서/NNG+들/XSN+은/JX
14개	14/SN+개/NNB
나무상자에	나무/NNG+상자/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
뒤	뒤/NNG
컨테이너	컨테이너/NNG
4대에	4/SN+대/NNB+에/JKB
각각	각각/MAG
실려	실리/VV+어/EC
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.193.6.1
뒤이어 공항 화물게이트의 임시 무대에 컨테이너들을 안치하고, 전통의장대가 연주하는 전통 궁중음악 ‘수제천’이 울려퍼지는 가운데, 박석환 외교통상부 1차관과 일본쪽의 무토 마사토시 주한 일본대사는 소유·관리권을 우리 정부로 옮기는 인수인계를 확인하는 구상서 교환 절차를 마쳤다.

뒤이어	뒤잇/VV+어/EC
공항	공항/NNG
화물게이트의	화물/NNG+게이트/NNG+의/JKG
임시	임시/NNG
무대에	무대/NNG+에/JKB
컨테이너들을	컨테이너/NNG+들/XSN+을/JKO
안치하고,	안치/NNG+하/XSV+고/EC+,/SP
전통의장대가	전통/NNG+의장대/NNG+가/JKS
연주하는	연주/NNG+하/XSV+는/ETM
전통	전통/NNG
궁중음악	궁중/NNG+음악/NNG
‘수제천’이	‘/SS+수제천/NNG+’/SS+이/JKS
울려퍼지는	울리/VV+어/EC+퍼지/VV+는/ETM
가운데,	가운데/NNG+,/SP
박석환	박석환/NNP
외교통상부	외교/NNG+통상부/NNG
1차관과	1/SN+차관/NNG+과/JC
일본쪽의	일본/NNP+쪽/NNB+의/JKG
무토	무토/NNP
마사토시	마사토시/NNP
주한	주한/NNG
일본대사는	일본/NNP+대사/NNG+는/JX
소유·관리권을	소유/NNG+·/SP+관리/NNG+권/XSN+을/JKO
우리	우리/NP
정부로	정부/NNG+로/JKB
옮기는	옮기/VV+는/ETM
인수인계를	인수인계/NNG+를/JKO
확인하는	확인/NNG+하/XSV+는/ETM
구상서	구상서/NNG
교환	교환/NNG
절차를	절차/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.193.6.2
행사 뒤 도서를 담은 상자들은 무진동트럭에 옮겨져 경찰 사이드카의 호위 속에 이날 저녁 보관 장소인 국립고궁박물관에 안착했다.

행사	행사/NNG
뒤	뒤/NNG
도서를	도서/NNG+를/JKO
담은	담/VV+은/ETM
상자들은	상자/NNG+들/XSN+은/JX
무진동트럭에	무/XPN+진동/NNG+트럭/NNG+에/JKB
