# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.275
metadata : {}


# id : NWRW1800000046.275.1.1
[전문기자 칼럼] 分斷(분단) 시대를 끝내는 법

[전문기자	[/SS+전문/NNG+기자/NNG
칼럼]	칼럼/NNG+]/SS
分斷(분단)	分斷/SH+(/SS+분단/NNG+)/SS
시대를	시대/NNG+를/JKO
끝내는	끝내/VV+는/ETM
법	법/NNB


# id : NWRW1800000046.275.2.1
헌법학자 유진오가 기초한 제헌 헌법 초안 전문(前文)은 '유구한 역사와 전통에 빛나는 우리 조선 인민(人民)은'으로 시작한다.

헌법학자	헌법학자/NNG
유진오가	유진오/NNP+가/JKS
기초한	기초/NNG+하/XSV+ㄴ/ETM
제헌	제헌/NNG
헌법	헌법/NNG
초안	초안/NNG
전문(前文)은	전문/NNG+(/SS+前文/SH+)/SS+은/JX
'유구한	'/SS+유구하/VA+ㄴ/ETM
역사와	역사/NNG+와/JC
전통에	전통/NNG+에/JKB
빛나는	빛나/VV+는/ETM
우리	우리/NP
조선	조선/NNP
인민(人民)은'으로	인민/NNG+(/SS+人民/SH+)/SS+은/JX+'/SS+으로/JKB
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.275.2.2
이 문장에 나오는 '인민(人民)'은 1948년 7월 17일 공포한 제헌 헌법에는 '대한국민'으로 바뀌었다.

이	이/MMD
문장에	문장/NNG+에/JKB
나오는	나오/VV+는/ETM
'인민(人民)'은	'/SS+인민/NNG+(/SS+人民/SH+)/SS+'/SS+은/JX
1948년	1948/SN+년/NNB
7월	7/SN+월/NNB
17일	17/SN+일/NNB
공포한	공포/NNG+하/XSV+ㄴ/ETM
제헌	제헌/NNG
헌법에는	헌법/NNG+에/JKB+는/JX
'대한국민'으로	'/SS+대한/NNP+국민/NNG+'/SS+으로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.275.2.3
