# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.7
metadata : {}


# id : NWRW1800000041.7.1.1
중기중앙회 “해주-남포에 ‘제2 개성공단’ 설치 추진”

중기중앙회	중기중앙회/NNP
“해주-남포에	“/SS+해주/NNP+-/SO+남포/NNP+에/JKB
‘제2	‘/SS+제/XPN+2/SN
개성공단’	개성공단/NNP+’/SS
설치	설치/NNG
추진”	추진/NNG+”/SS


# id : NWRW1800000041.7.2.1
김기문 회장 신년 간담회… 북측은 나선특구에 유치 희망

김기문	김기문/NNP
회장	회장/NNG
신년	신년/NNG
간담회…	간담회/NNG+…/SE
북측은	북측/NNG+은/JX
나선특구에	나선특구/NNP+에/JKB
유치	유치/NNG
희망	희망/NNG


# id : NWRW1800000041.7.3.1
중소기업중앙회가 ‘제2개성공단’ 설립 추진에 나선다.

중소기업중앙회가	중소기업/NNG+중앙회/NNG+가/JKS
‘제2개성공단’	‘/SS+제2개성공단/NNP+’/SS
설립	설립/NNG
추진에	추진/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.7.3.2
이미 10년째 운영하고 있는 개성공단의 인력 수급이 한계에 다다랐고 의류를 포함한 제조 분야 국내 중소기업들의 북한 진출 의지가 높기 때문이다.

이미	이미/MAG
10년째	10/SN+년/NNB+째/XSN
운영하고	운영/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
개성공단의	개성공단/NNP+의/JKG
인력	인력/NNG
수급이	수급/NNG+이/JKS
한계에	한계/NNG+에/JKB
다다랐고	다다르/VV+았/EP+고/EC
의류를	의류/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
제조	제조/NNG
분야	분야/NNG
국내	국내/NNG
중소기업들의	중소기업/NNG+들/XSN+의/JKG
북한	북한/NNP
진출	진출/NNG
의지가	의지/NNG+가/JKS
높기	높/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.7.4.1
김기문 중소기업중앙회장은 4일 서울 영등포구 여의도동 63빌딩에서 신년 기자간담회를 열고 “올해는 북한 진출 기회를 늘리고 개성공단 입주기업의 글로벌화 기반을 마련할 계획”이라며 “개성공단과 가까운 해주나 남포에 추가적인 중소기업 전용공단을 준비하겠다”고 밝혔다.

김기문	김기문/NNP
중소기업중앙회장은	중소기업/NNG+중앙회장/NNG+은/JX
4일	4/SN+일/NNB
서울	서울/NNP
영등포구	영등포구/NNP
여의도동	여의도동/NNP
63빌딩에서	63빌딩/NNP+에서/JKB
신년	신년/NNG
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열고	열/VV+고/EC
“올해는	“/SS+올해/NNG+는/JX
북한	북한/NNP
진출	진출/NNG
기회를	기회/NNG+를/JKO
늘리고	늘리/VV+고/EC
개성공단	개성공단/NNP
입주기업의	입주/NNG+기업/NNG+의/JKG
글로벌화	글로벌/NNG+화/XSN
기반을	기반/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
계획”이라며	계획/NNG+”/SS+이/VCP+라며/EC
“개성공단과	“/SS+개성공단/NNP+과/JKB
가까운	가깝/VA+ㄴ/ETM
해주나	해주/NNP+나/JC
남포에	남포/NNP+에/JKB
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
중소기업	중소기업/NNG
전용공단을	전용/NNG+공단/NNG+을/JKO
준비하겠다”고	준비/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.7.5.1
제2개성공단의 입지와 관련해 북측은 러시아와 국경을 맞대고 있는 나선경제특구(이하 나선특구) 내의 공단 설치에 관심을 보인 것으로 전해졌다.

제2개성공단의	제2개성공단/NNP+의/JKG
입지와	입지/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
북측은	북측/NNG+은/JX
러시아와	러시아/NNP+와/JKB
국경을	국경/NNG+을/JKO
맞대고	맞대/VV+고/EC
있는	있/VX+는/ETM
나선경제특구(이하	나선경제특구/NNP+(/SS+이하/NNG
나선특구)	나선특구/NNP+)/SS
내의	내/NNB+의/JKG
공단	공단/NNG
설치에	설치/NNG+에/JKB
관심을	관심/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.7.6.1
반면 중기중앙회를 비롯한 개성공단 입주업체들은 기존의 인프라를 활용할 수 있는 황해남도 해주와 평안남도 남포를 선호하고 있다.

반면	반면/NNG
중기중앙회를	중기중앙회/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
개성공단	개성공단/NNP
입주업체들은	입주/NNG+업체/NNG+들/XSN+은/JX
기존의	기존/NNG+의/JKG
인프라를	인프라/NNG+를/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
황해남도	황해남도/NNP
해주와	해주/NNP+와/JC
평안남도	평안남도/NNP
남포를	남포/NNP+를/JKO
선호하고	선호/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.7.6.2
이들 도시는 개성과 육로로 1시간 남짓 거리인 데다 (남한에서) 전력을 공급하기 쉽고, 대도시와 인접해 노동력 조달도 쉽기 때문이다.

이들	이/NP+들/XSN
도시는	도시/NNG+는/JX
개성과	개성/NNP+과/JC
육로로	육로/NNG+로/JKB
1시간	1/SN+시간/NNB
남짓	남짓/NNB
거리인	거리/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
(남한에서)	(/SS+남한/NNP+에서/JKB+)/SS
전력을	전력/NNG+을/JKO
공급하기	공급/NNG+하/XSV+기/ETN
쉽고,	쉽/VA+고/EC+,/SP
