# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.156
metadata : {}


# id : NWRW1800000026.156.1.1
족욕에도 '王道' 있다;43도 이하 물로 30분 이상 해야 교감신경 억제… 피로 풀어줘

족욕에도	족욕/NNG+에/JKB+도/JX
'王道'	'/SS+王道/SH+'/SS
있다;43도	있/VA+다/EF+;/SW+43/SN+도/NNB
이하	이하/NNG
물로	물/NNG+로/JKB
30분	30/SN+분/NNB
이상	이상/NNG
해야	하/VV+아야/EC
교감신경	교감/NNG+신경/NNG
억제…	억제/NNG+…/SE
피로	피로/NNG
풀어줘	풀/VV+어/EC+주/VX+어/EF


# id : NWRW1800000026.156.2.1
더운물에 발목까지 담그는 족욕은 전신의 피로를 풀어 주고 특히 발의 통증을 완화해, 전신욕이나 사우나를 하기에 부담되는 고혈압 환자나 노년층이 많이 즐긴다.

더운물에	더운물/NNG+에/JKB
발목까지	발목/NNG+까지/JX
담그는	담그/VV+는/ETM
족욕은	족욕/NNG+은/JX
전신의	전신/NNG+의/JKG
피로를	피로/NNG+를/JKO
풀어	풀/VV+어/EC
주고	주/VX+고/EC
특히	특히/MAG
발의	발/NNG+의/JKG
통증을	통증/NNG+을/JKO
완화해,	완화/NNG+하/XSV+아/EC+,/SP
전신욕이나	전신욕/NNG+이나/JC
사우나를	사우나/NNG+를/JKO
하기에	하/VV+기/ETN+에/JKB
부담되는	부담/NNG+되/XSV+는/ETM
고혈압	고/XPN+혈압/NNG
환자나	환자/NNG+나/JC
노년층이	노년/NNG+층/XSN+이/JKS
많이	많이/MAG
즐긴다.	즐기/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.156.2.2
지금까지는 족욕이 혈액 순환을 좋게 해 이런 효과를 낸다고만 알려져 있었는데, 화가 나거나 스트레스를 받았을 때 활성화되는 교감신경의 작용을 억제하기 때문이라는 연구 결과가 나왔다.

지금까지는	지금/NNG+까지/JX+는/JX
족욕이	족욕/NNG+이/JKS
혈액	혈액/NNG
순환을	순환/NNG+을/JKO
좋게	좋/VA+게/EC
해	하/VX+아/EC
이런	이런/MMD
효과를	효과/NNG+를/JKO
낸다고만	내/VV+ㄴ다고/EC+만/JX
알려져	알려지/VV+어/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
화가	화/NNG+가/JKS
나거나	나/VV+거나/EC
스트레스를	스트레스/NNG+를/JKO
받았을	받/VV+았/EP+을/ETM
때	때/NNG
활성화되는	활성/NNG+화/XSN+되/XSV+는/ETM
교감신경의	교감/NNG+신경/NNG+의/JKG
작용을	작용/NNG+을/JKO
억제하기	억제/NNG+하/XSV+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
연구	연구/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.156.3.1
김현동 부산백병원 재활의학과 교수팀은 21~47세 성인 25명에게 섭씨 43도의 뜨거운 물을 담은 족욕기에 30분 동안 발을 담그게 했다.

김현동	김현동/NNP
부산백병원	부산백병원/NNP
재활의학과	재활/NNG+의학과/NNG
교수팀은	교수/NNG+팀/NNG+은/JX
21~47세	21/SN+~/SO+47/SN+세/NNB
성인	성인/NNG
25명에게	25/SN+명/NNB+에게/JKB
섭씨	섭씨/NNG
43도의	43/SN+도/NNB+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
물을	물/NNG+을/JKO
담은	담/VV+은/ETM
족욕기에	족욕기/NNG+에/JKB
30분	30/SN+분/NNB
동안	동안/NNG
발을	발/NNG+을/JKO
담그게	담그/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.156.3.2
족욕을 하는 동안 양 손등에 전극을 붙여 교감신경의 활성도를 측정하자 족욕 전 1.25㎷(1볼트의 1000분의 1)였던 활성도가 족욕 직후 0.57㎷로 절반 이하로 떨어졌고 15분 뒤까지 0.67㎷로 효과가 유지됐다.

족욕을	족욕/NNG+을/JKO
하는	하/VV+는/ETM
동안	동안/NNG
양	양/MMN
손등에	손등/NNG+에/JKB
전극을	전극/NNG+을/JKO
붙여	붙이/VV+어/EC
교감신경의	교감/NNG+신경/NNG+의/JKG
활성도를	활성도/NNG+를/JKO
측정하자	측정/NNG+하/XSV+자/EC
족욕	족욕/NNG
전	전/NNG
1.25㎷(1볼트의	1/SN+./SP+25/SN+㎷/SW+(/SS+1/SN+볼트/NNB+의/JKG
1000분의	1000/SN+분/XSN+의/JKG
1)였던	1/SN+)/SS+이/VCP+었/EP+던/ETM
활성도가	활성도/NNG+가/JKS
직후	직후/NNG
0.57㎷로	0/SN+./SP+57/SN+㎷/SW+로/JKB
절반	절반/NNG
이하로	이하/NNG+로/JKB
떨어졌고	떨어지/VV+었/EP+고/EC
15분	15/SN+분/NNB
뒤까지	뒤/NNG+까지/JX
0.67㎷로	0/SN+./SP+67/SN+㎷/SW+로/JKB
효과가	효과/NNG+가/JKS
유지됐다.	유지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.156.4.1
김 교수는 "교감신경의 작용이 억제되면 뇌에서 엔도르핀 호르몬 분비가 많아져 통증을 덜 느끼게 된다"며 "동시에 쉬거나 안정을 취할 때 작용하는 부교감신경의 작용이 활성화돼 피로가 풀리고 몸이 개운해진다"고 말했다.

김	김/NNP
교수는	교수/NNG+는/JX
"교감신경의	"/SS+교감/NNG+신경/NNG+의/JKG
작용이	작용/NNG+이/JKS
억제되면	억제/NNG+되/XSV+면/EC
뇌에서	뇌/NNG+에서/JKB
엔도르핀	엔도르핀/NNG
호르몬	호르몬/NNG
분비가	분비/NNG+가/JKS
많아져	많아지/VV+어/EC
통증을	통증/NNG+을/JKO
덜	덜/MAG
느끼게	느끼/VV+게/EC
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"동시에	"/SS+동시/NNG+에/JKB
쉬거나	쉬/VV+거나/EC
안정을	안정/NNG+을/JKO
취할	취하/VV+ㄹ/ETM
때	때/NNG
작용하는	작용/NNG+하/XSV+는/ETM
부교감신경의	부교감/NNG+신경/NNG+의/JKG
활성화돼	활성/NNG+화/XSN+되/XSV+어/EC
피로가	피로/NNG+가/JKS
풀리고	풀리/VV+고/EC
몸이	몸/NNG+이/JKS
개운해진다"고	개운하/VA+아/EC+지/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.156.5.1
김 교수는 이어 "족욕은 전신욕 등과 달리 심장이나 혈압에 영향을 주지 않기 때문에 노인이나 고혈압 환자도 안심하고 즐길 수 있다"고 말했다.

김	김/NNP
교수는	교수/NNG+는/JX
이어	이어/MAG
"족욕은	"/SS+족욕/NNG+은/JX
전신욕	전신욕/NNG
등과	등/NNB+과/JKB
달리	달리/MAG
심장이나	심장/NNG+이나/JC
혈압에	혈압/NNG+에/JKB
영향을	영향/NNG+을/JKO
주지	주/VV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
노인이나	노인/NNG+이나/JC
고혈압	고/XPN+혈압/NNG
환자도	환자/NNG+도/JX
안심하고	안심/NNG+하/XSV+고/EC
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.156.5.2
연구팀이 실험 대상자의 혈압과 심혈관 이상 여부를 확인하기 위해 족욕을 하기 전, 하는 도중, 끝낸 후에 각각 5분간 주먹을 쥐게 한 뒤 혈압이 얼마나 올라가는지와 발살바 호흡(특수한 마우스피스를 15초 동안 세게 부는 것) 후 심박동 수가 얼마나 상승하는지를 측정했더니 모두 별다른 변화가 없었다.

연구팀이	연구/NNG+팀/NNG+이/JKS
실험	실험/NNG
대상자의	대상자/NNG+의/JKG
혈압과	혈압/NNG+과/JC
심혈관	심혈관/NNG
이상	이상/NNG
여부를	여부/NNG+를/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
족욕을	족욕/NNG+을/JKO
하기	하/VV+기/ETN
전,	전/NNG+,/SP
하는	하/VV+는/ETM
도중,	도중/NNG+,/SP
끝낸	끝내/VV+ㄴ/ETM
후에	후/NNG+에/JKB
각각	각각/MAG
5분간	5/SN+분/NNB+간/XSN
주먹을	주먹/NNG+을/JKO
쥐게	쥐/VV+게/EC
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
혈압이	혈압/NNG+이/JKS
얼마나	얼마나/MAG
올라가는지와	올라가/VV+는지/EF+와/JC
발살바	발살바/NNG
호흡(특수한	호흡/NNG+(/SS+특수/NNG+하/XSA+ㄴ/ETM
마우스피스를	마우스피스/NNG+를/JKO
15초	15/SN+초/NNB
동안	동안/NNG
세게	세/VA+게/EC
부는	불/VV+는/ETM
것)	것/NNB+)/SS
후	후/NNG
심박동	심박동/NNG
수가	수/NNG+가/JKS
상승하는지를	상승/NNG+하/XSV+는지/EF+를/JKO
측정했더니	측정/NNG+하/XSV+았/EP+더니/EC
모두	모두/MAG
별다른	별다르/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.156.6.1
단, 전신욕이나 반신욕을 할 때에는 5분만 욕조 안에 있어도 몸이 이완되지만 족욕으로 같은 효과를 보려면 수면이 복사뼈 위 10㎝까지 올라오게 한 상태로 최소 30분은 있어야 한다.

단,	단/MAJ+,/SP
전신욕이나	전신욕/NNG+이나/JC
반신욕을	반신욕/NNG+을/JKO
할	하/VV+ㄹ/ETM
때에는	때/NNG+에/JKB+는/JX
