# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.372
metadata : {}


# id : NWRW1800000054.372.1.1
'허위 여론조사 유포' 洪캠프 정책특보 등 4명 고발

'허위	'/SS+허위/NNG
여론조사	여론/NNG+조사/NNG
유포'	유포/NNG+'/SS
洪캠프	洪/SH+캠프/NNG
정책특보	정책/NNG+특보/NNG
등	등/NNB
4명	4/SN+명/NNB
고발	고발/NNG


# id : NWRW1800000054.372.2.1
선관위 "洪이 安 제치고 2위라며 카톡·밴드에 반복적으로 올려"

선관위	선관위/NNG
"洪이	"/SS+洪/SH+이/JKS
安	安/SH
제치고	제치/VV+고/EC
2위라며	2/SN+위/NNB+이/VCP+라며/EC
카톡·밴드에	카톡/NNP+·/SP+밴드/NNP+에/JKB
반복적으로	반복/NNG+적/XSN+으로/JKB
올려"	올리/VV+어/EF+"/SS


# id : NWRW1800000054.372.3.1
안철수 국민의당 후보와 홍준표 자유한국당 후보 측은 1일 문재인 민주당 후보에 비해 낮게 나오는 여론조사 지지율 결과를 두고 일제히 "여론조사가 현실을 제대로 반영하지 못하고 있다"고 했다.

안철수	안철수/NNP
국민의당	국민의당/NNP
후보와	후보/NNG+와/JC
홍준표	홍준표/NNP
자유한국당	자유한국당/NNP
후보	후보/NNG
측은	측/NNB+은/JX
1일	1/SN+일/NNB
문재인	문재인/NNP
민주당	민주당/NNP
후보에	후보/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
낮게	낮/VA+게/EC
나오는	나오/VV+는/ETM
여론조사	여론/NNG+조사/NNG
지지율	지지/NNG+율/XSN
결과를	결과/NNG+를/JKO
두고	두/VV+고/EC
일제히	일제히/MAG
"여론조사가	"/SS+여론/NNG+조사/NNG+가/JKS
현실을	현실/NNG+을/JKO
제대로	제대로/MAG
반영하지	반영/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.372.4.1
국민의당 선대위 김경진 홍보본부장은 이날 "여론조사로 나타나는 것과 현실은 다르다"며 "지난해 4·13 총선 때도, 이번 4·12 보궐선거 때도 여론조사에선 우리 당이 참패한다고 했지만, 뚜껑을 열어보니 그게 아니었다"고 말했다.

국민의당	국민의당/NNP
선대위	선대위/NNG
김경진	김경진/NNP
홍보본부장은	홍보/NNG+본부장/NNG+은/JX
이날	이날/NNG
"여론조사로	"/SS+여론/NNG+조사/NNG+로/JKB
나타나는	나타나/VV+는/ETM
것과	것/NNB+과/JC
현실은	현실/NNG+은/JX
다르다"며	다르/VA+다/EF+"/SS+며/EC
"지난해	"/SS+지난해/NNG
4·13	4/SN+·/SP+13/SN
총선	총선/NNG
때도,	때/NNG+도/JX+,/SP
이번	이번/NNG
4·12	4/SN+·/SP+12/SN
보궐선거	보궐/NNG+선거/NNG
때도	때/NNG+도/JX
여론조사에선	여론/NNG+조사/NNG+에서/JKB+ㄴ/JX
우리	우리/NP
당이	당/NNG+이/JKS
참패한다고	참패/NNG+하/XSV+ㄴ다고/EC
했지만,	하/VV+았/EP+지만/EC+,/SP
뚜껑을	뚜껑/NNG+을/JKO
열어보니	열/VV+어/EC+보/VX+니/EC
그게	그거/NP+이/JKC
아니었다"고	아니/VCN+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.372.4.2
김 본부장은 "구글 등에서 빅데이터로 측정한 '트렌드 검색량'은 안 후보가 문 후보를 앞선다"며 "미 대선에서도 트렌드 검색에서 힐러리를 앞선 트럼프가 결국 이겼다"고 했다.

김	김/NNP
본부장은	본부장/NNG+은/JX
"구글	"/SS+구글/NNP
등에서	등/NNB+에서/JKB
빅데이터로	빅데이터/NNG+로/JKB
측정한	측정/NNG+하/XSV+ㄴ/ETM
'트렌드	'/SS+트렌드/NNG
검색량'은	검색량/NNG+'/SS+은/JX
안	안/NNP
후보가	후보/NNG+가/JKS
문	문/NNP
후보를	후보/NNG+를/JKO
앞선다"며	앞서/VV+ㄴ다/EF+"/SS+며/EC
"미	"/SS+미/NNP
대선에서도	대선/NNG+에서/JKB+도/JX
트렌드	트렌드/NNG
검색에서	검색/NNG+에서/JKB
힐러리를	힐러리/NNP+를/JKO
앞선	앞서/VV+ㄴ/ETM
트럼프가	트럼프/NNP+가/JKS
결국	결국/NNG
이겼다"고	이기/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.372.4.3
김영환 미디어본부장도 전날 수원역 유세에서 "안철수 표가 15%는 묻혀 있다"고 했다.

김영환	김영환/NNP
미디어본부장도	미디어/NNG+본부장/NNG+도/JX
전날	전날/NNG
수원역	수원역/NNP
유세에서	유세/NNG+에서/JKB
"안철수	"/SS+안철수/NNP
표가	표/NNG+가/JKS
15%는	15/SN+%/SW+는/JX
묻혀	묻히/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.372.5.1
한국당 이철우 총괄선대본부장은 이날 선대위 회의에서 특정 여론조사 회사의 실명을 거론하며 "(여론조사가 아닌) 여론 조작 기관이다. 있을 수 없는 여론조사를 하고 있다"고 했다.

한국당	한국당/NNP
이철우	이철우/NNP
총괄선대본부장은	총괄/NNG+선대/NNG+본부장/NNG+은/JX
이날	이날/NNG
선대위	선대위/NNG
회의에서	회의/NNG+에서/JKB
특정	특정/NNG
여론조사	여론/NNG+조사/NNG
회사의	회사/NNG+의/JKG
실명을	실명/NNG+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
"(여론조사가	"/SS+(/SS+여론/NNG+조사/NNG+가/JKC
아닌)	아니/VCN+ㄴ/ETM+)/SS
여론	여론/NNG
조작	조작/NNG
기관이다.	기관/NNG+이/VCP+다/EF+./SF
있을	있/VA+을/ETM
수	수/NNB
없는	없/VA+는/ETM
여론조사를	여론/NNG+조사/NNG+를/JKO
하고	하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.372.5.2
이 본부장은 "숫자를 밝힐 수는 없지만 우리 자체 조사에서는 이미 안 후보를 훨씬 뛰어넘고 문 후보를 따라가는 형국"이라고도 했다.

이	이/NNP
본부장은	본부장/NNG+은/JX
"숫자를	"/SS+숫자/NNG+를/JKO
밝힐	밝히/VV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
우리	우리/NP
자체	자체/NNG
조사에서는	조사/NNG+에서/JKB+는/JX
이미	이미/MAG
안	안/NNP
후보를	후보/NNG+를/JKO
훨씬	훨씬/MAG
뛰어넘고	뛰어넘/VV+고/EC
문	문/NNP
따라가는	따라가/VV+는/ETM
형국"이라고도	형국/NNG+"/SS+이라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.372.5.3
홍 후보 역시 지난달 30일 "여론조사가 자기들끼리 짜고 해서 어떻게 하면 홍준표를 '비틀어 뺄까' (생각만 한다)"라며 "이런 도둑놈의 XX들이 어디 있나. 내가 집권하면 없애버린다"고 했다.

홍	홍/NNP
후보	후보/NNG
역시	역시/MAG
지난달	지난달/NNG
30일	30/SN+일/NNB
"여론조사가	"/SS+여론/NNG+조사/NNG+가/JKS
자기들끼리	자기/NNG+들/XSN+끼리/XSN
짜고	짜/VV+고/EC
해서	하/VX+아서/EC
어떻게	어떻/VA+게/EC
하면	하/VV+면/EC
홍준표를	홍준표/NNP+를/JKO
'비틀어	'/SS+비틀/VV+어/EC
뺄까'	빼/VV+ㄹ까/EF+'/SS
(생각만	(/SS+생각/NNG+만/JX
한다)"라며	하/VV+ㄴ다/EF+)/SS+"/SS+이/VCP+라며/EC
"이런	"/SS+이런/MMD
도둑놈의	도둑놈/NNG+의/JKG
XX들이	XX/SL+들/XSN+이/JKS
어디	어디/NP
있나.	있/VA+나/EF+./SF
내가	내/NP+가/JKS
집권하면	집권/NNG+하/XSV+면/EC
없애버린다"고	없애/VV+어/EC+버리/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.372.6.1
한편 중앙선거관리위원회는 이날 조사한 적 없는 허위 여론조사 결과를 인터넷에 유포한 혐의로 홍 후보 측 선대위 정책특보와 지방의회 의원 등 4명을 검찰에 고발했다고 밝혔다.

한편	한편/MAG
중앙선거관리위원회는	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG+는/JX
이날	이날/NNG
조사한	조사/NNG+하/XSV+ㄴ/ETM
적	적/NNB
없는	없/VA+는/ETM
허위	허위/NNG
여론조사	여론/NNG+조사/NNG
결과를	결과/NNG+를/JKO
인터넷에	인터넷/NNG+에/JKB
유포한	유포/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
홍	홍/NNP
후보	후보/NNG
측	측/NNB
선대위	선대위/NNG
정책특보와	정책/NNG+특보/NNG+와/JC
지방의회	지방/NNG+의회/NNG
의원	의원/NNG
등	등/NNB
4명을	4/SN+명/NNB+을/JKO
검찰에	검찰/NNG+에/JKB
고발했다고	고발/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.372.6.2
선관위에 따르면 이들은 홍 후보가 안철수 후보를 앞서 지지율 2위로 올라섰다는 내용의 허위 여론조사 결과를 카카오톡·밴드 등에 반복적으로 올린 혐의를 받고 있다.

선관위에	선관위/NNG+에/JKB
따르면	따르/VV+면/EC
이들은	이/NP+들/XSN+은/JX
홍	홍/NNP
후보가	후보/NNG+가/JKS
안철수	안철수/NNP
후보를	후보/NNG+를/JKO
앞서	앞서/VV+어/EC
지지율	지지/NNG+율/XSN
2위로	2/SN+위/NNB+로/JKB
올라섰다는	올라서/VV+었/EP+다는/ETM
내용의	내용/NNG+의/JKG
허위	허위/NNG
여론조사	여론/NNG+조사/NNG
결과를	결과/NNG+를/JKO
카카오톡·밴드	카카오톡/NNP+·/SP+밴드/NNP
등에	등/NNB+에/JKB
반복적으로	반복/NNG+적/XSN+으로/JKB
올린	올리/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.372.6.3
