# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.258
metadata : {}


# id : NWRW1800000041.258.1.1
마라톤 2시간 벽 깨질 것 같은데, 한국은…

마라톤	마라톤/NNG
2시간	2/SN+시간/NNB
벽	벽/NNG
깨질	깨지/VV+ㄹ/ETM
것	것/NNB
같은데,	같/VA+은데/EC+,/SP
한국은…	한국/NNP+은/JX+…/SE


# id : NWRW1800000041.258.2.1
케냐 키메토 2시간2분대 진입… 국내는 15년째 2시간7분대

케냐	케냐/NNP
키메토	키메토/NNP
2시간2분대	2/SN+시간/NNB+2/SN+분/NNB+대/XSN
진입…	진입/NNG+…/SE
국내는	국내/NNG+는/JX
15년째	15/SN+년/NNB+째/XSN
2시간7분대	2/SN+시간/NNB+7/SN+분/NNB+대/XSN


# id : NWRW1800000041.258.3.1
세계는 앞으로 달리는데 한국 마라톤은 뒷걸음질치고 있다.

세계는	세계/NNG+는/JX
앞으로	앞/NNG+으로/JKB
달리는데	달리/VV+는데/EC
한국	한국/NNP
마라톤은	마라톤/NNG+은/JX
뒷걸음질치고	뒷걸음질치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.258.4.1
28일 베를린 마라톤에서 케냐의 철각 데니스 키메토가 2시간2분57초의 세계 최고 기록으로 우승해 사상 처음 2시간2분대에 진입했다.

28일	28/SN+일/NNB
베를린	베를린/NNP
마라톤에서	마라톤/NNG+에서/JKB
케냐의	케냐/NNP+의/JKG
철각	철각/NNG
데니스	데니스/NNP
키메토가	키메토/NNP+가/JKS
2시간2분57초의	2/SN+시간/NNB+2/SN+분/NNB+57/SN+초/NNB+의/JKG
세계	세계/NNG
최고	최고/NNG
기록으로	기록/NNG+으로/JKB
우승해	우승/NNG+하/XSV+아/EC
사상	사상/NNG
처음	처음/NNG
2시간2분대에	2/SN+시간/NNB+2/SN+분/NNB+대/XSN+에/JKB
진입했다.	진입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.258.4.2
지난해 같은 대회에서 윌슨 킵상 키프로티치(케냐)가 세운 2시간3분23초를 1년 만에 경신했다.

지난해	지난해/NNG
같은	같/VA+은/ETM
대회에서	대회/NNG+에서/JKB
윌슨	윌슨/NNP
킵상	킵상/NNP
키프로티치(케냐)가	키프로티치/NNP+(/SS+케냐/NNP+)/SS+가/JKS
세운	세우/VV+ㄴ/ETM
2시간3분23초를	2/SN+시간/NNB+3/SN+분/NNB+23/SN+초/NNB+를/JKO
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
