# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.207
metadata : {}


# id : NWRW1800000024.207.1.1
“재벌 구조조정, 부실책임 총수에 특혜”

“재벌	“/SS+재벌/NNG
구조조정,	구조/NNG+조정/NNG+,/SP
부실책임	부실/NNG+책임/NNG
총수에	총수/NNG+에/JKB
특혜”	특혜/NNG+”/SS


# id : NWRW1800000024.207.2.1
산업은행이 동부그룹을 상대로 추진중인 구조조정 방식이 부실의 주역인 동부와 김준기 회장의 책임을 묻기보다 오히려 특혜를 주는 내용이어서 구조조정의 취지에 정면 배치된다는 분석이 나왔다.

산업은행이	산업은행/NNP+이/JKS
동부그룹을	동부그룹/NNP+을/JKO
상대로	상대/NNG+로/JKB
추진중인	추진/NNG+중/NNB+이/VCP+ㄴ/ETM
구조조정	구조/NNG+조정/NNG
방식이	방식/NNG+이/JKS
부실의	부실/NNG+의/JKG
주역인	주역/NNG+이/VCP+ㄴ/ETM
동부와	동부/NNP+와/JC
김준기	김준기/NNP
회장의	회장/NNG+의/JKG
책임을	책임/NNG+을/JKO
묻기보다	묻/VV+기/ETN+보다/JKB
오히려	오히려/MAG
특혜를	특혜/NNG+를/JKO
주는	주/VV+는/ETM
내용이어서	내용/NNG+이/VCP+어서/EC
구조조정의	구조/NNG+조정/NNG+의/JKG
취지에	취지/NNG+에/JKB
정면	정면/NNG
배치된다는	배치/NNG+되/XSV+ㄴ다는/ETM
분석이	분석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.207.3.1
경제개혁연대(소장 김상조)는 18일 산은이 재무적 투자자들과 사모투자펀드(PEF)를 설립해 동부의 계열사인 동부메탈을 사주는 구조조정 방식에 대해 시뮬레이션을 한 결과, 재무적 투자자는 물론 부실을 사전에 막지 못한 채권단(산은 제외)은 손해를 보지 않고, 부실 책임자인 동부하이텍과 김준기 회장도 이익이 예상되는 반면 산은만 손실을 볼 위험성이 크다고 발표했다.

경제개혁연대(소장	경제/NNG+개혁/NNG+연대/NNG+(/SS+소장/NNG
김상조)는	김상조/NNP+)/SS+는/JX
18일	18/SN+일/NNB
산은이	산은/NNP+이/JKS
재무적	재무/NNG+적/XSN
투자자들과	투자자/NNG+들/XSN+과/JKB
사모투자펀드(PEF)를	사모/NNG+투자/NNG+펀드/NNG+(/SS+PEF/SL+)/SS+를/JKO
설립해	설립/NNG+하/XSV+아/EC
동부의	동부/NNP+의/JKG
