# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.18
metadata : {}


# id : NWRW1800000022.18.1.1
지갑은 얇아졌어도… 孝 선물 빠질 수 없죠

지갑은	지갑/NNG+은/JX
얇아졌어도…	얇아지/VV+었/EP+어도/EC+…/SE
孝	孝/SH
선물	선물/NNG
빠질	빠지/VV+ㄹ/ETM
수	수/NNB
없죠	없/VA+죠/EF


# id : NWRW1800000022.18.2.1
어려운 경제 상황 속에서 민족의 명절인 설을 맞는 마음이 가볍지만은 않다.

어려운	어렵/VA+ㄴ/ETM
경제	경제/NNG
상황	상황/NNG
속에서	속/NNG+에서/JKB
민족의	민족/NNG+의/JKG
명절인	명절/NNG+이/VCP+ㄴ/ETM
설을	설/NNG+을/JKO
맞는	맞/VV+는/ETM
마음이	마음/NNG+이/JKS
가볍지만은	가볍/VA+지/EC+만/JX+은/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000022.18.2.2
하지만 구정을 맞아 평소 고마운 사람들에게 전하는 선물은 빼먹을 수 없는 법.

하지만	하지만/MAJ
구정을	구정/NNG+을/JKO
맞아	맞/VV+아/EC
평소	평소/NNG
고마운	고맙/VA+ㄴ/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
전하는	전하/VV+는/ETM
선물은	선물/NNG+은/JX
빼먹을	빼먹/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
법.	법/NNB+./SF


# id : NWRW1800000022.18.2.3
그중에서도 가장 소중한 부모님을 위한 선물로는 어떤 품목이 좋을까.

그중에서도	그중/NNG+에서/JKB+도/JX
가장	가장/MAG
소중한	소중하/VA+ㄴ/ETM
부모님을	부모/NNG+님/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
선물로는	선물/NNG+로/JKB+는/JX
어떤	어떤/MMD
품목이	품목/NNG+이/JKS
좋을까.	좋/VA+을까/EF+./SF


# id : NWRW1800000022.18.3.1
효도 선물로 가장 인기 있는 품목은 단연 건강식품.

효도	효도/NNG
선물로	선물/NNG+로/JKB
가장	가장/MAG
인기	인기/NNG
있는	있/VA+는/ETM
품목은	품목/NNG+은/JX
단연	단연/MAG
건강식품.	건강식품/NNG+./SF


# id : NWRW1800000022.18.3.2
이번 설엔 합리적인 가격의 실속형 건강 선물세트가 인기를 끌 것으로 전망된다.

이번	이번/NNG
설엔	설/NNG+에/JKB+ㄴ/JX
합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
가격의	가격/NNG+의/JKG
실속형	실속/NNG+형/XSN
건강	건강/NNG
선물세트가	선물/NNG+세트/NNG+가/JKS
인기를	인기/NNG+를/JKO
끌	끌/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.18.3.3
웅진식품의 인홍삼 브랜드 '장쾌삼'은 특허 기술을 바탕으로 '발효홍삼' 선물세트를 준비했다.

웅진식품의	웅진식품/NNP+의/JKG
인홍삼	인홍삼/NNG
브랜드	브랜드/NNG
'장쾌삼'은	'/SS+장쾌삼/NNP+'/SS+은/JX
특허	특허/NNG
기술을	기술/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
'발효홍삼'	'/SS+발효/NNG+홍삼/NNG+'/SS
선물세트를	선물/NNG+세트/NNG+를/JKO
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.18.3.4
국내산 6년근 홍삼을 발효시켜 효과적인 체내 흡수를 돕는다.

국내산	국내/NNG+산/XSN
6년근	6/SN+년/NNB+근/NNG
홍삼을	홍삼/NNG+을/JKO
발효시켜	발효/NNG+시키/XSV+어/EC
효과적인	효과/NNG+적/XSN+이/VCP+ㄴ/ETM
체내	체내/NNG
흡수를	흡수/NNG+를/JKO
돕는다.	돕/VV+는다/EF+./SF


# id : NWRW1800000022.18.3.5
'장쾌삼 발효홍삼 력(力)'(10병·3만원), '장쾌삼 발효홍삼 원(元)모둠 2호'(3만8000원), '장쾌삼 산삼배양근'(10병·2만5000원) 등 다양한 종류의 선물세트를 내놨다.

'장쾌삼	'/SS+장쾌삼/NNP
발효홍삼	발효/NNG+홍삼/NNG
력(力)'(10병·3만원),	력/NNP+(/SS+力/SH+)/SS+'/SS+(/SS+10/SN+병/NNG+·/SP+3/SN+만/NR+원/NNB+)/SS+,/SP
원(元)모둠	원/NNP+(/SS+元/SH+)/SS+모둠/NNG
2호'(3만8000원),	2/SN+호/NNB+'/SS+(/SS+3/SN+만/NR+8000/SN+원/NNB+)/SS+,/SP
산삼배양근'(10병·2만5000원)	산삼/NNG+배양근/NNG+'/SS+(/SS+10/SN+병/NNG+·/SP+2/SN+만/NR+5000/SN+원/NNB+)/SS
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
종류의	종류/NNG+의/JKG
선물세트를	선물/NNG+세트/NNG+를/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.18.4.1
백화점에선 홍삼 농축액을 물에 희석시켜 복용하는 '정관장 홈삼정'(240g·18만5000원)이 가장 많이 팔린다.

백화점에선	백화점/NNG+에서/JKB+ㄴ/JX
홍삼	홍삼/NNG
농축액을	농축액/NNG+을/JKO
물에	물/NNG+에/JKB
희석시켜	희석/NNG+시키/XSV+어/EC
복용하는	복용/NNG+하/XSV+는/ETM
'정관장	'/SS+정관장/NNP
홈삼정'(240g·18만5000원)이	홈삼정/NNP+'/SS+(/SS+240/SN+g/SW+·/SP+18/SN+만/NR+5000/SN+원/NNB+)/SS+이/JKS
가장	가장/MAG
많이	많이/MAG
팔린다.	팔리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.18.4.2
이밖에 홍삼과 십전대보탕 성분을 섞어 한약처럼 마실 수 있는 포 형태로 만든 '정관장 홍삼톤 마일드'(60포·14만원)도 인기 품목.

이밖에	이/NP+밖/NNG+에/JKB
홍삼과	홍삼/NNG+과/JC
십전대보탕	십전대보탕/NNG
성분을	성분/NNG+을/JKO
섞어	섞/VV+어/EC
한약처럼	한약/NNG+처럼/JKB
마실	마시/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
포	포/NNG
형태로	형태/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
'정관장	'/SS+정관장/NNP
홍삼톤	홍삼톤/NNP
마일드'(60포·14만원)도	마일드/NNG+'/SS+(/SS+60/SN+포/NNG+·/SP+14/SN+만/NR+원/NNB+)/SS+도/JX
인기	인기/NNG
품목.	품목/NNG+./SF


# id : NWRW1800000022.18.4.3
대형마트의 자체 브랜드(PB) 건강기능식품세트는 저렴하다는 강점이 있다.

대형마트의	대형/NNG+마트/NNG+의/JKG
자체	자체/NNG
브랜드(PB)	브랜드/NNG+(/SS+PB/SL+)/SS
건강기능식품세트는	건강/NNG+기능/NNG+식품/NNG+세트/NNG+는/JX
저렴하다는	저렴하/VA+다는/ETM
강점이	강점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.18.4.4
홈플러스는 '홈플러스 좋은상품 오메가3 세트'(2만2000원), '글루코사민 세트'(3만원), '멀티 비타민 세트'(2만4000원), 등 2만~3만원대 상품을 최대 6개월분까지 준비했다.

홈플러스는	홈플러스/NNP+는/JX
'홈플러스	'/SS+홈플러스/NNP
좋은상품	좋/VA+은/ETM+상품/NNG
오메가3	오메가/NNG+3/SN
세트'(2만2000원),	세트/NNG+'/SS+(/SS+2/SN+만/NR+2000/SN+원/NNB+)/SS+,/SP
'글루코사민	'/SS+글루코사민/NNG
세트'(3만원),	세트/NNG+'/SS+(/SS+3/SN+만/NR+원/NNB+)/SS+,/SP
'멀티	'/SS+멀티/NNG
비타민	비타민/NNG
세트'(2만4000원),	세트/NNG+'/SS+(/SS+2/SN+만/NR+4000/SN+원/NNB+)/SS+,/SP
등	등/NNB
2만~3만원대	2/SN+만/NR+~/SO+3/SN+만/NR+원/NNB+대/XSN
상품을	상품/NNG+을/JKO
최대	최대/NNG
6개월분까지	6/SN+개월/NNB+분/XSN+까지/JX
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.18.5.1
최근 인기를 끌고 있는 '건강 신발'도 부모님을 위한 효도 선물로 제격이다.

최근	최근/NNG
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있는	있/VX+는/ETM
'건강	'/SS+건강/NNG
신발'도	신발/NNG+'/SS+도/JX
부모님을	부모/NNG+님/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
효도	효도/NNG
선물로	선물/NNG+로/JKB
제격이다.	제격/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.18.5.2
MBT의 마사이워킹 슈즈는 집 근처 공원이나 산책로에서 편안하게 걷는 것만으로도 운동효과를 낼 수 있는 건강기능성 신발.

MBT의	MBT/SL+의/JKG
마사이워킹	마사이/NNP+워킹/NNG
슈즈는	슈즈/NNG+는/JX
집	집/NNG
근처	근처/NNG
공원이나	공원/NNG+이나/JC
산책로에서	산책로/NNG+에서/JKB
편안하게	편안/NNG+하/XSA+게/EC
걷는	걷/VV+는/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
운동효과를	운동/NNG+효과/NNG+를/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
건강기능성	건강/NNG+기능/NNG+성/XSN
신발.	신발/NNG+./SF


# id : NWRW1800000022.18.5.3
등과 관절 주변 근력을 강화하고, 충격 흡수로 허리 통증을 완화해주기 때문에 노년층에게 인기다.

등과	등/NNG+과/JC
관절	관절/NNG
주변	주변/NNG
근력을	근력/NNG+을/JKO
강화하고,	강화/NNG+하/XSV+고/EC+,/SP
충격	충격/NNG
흡수로	흡수/NNG+로/JKB
허리	허리/NNG
통증을	통증/NNG+을/JKO
완화해주기	완화/NNG+하/XSV+아/EC+주/VX+기/ETN
때문에	때문/NNB+에/JKB
노년층에게	노년/NNG+층/XSN+에게/JKB
인기다.	인기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.18.5.4
MBT 마사이워킹 슈즈 상품권은 전국 154개 MBT 마사이워킹센터에서 구입할 수 있다.

MBT	MBT/SL
마사이워킹	마사이/NNP+워킹/NNG
슈즈	슈즈/NNG
상품권은	상품/NNG+권/XSN+은/JX
전국	전국/NNG
154개	154/SN+개/NNB
마사이워킹센터에서	마사이/NNP+워킹/NNG+센터/NNG+에서/JKB
구입할	구입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.18.5.5
가격은 29만7000원선.

가격은	가격/NNG+은/JX
29만7000원선.	29/SN+만/NR+7000/SN+원/NNB+선/NNG+./SF


# id : NWRW1800000022.18.6.1
편히 누워 마사지를 받을 수 있는 안마의자도 선물로 좋겠지만, 가격이 100만원을 훌쩍 넘어 부담스럽다.

편히	편히/MAG
누워	눕/VV+어/EC
마사지를	마사지/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
안마의자도	안마/NNG+의자/NNG+도/JX
선물로	선물/NNG+로/JKB
좋겠지만,	좋/VA+겠/EP+지만/EC+,/SP
가격이	가격/NNG+이/JKS
100만원을	100/SN+만/NR+원/NNB+을/JKO
훌쩍	훌쩍/MAG
넘어	넘/VV+어/EC
부담스럽다.	부담/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000022.18.6.2
오심의 손마사지기 'OS 3010'은 이런 고민을 날려주는 제품.

오심의	오심/NNP+의/JKG
손마사지기	손/NNG+마사지기/NNG
'OS	'/SS+OS/SL
3010'은	3010/SN+'/SS+은/JX
이런	이런/MMD
고민을	고민/NNG+을/JKO
날려주는	날리/VV+어/EC+주/VX+는/ETM
제품.	제품/NNG+./SF


# id : NWRW1800000022.18.6.3
가격은 8만8000원으로 비교적 저렴하다.

가격은	가격/NNG+은/JX
8만8000원으로	8/SN+만/NR+8000/SN+원/NNB+으로/JKB
비교적	비교/NNG+적/XSN
저렴하다.	저렴하/VA+다/EF+./SF


# id : NWRW1800000022.18.6.4
인체공학적인 디자인으로 혼자 사용할 때도 어깨, 허리 등 손이 쉽게 닿지 않는 곳도 마사지 할 수 있고, 진동이 근육 깊숙하게 전달된다.

인체공학적인	인체/NNG+공학/NNG+적/XSN+이/VCP+ㄴ/ETM
