# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.157
metadata : {}


# id : NWRW1800000053.157.1.1
짧은 귀성 연휴, 작년보다 정체 심할듯

짧은	짧/VA+은/ETM
귀성	귀성/NNG
연휴,	연휴/NNG+,/SP
작년보다	작년/NNG+보다/JKB
정체	정체/NNG
심할듯	심하/VA+ㄹ/ETM+듯/NNB


# id : NWRW1800000053.157.2.1
27일 오전 서울~부산 5시간45분 예상… 드론 띄워 끼어들기-갓길운행 단속

27일	27/SN+일/NNB
오전	오전/NNG
서울~부산	서울/NNP+~/SO+부산/NNP
5시간45분	5/SN+시간/NNB+45/SN+분/NNB
예상…	예상/NNG+…/SE
드론	드론/NNG
띄워	띄우/VV+어/EC
끼어들기-갓길운행	끼어들기/NNG+-/SO+갓길/NNG+운행/NNG
단속	단속/NNG


# id : NWRW1800000053.157.3.1
올해 설 연휴 고속도로 귀성길은 지난해보다 정체가 심할 것으로 보인다.

올해	올해/NNG
설	설/NNG
연휴	연휴/NNG
고속도로	고속/NNG+도로/NNG
귀성길은	귀성길/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
정체가	정체/NNG+가/JKS
심할	심하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.157.3.2
귀성객이 가장 많이 몰리는 27일 오전을 기준으로 서울∼부산은 평균 5시간 45분, 광주까지는 5시간 50분이 걸릴 것으로 전망된다.

귀성객이	귀성객/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
몰리는	몰리/VV+는/ETM
27일	27/SN+일/NNB
오전을	오전/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
서울∼부산은	서울/NNP+∼/SO+부산/NNP+은/JX
평균	평균/NNG
5시간	5/SN+시간/NNB
45분,	45/SN+분/NNB+,/SP
광주까지는	광주/NNP+까지/JX+는/JX
50분이	50/SN+분/NNB+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.157.4.1
지난해에는 설 전 휴일이 이틀이라 교통량이 분산됐지만 올해는 설 전날인 27일 오전에 36.6%의 귀성객이 몰릴 것으로 분석됐다.

지난해에는	지난해/NNG+에/JKB+는/JX
설	설/NNG
전	전/MMD
휴일이	휴일/NNG+이/JKS
이틀이라	이틀/NNG+이/VCP+라/EC
교통량이	교통량/NNG+이/JKS
분산됐지만	분산/NNG+되/XSV+었/EP+지만/EC
올해는	올해/NNG+는/JX
전날인	전날/NNG+이/VCP+ㄴ/ETM
27일	27/SN+일/NNB
오전에	오전/NNG+에/JKB
36.6%의	36/SN+./SP+6/SN+%/SW+의/JKG
귀성객이	귀성객/NNG+이/JKS
몰릴	몰리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.157.4.2
설 연휴의 예상 이동 인원은 총 3115만 명으로 지난해보다 4.5%(134만 명) 늘 것으로 보인다.

설	설/NNG
연휴의	연휴/NNG+의/JKG
예상	예상/NNG
이동	이동/NNG
인원은	인원/NNG+은/JX
총	총/MMA
3115만	3115/SN+만/NR
명으로	명/NNB+으로/JKB
지난해보다	지난해/NNG+보다/JKB
4.5%(134만	4/SN+./SP+5/SN+%/SW+(/SS+134/SN+만/NR
명)	명/NNB+)/SS
늘	늘/VV+ㄹ/ETM
