# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.227
metadata : {}


# id : NWRW1800000021.227.1.1
[Money & Life]앙드레 김이 직접 디자인한 패션카드

[Money	[/SS+Money/SL
&	&/SW
Life]앙드레	Life/SL+]/SS+앙드레/NNP
김이	김/NNP+이/JKS
직접	직접/MAG
디자인한	디자인/NNG+하/XSV+ㄴ/ETM
패션카드	패션/NNG+카드/NNG


# id : NWRW1800000021.227.2.1
국민은행의 ‘KB스위트카드’는 라이프스타일에 따라 ‘스위트드림’ ‘스위트하트’ ‘스위트라이프’ 등 혜택이 다른 3종류의 카드를 선택할 수 있다.

국민은행의	국민은행/NNP+의/JKG
‘KB스위트카드’는	‘/SS+KB/SL+스위트카드/NNG+’/SS+는/JX
라이프스타일에	라이프스타일/NNG+에/JKB
따라	따르/VV+아/EC
‘스위트드림’	‘/SS+스위트드림/NNG+’/SS
‘스위트하트’	‘/SS+스위트하트/NNG+’/SS
‘스위트라이프’	‘/SS+스위트라이프/NNG+’/SS
등	등/NNB
혜택이	혜택/NNG+이/JKS
다른	다르/VA+ㄴ/ETM
3종류의	3/SN+종류/NNG+의/JKG
카드를	카드/NNG+를/JKO
선택할	선택/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.227.3.1
‘스위트드림’ 카드는 미용과 쇼핑에 관심이 많은 직장 여성을 위한 카드다.

‘스위트드림’	‘/SS+스위트드림/NNG+’/SS
카드는	카드/NNG+는/JX
미용과	미용/NNG+과/JC
쇼핑에	쇼핑/NNG+에/JKB
관심이	관심/NNG+이/JKS
많은	많/VA+은/ETM
직장	직장/NNG
여성을	여성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
카드다.	카드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.227.3.2
피부관리점 화장품점 등에서 5%의 할인 서비스를 받을 수 있다.

피부관리점	피부/NNG+관리점/NNG
화장품점	화장품점/NNG
등에서	등/NNB+에서/JKB
5%의	5/SN+%/SW+의/JKG
할인	할인/NNG
서비스를	서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.227.3.3
‘스위트하트’ 카드는 자녀교육에 관심이 많은 에듀맘을 위한 카드.

‘스위트하트’	‘/SS+스위트하트/NNG+’/SS
카드는	카드/NNG+는/JX
자녀교육에	자녀/NNG+교육/NNG+에/JKB
관심이	관심/NNG+이/JKS
많은	많/VA+은/ETM
에듀맘을	에듀맘/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
카드.	카드/NNG+./SF


# id : NWRW1800000021.227.3.4
학원과 어린이 집 등 육아관련 업종을 이용하면 5% 할인을 받을 수 있다.

학원과	학원/NNG+과/JC
어린이	어린이/NNG
집	집/NNG
등	등/NNB
육아관련	육아/NNG+관련/NNG
업종을	업종/NNG+을/JKO
이용하면	이용/NNG+하/XSV+면/EC
5%	5/SN+%/SW
할인을	할인/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.227.3.5
건강, 레저에 관심이 많은 여성을 위한 ‘스위트라이프’ 카드는 병원 약국과 레포츠 업종에서 할인 혜택을 받는다.

건강,	건강/NNG+,/SP
레저에	레저/NNG+에/JKB
관심이	관심/NNG+이/JKS
많은	많/VA+은/ETM
여성을	여성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘스위트라이프’	‘/SS+스위트라이프/NNG+’/SS
카드는	카드/NNG+는/JX
병원	병원/NNG
약국과	약국/NNG+과/JC
레포츠	레포츠/NNG
업종에서	업종/NNG+에서/JKB
할인	할인/NNG
혜택을	혜택/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000021.227.3.6
세 카드 모두 백화점 및 대형 할인점에서는 5%, 파리크라상, 베스킨라빈스 등에선 10%의 할인 서비스를 제공하고 있다.

세	세/MMN
카드	카드/NNG
모두	모두/MAG
백화점	백화점/NNG
및	및/MAG
대형	대형/NNG
할인점에서는	할인점/NNG+에서/JKB+는/JX
5%,	5/SN+%/SW+,/SP
파리크라상,	파리크라상/NNP+,/SP
베스킨라빈스	베스킨라빈스/NNP
등에선	등/NNB+에서/JKB+ㄴ/JX
10%의	10/SN+%/SW+의/JKG
할인	할인/NNG
서비스를	서비스/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.227.4.1
한편 지식경제부로부터 2009년 상반기 ‘굿 디자인’ 상품에 선정되는 등 앙드레 김이 맡은 카드 디자인도 여성 취향에 맞췄다.

한편	한편/MAG
지식경제부로부터	지식/NNG+경제부/NNG+로부터/JKB
2009년	2009/SN+년/NNB
상반기	상반기/NNG
‘굿	‘/SS+굿/NNG
디자인’	디자인/NNG+’/SS
상품에	상품/NNG+에/JKB
선정되는	선정/NNG+되/XSV+는/ETM
등	등/NNB
앙드레	앙드레/NNP
김이	김/NNP+이/JKS
맡은	맡/VV+은/ETM
카드	카드/NNG
디자인도	디자인/NNG+도/JX
여성	여성/NNG
취향에	취향/NNG+에/JKB
맞췄다.	맞추/VV+었/EP+다/EF+./SF


