# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.261
metadata : {}


# id : NWRW1800000046.261.1.1
[기자의 시각] 유족도 한발 물러서야

[기자의	[/SS+기자/NNG+의/JKG
시각]	시각/NNG+]/SS
유족도	유족/NNG+도/JX
한발	한발/MAG
물러서야	물러서/VV+야/EF


# id : NWRW1800000046.261.2.1
지난해 4월 세월호 침몰 사고가 발생한 지 얼마 안 돼 실종자 가족들과 정부는 한동안 효율적인 실종자 수색 방안을 놓고 허심탄회하게 소통했다.

지난해	지난해/NNG
4월	4/SN+월/NNB
세월호	세월호/NNP
침몰	침몰/NNG
사고가	사고/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
지	지/NNB
얼마	얼마/NNG
안	안/MAG
돼	되/VV+어/EC
실종자	실종자/NNG
가족들과	가족/NNG+들/XSN+과/JC
정부는	정부/NNG+는/JX
한동안	한/XPN+동안/NNG
효율적인	효율/NNG+적/XSN+이/VCP+ㄴ/ETM
수색	수색/NNG
방안을	방안/NNG+을/JKO
놓고	놓/VV+고/EC
허심탄회하게	허심탄회/NNG+하/XSA+게/EC
소통했다.	소통/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.261.2.2
정부는 오전·오후 가족들에게 수색 상황을 정례 브리핑했고, 수시로 가족들과 협의해 새로운 구조 장비와 구조팀을 투입했다.

정부는	정부/NNG+는/JX
오전·오후	오전/NNG+·/SP+오후/NNG
가족들에게	가족/NNG+들/XSN+에게/JKB
수색	수색/NNG
상황을	상황/NNG+을/JKO
정례	정례/NNG
브리핑했고,	브리핑/NNG+하/XSV+았/EP+고/EC+,/SP
수시로	수시로/MAG
가족들과	가족/NNG+들/XSN+과/JKB
협의해	협의/NNG+하/XSV+아/EC
새로운	새롭/VA+ㄴ/ETM
구조	구조/NNG
장비와	장비/NNG+와/JC
구조팀을	구조/NNG+팀/NNG+을/JKO
투입했다.	투입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.261.2.3
참사 초기 국무총리와 해양수산부 장관 등에게 거친 욕설을 내뱉었던 일부 가족은 이런 과정을 거쳐 두 달쯤 뒤에는 정부 관계자들에게 "감사하다"는 말을 하기 시작했다.

참사	참사/NNG
초기	초기/NNG
국무총리와	국무총리/NNG+와/JC
해양수산부	해양/NNG+수산부/NNG
장관	장관/NNG
