# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.241
metadata : {}


# id : NWRW1800000022.241.1.1
[울산]'고래 타고 온 한국의 신' 참배 "일본 신사 앞 노거수 살리자"

[울산]'고래	[/SS+울산/NNP+]/SS+'/SS+고래/NNG
타고	타/VV+고/EC
온	오/VV+ㄴ/ETM
한국의	한국/NNP+의/JKG
신'	신/NNG+'/SS
참배	참배/NNG
"일본	"/SS+일본/NNP
신사	신사/NNG
앞	앞/NNG
노거수	노거수/NNG
살리자"	살리/VV+자/EF+"/SS


# id : NWRW1800000022.241.2.1
일본의 한 신사 앞에서 자라는 500년생 후박나무 한 그루가 도로 개설로 잘릴 위기에 처하자 국제민간생태조사단이 이 노거수(老巨樹)를 살리는 운동을 전개해 관심을 끌고 있다.

일본의	일본/NNP+의/JKG
한	한/MMN
신사	신사/NNG
앞에서	앞/NNG+에서/JKB
자라는	자라/VV+는/ETM
500년생	500/SN+년/NNB+생/XSN
후박나무	후박나무/NNG
그루가	그루/NNB+가/JKS
도로	도로/NNG
개설로	개설/NNG+로/JKB
잘릴	잘리/VV+ㄹ/ETM
위기에	위기/NNG+에/JKB
처하자	처하/VV+자/EC
국제민간생태조사단이	국제/NNG+민간/NNG+생태/NNG+조사단/NNG+이/JKS
이	이/MMD
노거수(老巨樹)를	노거수/NNG+(/SS+老巨樹/SH+)/SS+를/JKO
살리는	살리/VV+는/ETM
운동을	운동/NNG+을/JKO
전개해	전개/NNG+하/XSV+아/EC
관심을	관심/NNG+을/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.241.3.1
울산생명의 숲은 국제민간생태조사단인 '동아시아진수(鎭樹·노거수) 숲조사단'(단장 이춘자·46)이 최근 일본 혼슈(本州) 후쿠이(福井)현 사카이(坂井)시의 기부네(鬼船) 신사 앞의 후박나무 보호운동을 벌인다고 6일 밝혔다.

울산생명의	울산/NNP+생명/NNG+의/JKG
숲은	숲/NNG+은/JX
국제민간생태조사단인	국제/NNG+민간/NNG+생태/NNG+조사단/NNG+이/VCP+ㄴ/ETM
'동아시아진수(鎭樹·노거수)	'/SS+동아시아/NNP+진수/NNG+(/SS+鎭樹/SH+·/SP+노거수/NNG+)/SS
숲조사단'(단장	숲/NNG+조사단/NNG+'/SS+(/SS+단장/NNG
이춘자·46)이	이춘자/NNP+·/SP+46/SN+)/SS+이/JKS
최근	최근/MAG
일본	일본/NNP
