# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.314
metadata : {}


# id : NWRW1800000038.314.1.1
[데스크에서] 이상한 채동욱 관련 수사

[데스크에서]	[/SS+데스크/NNG+에서/JKB+]/SS
이상한	이상/NNG+하/XSA+ㄴ/ETM
채동욱	채동욱/NNP
관련	관련/NNG
수사	수사/NNG


# id : NWRW1800000038.314.2.1
검찰은 지난달 28일 채동욱 전 검찰총장의 혼외(婚外) 아들로 지목된 채모군의 개인정보를 조회한 서울 서초구청 조이제(53) 국장을 소환 조사했다.

검찰은	검찰/NNG+은/JX
지난달	지난달/NNG
28일	28/SN+일/NNB
채동욱	채동욱/NNP
전	전/MMD
검찰총장의	검찰/NNG+총장/NNG+의/JKG
혼외(婚外)	혼외/NNG+(/SS+婚外/SH+)/SS
아들로	아들/NNG+로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
채모군의	채/NNP+모/NP+군/NNB+의/JKG
개인정보를	개인/NNG+정보/NNG+를/JKO
조회한	조회/NNG+하/XSV+ㄴ/ETM
서울	서울/NNP
서초구청	서초구청/NNP
조이제(53)	조이제/NNP+(/SS+53/SN+)/SS
국장을	국장/NNG+을/JKO
소환	소환/NNG
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.314.2.2
이어 청와대 조오영(54) 시설담당 행정관과 안행부 김모(49) 국장이 이 사건에 개입한 사실이 드러났고, 지난 4일엔 조오영 행정관 소환 조사, 5일엔 안행부 김 국장 집과 사무실에 대한 압수수색이 있었다.

이어	이어/MAG
청와대	청와대/NNP
조오영(54)	조오영/NNP+(/SS+54/SN+)/SS
시설담당	시설/NNG+담당/NNG
행정관과	행정관/NNG+과/JC
안행부	안행부/NNG
김모(49)	김/NNP+모/NP+(/SS+49/SN+)/SS
국장이	국장/NNG+이/JKS
이	이/MMD
사건에	사건/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러났고,	드러나/VV+았/EP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
4일엔	4/SN+일/NNB+에/JKB+ㄴ/JX
조오영	조오영/NNP
행정관	행정관/NNG
소환	소환/NNG
조사,	조사/NNG+,/SP
5일엔	5/SN+일/NNB+에/JKB+ㄴ/JX
김	김/NNP
국장	국장/NNG
집과	집/NNG+과/JC
사무실에	사무실/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
압수수색이	압수/NNG+수색/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.314.2.3
이 모든 게 열흘 내에 벌어졌을 정도로 검찰의 수사는 빠른 속도로 거침없이 진행되고 있다.

이	이/MMD
모든	모든/MMN
게	거/NNB+이/JKS
열흘	열흘/NNG
내에	내/NNB+에/JKB
벌어졌을	벌어지/VV+었/EP+을/ETM
정도로	정도/NNG+로/JKB
검찰의	검찰/NNG+의/JKG
수사는	수사/NNG+는/JX
빠른	빠르/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
거침없이	거침없이/MAG
진행되고	진행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.314.2.4
마치 공개수사처럼 수사 내용 역시 거의 실시간으로 보도되고 있다.

마치	마치/MAG
공개수사처럼	공개수사/NNG+처럼/JKB
수사	수사/NNG
내용	내용/NNG
역시	역시/MAG
거의	거의/MAG
실시간으로	실시간/NNG+으로/JKB
보도되고	보도/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.314.2.5
특정 언론에만 수사 내용이 공개되는 모양새가 채 전 총장 재임 시절 국정원 댓글 수사 때와 비슷했다.

특정	특정/NNG
언론에만	언론/NNG+에/JKB+만/JX
수사	수사/NNG
내용이	내용/NNG+이/JKS
공개되는	공개/NNG+되/XSV+는/ETM
모양새가	모양새/NNG+가/JKS
채	채/NNP
전	전/MMD
총장	총장/NNG
재임	재임/NNG
시절	시절/NNG
국정원	국정원/NNG
댓글	댓글/NNG
때와	때/NNG+와/JKB
비슷했다.	비슷하/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.314.3.1
그러나 채 전 총장의 내연녀로 지목된 임모(54)씨에 대한 수사는 달랐다.

그러나	그러나/MAJ
채	채/NNP
전	전/MMD
총장의	총장/NNG+의/JKG
내연녀로	내연녀/NNG+로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
임모(54)씨에	임/NNP+모/NP+(/SS+54/SN+)/SS+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
수사는	수사/NNG+는/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.314.3.2
임 여인의 집에서 가정부로 일한 이모씨는 지난 9월 TV조선 인터뷰에서 "임씨에게 빌려준 돈 6500만원을 돌려받으려고 지난 5월 아들과 함께 카페에 갔다가 협박을 받았다"고 했다.

임	임/NNP
여인의	여인/NNG+의/JKG
집에서	집/NNG+에서/JKB
가정부로	가정부/NNG+로/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
이모씨는	이/NNP+모/NP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
TV조선	TV조선/NNP
인터뷰에서	인터뷰/NNG+에서/JKB
"임씨에게	"/SS+임/NNP+씨/NNB+에게/JKB
빌려준	빌리/VV+어/EC+주/VX+ㄴ/ETM
돈	돈/NNG
6500만원을	6500/SN+만/NR+원/NNB+을/JKO
돌려받으려고	돌려받/VV+으려고/EC
5월	5/SN+월/NNB
아들과	아들/NNG+과/JKB
함께	함께/MAG
카페에	카페/NNG+에/JKB
갔다가	가/VV+았/EP+다가/EC
협박을	협박/NNG+을/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.314.3.3
이씨는 "임씨가 데려온 '박 사장'이란 인물이 1000만원을 준 뒤 더 이상 돈을 요구하지 말라는 내용의 각서를 쓰게 했다"며 "'박 사장'이 채 전 총장의 혼외 아들 존재에 대해 발설하지 말라고 강요했다"고도 했다.

이씨는	이/NNP+씨/NNB+는/JX
"임씨가	"/SS+임/NNP+씨/NNB+가/JKS
데려온	데려오/VV+ㄴ/ETM
'박	'/SS+박/NNP
사장'이란	사장/NNG+'/SS+이/VCP+란/ETM
인물이	인물/NNG+이/JKS
1000만원을	1000/SN+만/NR+원/NNB+을/JKO
준	주/VV+ㄴ/ETM
뒤	뒤/NNG
더	더/MAG
이상	이상/NNG
돈을	돈/NNG+을/JKO
요구하지	요구/NNG+하/XSV+지/EC
말라는	말/VX+라는/ETM
내용의	내용/NNG+의/JKG
각서를	각서/NNG+를/JKO
쓰게	쓰/VV+게/EC
했다"며	하/VX+았/EP+다/EF+"/SS+며/EC
"'박	"/SS+'/SS+박/NNP
사장'이	사장/NNG+'/SS+이/JKS
채	채/NNP
전	전/MMD
총장의	총장/NNG+의/JKG
혼외	혼외/NNG
아들	아들/NNG
존재에	존재/NNG+에/JKB
대해	대하/VV+아/EC
발설하지	발설/NNG+하/XSV+지/EC
말라고	말/VX+라고/EC
강요했다"고도	강요/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.314.4.1
이에 분노한 시민의 진정으로 수사는 시작됐으나 그 진행 상황은 베일에 가려져 있다.

이에	이/NP+에/JKB
분노한	분노/NNG+하/XSV+ㄴ/ETM
시민의	시민/NNG+의/JKG
진정으로	진정/NNG+으로/JKB
수사는	수사/NNG+는/JX
시작됐으나	시작/NNG+되/XSV+었/EP+으나/EC
그	그/MMD
진행	진행/NNG
상황은	상황/NNG+은/JX
베일에	베일/NNG+에/JKB
가려져	가려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.314.4.2
검찰은 개인정보 유출 수사에서는 관련자들의 신체까지 압수수색했다면서도 임 여인 집 등을 압수수색했다는 소식은 들리지 않는다.

검찰은	검찰/NNG+은/JX
개인정보	개인/NNG+정보/NNG
유출	유출/NNG
수사에서는	수사/NNG+에서/JKB+는/JX
관련자들의	관련자/NNG+들/XSN+의/JKG
신체까지	신체/NNG+까지/JX
압수수색했다면서도	압수/NNG+수색/NNG+하/XSV+았/EP+다면서/EC+도/JX
임	임/NNP
여인	여인/NNG
집	집/NNG
등을	등/NNB+을/JKO
압수수색했다는	압수/NNG+수색/NNG+하/XSV+았/EP+다는/ETM
소식은	소식/NNG+은/JX
들리지	들리/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000038.314.4.3
검찰은 급기야 지난 5일 거짓말까지 했다.

검찰은	검찰/NNG+은/JX
급기야	급기야/MAG
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
거짓말까지	거짓말/NNG+까지/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.314.4.4
임 여인을 소환했느냐는 질문에 검찰 간부는 답변을 회피하다 마지 못해 "금주에 할 것"이라고 했다.

임	임/NNP
여인을	여인/NNG+을/JKO
소환했느냐는	소환/NNG+하/XSV+았/EP+느냐는/ETM
질문에	질문/NNG+에/JKB
검찰	검찰/NNG
간부는	간부/NNG+는/JX
답변을	답변/NNG+을/JKO
회피하다	회피/NNG+하/XSV+다/EC
마지	말/VX+지/EC
못해	못하/VX+아/EC
"금주에	"/SS+금주/NNG+에/JKB
할	하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.314.4.5
검찰은 임 여인을 소환할 '예정'이라는 보도가 나온 뒤에야 지난 3일과 4일 이미 조사했다고 시인했다.

검찰은	검찰/NNG+은/JX
임	임/NNP
여인을	여인/NNG+을/JKO
소환할	소환/NNG+하/XSV+ㄹ/ETM
'예정'이라는	'/SS+예정/NNG+'/SS+이/VCP+라는/ETM
보도가	보도/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
지난	지나/VV+ㄴ/ETM
3일과	3/SN+일/NNB+과/JC
4일	4/SN+일/NNB
이미	이미/MAG
조사했다고	조사/NNG+하/XSV+았/EP+다고/EC
시인했다.	시인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.314.4.6
