# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.251
metadata : {}


# id : NWRW1800000026.251.1.1
[부산·울산·경남] 창원 공영자전거 '누비자' 명품화;안전·편의성 획기적 개선… 삼천리자전거와 공동개발

[부산·울산·경남]	[/SS+부산/NNP+·/SP+울산/NNP+·/SP+경남/NNP+]/SS
창원	창원/NNP
공영자전거	공영/NNG+자전거/NNG
'누비자'	'/SS+누비자/NNP+'/SS
명품화;안전·편의성	명품/NNG+화/XSN+;/SP+안전/NNG+·/SP+편의/NNG+성/XSN
획기적	획기적/NNG
개선…	개선/NNG+…/SE
삼천리자전거와	삼천리자전거/NNP+와/JKB
공동개발	공동/NNG+개발/NNG


# id : NWRW1800000026.251.2.1
경남 창원시의 공영 자전거인 '누비자'가 업그레이드됐다.

경남	경남/NNP
창원시의	창원시/NNP+의/JKG
공영	공영/NNG
자전거인	자전거/NNG+이/VCP+ㄴ/ETM
'누비자'가	'/SS+누비자/NNP+'/SS+가/JKS
업그레이드됐다.	업그레이드/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.251.3.1
창원시는 기존 누비자의 단점을 보완, 내구성·안전성·편의성 등을 획기적으로 개선한 '명품 누비자'를 이달 말 보급한다고 26일 밝혔다.

창원시는	창원시/NNP+는/JX
기존	기존/NNG
누비자의	누비자/NNP+의/JKG
단점을	단점/NNG+을/JKO
보완,	보완/NNG+,/SP
내구성·안전성·편의성	내구/NNG+성/XSN+·/SP+안전/NNG+성/XSN+·/SP+편의/NNG+성/XSN
등을	등/NNB+을/JKO
획기적으로	획기적/NNG+으로/JKB
개선한	개선/NNG+하/XSV+ㄴ/ETM
'명품	'/SS+명품/NNG
누비자'를	누비자/NNP+'/SS+를/JKO
이달	이달/NNG
말	말/NNB
보급한다고	보급/NNG+하/XSV+ㄴ다고/EC
26일	26/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.251.3.2
삼천리자전거와 공동 개발한 '명품 누비자'는 내구성 강화를 위해 프레임을 고급 알루미늄 합금 소재로 제작했고, 프레임 직경을 기존 55㎜에서 57㎜로 키웠다.

삼천리자전거와	삼천리자전거/NNP+와/JKB
공동	공동/NNG
개발한	개발/NNG+하/XSV+ㄴ/ETM
'명품	'/SS+명품/NNG
누비자'는	누비자/NNP+'/SS+는/JX
내구성	내구/NNG+성/XSN
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
프레임을	프레임/NNG+을/JKO
고급	고급/NNG
알루미늄	알루미늄/NNG
합금	합금/NNG
소재로	소재/NNG+로/JKB
제작했고,	제작/NNG+하/XSV+았/EP+고/EC+,/SP
프레임	프레임/NNG
직경을	직경/NNG+을/JKO
기존	기존/NNG
55㎜에서	55/SN+㎜/SW+에서/JKB
57㎜로	57/SN+㎜/SW+로/JKB
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.251.4.1
또 펑크 방지를 위해 전기자전거용 광폭 타이어를 장착했으며, 알루미늄 페달을 달아 미끄럼 방지 기능을 강화했다.

또	또/MAG
펑크	펑크/NNG
방지를	방지/NNG+를/JKO
위해	위하/VV+아/EC
전기자전거용	전기/NNG+자전거/NNG+용/XSN
광폭	광폭/NNG
타이어를	타이어/NNG+를/JKO
장착했으며,	장착/NNG+하/XSV+았/EP+으며/EC+,/SP
알루미늄	알루미늄/NNG
페달을	페달/NNG+을/JKO
달아	달/VV+아/EC
미끄럼	미끄럼/NNG
방지	방지/NNG
기능을	기능/NNG+을/JKO
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.251.4.2
야간 전방 시야 확보를 위해 일반형 전조등을 LED 듀얼 전조등으로 교체했고, LED 후미 점멸등을 부착, 야간 안전성도 크게 높였다.

야간	야간/NNG
전방	전방/NNG
시야	시야/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+아/EC
일반형	일반/NNG+형/XSN
전조등을	전조등/NNG+을/JKO
LED	LED/SL
듀얼	듀얼/NNG
전조등으로	전조등/NNG+으로/JKB
교체했고,	교체/NNG+하/XSV+았/EP+고/EC+,/SP
후미	후미/NNG
점멸등을	점멸등/NNG+을/JKO
부착,	부착/NNG+,/SP
안전성도	안전/NNG+성/XSN+도/JX
크게	크/VA+게/EC
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.251.4.3
후미 점멸등은 누비자 주행 시 자체 생산되는 전력을 이용하는 것으로, 국내 최초 개발한 것이다.

후미	후미/NNG
점멸등은	점멸등/NNG+은/JX
누비자	누비자/NNP
주행	주행/NNG
시	시/NNB
자체	자체/NNG
생산되는	생산/NNG+되/XSV+는/ETM
전력을	전력/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
국내	국내/NNG
최초	최초/NNG
개발한	개발/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.251.5.1
이 밖에 높낮이 조작이 용이하고 승차감이 향상된 기능성 안장으로 교체했고, 자전거를 세울 때 안정성 확보를 위해 유럽의 자전거에 부착된 더블 스탠드로 교체하는 등 새로운 기능들을 대폭 추가했다.

이	이/MMD
밖에	밖/NNG+에/JKB
높낮이	높낮이/NNG
조작이	조작/NNG+이/JKS
용이하고	용이하/VA+고/EC
승차감이	승차감/NNG+이/JKS
향상된	향상/NNG+되/XSV+ㄴ/ETM
기능성	기능/NNG+성/XSN
안장으로	안장/NNG+으로/JKB
교체했고,	교체/NNG+하/XSV+았/EP+고/EC+,/SP
자전거를	자전거/NNG+를/JKO
세울	세우/VV+ㄹ/ETM
때	때/NNG
안정성	안정/NNG+성/XSN
확보를	확보/NNG+를/JKO
위해	위하/VV+아/EC
유럽의	유럽/NNP+의/JKG
자전거에	자전거/NNG+에/JKB
부착된	부착/NNG+되/XSV+ㄴ/ETM
더블	더블/NNG
스탠드로	스탠드/NNG+로/JKB
교체하는	교체/NNG+하/XSV+는/ETM
등	등/NNB
새로운	새롭/VA+ㄴ/ETM
기능들을	기능/NNG+들/XSN+을/JKO
대폭	대폭/MAG
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.251.5.2
