# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.395
metadata : {}


# id : NWRW1800000033.395.1.1
[수도권]대법판결 앞둔 郭, 서울시 손잡고 ‘정책 대못박기’

[수도권]대법판결	[/SS+수도/NNG+권/XSN+]/SS+대법/NNG+판결/NNG
앞둔	앞두/VV+ㄴ/ETM
郭,	郭/SH+,/SP
서울시	서울시/NNP
손잡고	손잡/VV+고/EC
‘정책	‘/SS+정책/NNG
대못박기’	대/XPN+못/NNG+박/VV+기/ETN+’/SS


# id : NWRW1800000033.395.2.1
진보의제 담은 ‘서울교육공동선언’ 오늘 발표

진보의제	진보/NNG+의제/NNG
담은	담/VV+은/ETM
‘서울교육공동선언’	‘/SS+서울/NNP+교육/NNG+공동/NNG+선언/NNG+’/SS
오늘	오늘/MAG
발표	발표/NNG


# id : NWRW1800000033.395.3.1
교총 등 보수측 잇달아 불참 ‘반쪽 선언’ 그칠듯

교총	교총/NNP
등	등/NNB
보수측	보수/NNG+측/NNB
잇달아	잇달/VV+아/EC
불참	불참/NNG
‘반쪽	‘/SS+반쪽/NNG
선언’	선언/NNG+’/SS
그칠듯	그치/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000033.395.4.1
곽노현 서울시교육감이 박원순 서울시장, 허광태 서울시의회 의장과 공동으로 14일 선포하는 ‘서울교육희망공동선언’이 ‘그들만의 잔치’로 끝날 것으로 전망된다.

곽노현	곽노현/NNP
서울시교육감이	서울시/NNP+교육감/NNG+이/JKS
박원순	박원순/NNP
서울시장,	서울시장/NNG+,/SP
허광태	허광태/NNP
서울시의회	서울시의회/NNP
의장과	의장/NNG+과/JKB
공동으로	공동/NNG+으로/JKB
14일	14/SN+일/NNB
선포하는	선포/NNG+하/XSV+는/ETM
‘서울교육희망공동선언’이	‘/SS+서울/NNP+교육/NNG+희망/NNG+공동/NNG+선언/NNG+’/SS+이/JKS
‘그들만의	‘/SS+그/NP+들/XSN+만/JX+의/JKG
잔치’로	잔치/NNG+’/SS+로/JKB
끝날	끝나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.395.5.1
13일 시교육청에 따르면 이 선언은 서울교육이 나갈 방향을 결의하고 시민에게 공개 약속을 한다는 취지로 마련했다.

13일	13/SN+일/NNB
시교육청에	시/NNG+교육청/NNG+에/JKB
따르면	따르/VV+면/EC
이	이/MMD
선언은	선언/NNG+은/JX
서울교육이	서울/NNP+교육/NNG+이/JKS
나갈	나가/VV+ㄹ/ETM
방향을	방향/NNG+을/JKO
결의하고	결의/NNG+하/XSV+고/EC
시민에게	시민/NNG+에게/JKB
공개	공개/NNG
약속을	약속/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
취지로	취지/NNG+로/JKB
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.395.5.2
그러나 한국교원단체총연합회 서울지부, 일부 구청과 교육의원은 시교육청이 진보성향 인사들과만 논의했다며 불참을 선언해 결국 반쪽짜리 선언에 그칠 것으로 보인다.

그러나	그러나/MAJ
한국교원단체총연합회	한국교원단체총연합회/NNP
서울지부,	서울/NNP+지부/NNG+,/SP
일부	일부/NNG
구청과	구청/NNG+과/JC
교육의원은	교육/NNG+의원/NNG+은/JX
시교육청이	시/NNG+교육청/NNG+이/JKS
진보성향	진보/NNG+성향/NNG
