# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.81
metadata : {}


# id : NWRW1800000024.81.1.1
“사퇴없다” 오자와 정면돌파 승부수

“사퇴없다”	“/SS+사퇴/NNG+없/VA+다/EF+”/SS
오자와	오자와/NNP
정면돌파	정면/NNG+돌파/NNG
승부수	승부수/NNG


# id : NWRW1800000024.81.2.1
일본의 차기 총리를 향해 순항하던 오자와 이치로 민주당 대표가 검찰의 정치자금 수사로 최대의 정치적 위기를 맞자, 검찰 수사에 정면대결을 선언했다.

일본의	일본/NNP+의/JKG
차기	차기/NNG
총리를	총리/NNG+를/JKO
향해	향하/VV+아/EC
순항하던	순항/NNG+하/XSV+던/ETM
오자와	오자와/NNP
이치로	이치로/NNP
민주당	민주당/NNP
대표가	대표/NNG+가/JKS
검찰의	검찰/NNG+의/JKG
정치자금	정치/NNG+자금/NNG
수사로	수사/NNG+로/JKB
최대의	최대/NNG+의/JKG
정치적	정치/NNG+적/XSN
위기를	위기/NNG+를/JKO
맞자,	맞/VV+자/EC+,/SP
검찰	검찰/NNG
수사에	수사/NNG+에/JKB
정면대결을	정면/NNG+대결/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.81.2.2
그러나 검찰은 오자와 쪽이 먼저 정치자금을 요구했다고 밝혀, 검찰의 수사 진전에 따라 일본 정치판을 흔들 수 있는 폭탄으로 발전할 가능성이 커지고 있다.

그러나	그러나/MAJ
검찰은	검찰/NNG+은/JX
오자와	오자와/NNP
쪽이	쪽/NNB+이/JKS
먼저	먼저/MAG
정치자금을	정치/NNG+자금/NNG+을/JKO
요구했다고	요구/NNG+하/XSV+았/EP+다고/EC
밝혀,	밝히/VV+어/EC+,/SP
검찰의	검찰/NNG+의/JKG
수사	수사/NNG
진전에	진전/NNG+에/JKB
따라	따르/VV+아/EC
일본	일본/NNP
정치판을	정치판/NNG+을/JKO
흔들	흔들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
폭탄으로	폭탄/NNG+으로/JKB
발전할	발전/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.81.3.1
■ “나는 깨끗”=오자와 대표는 4일 기자회견에서 정치자금 불법 수수혐의에 대해 “어떤 것도 꺼릴 게 없다”며 “비서의 행위는 적법하다”고 말했다.

■	■/SW
“나는	“/SS+나/NP+는/JX
깨끗”=오자와	깨끗/XR+”/SS+=/SW+오자와/NNP
대표는	대표/NNG+는/JX
4일	4/SN+일/NNB
기자회견에서	기자/NNG+회견/NNG+에서/JKB
정치자금	정치/NNG+자금/NNG
불법	불법/NNG
수수혐의에	수수/NNG+혐의/NNG+에/JKB
대해	대하/VV+아/EC
“어떤	“/SS+어떤/MMD
것도	것/NNB+도/JX
꺼릴	꺼리/VV+ㄹ/ETM
게	거/NNB+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“비서의	“/SS+비서/NNG+의/JKG
행위는	행위/NNG+는/JX
적법하다”고	적법/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.81.3.2
대표직을 사퇴할 뜻이 없고, 사과할 일이 없음을 분명히 한 것이다.

대표직을	대표직/NNG+을/JKO
사퇴할	사퇴/NNG+하/XSV+ㄹ/ETM
뜻이	뜻/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
사과할	사과/NNG+하/XSV+ㄹ/ETM
일이	일/NNG+이/JKS
없음을	없/VA+음/ETN+을/JKO
분명히	분명히/MAG
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.81.4.1
그는 “중의원선거가 거론되는 시기에 이례적인 수사가 이뤄진 것은 정치적으로나 법률적으로나 불공정한 국가권력, 검찰권력의 행사”라며, 검찰 수사는 정치공작이라고 주장했다.

그는	그/NP+는/JX
“중의원선거가	“/SS+중의원/NNG+선거/NNG+가/JKS
거론되는	거론/NNG+되/XSV+는/ETM
시기에	시기/NNG+에/JKB
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
수사가	수사/NNG+가/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
것은	것/NNB+은/JX
정치적으로나	정치/NNG+적/XSN+으로/JKB+나/JX
법률적으로나	법률/NNG+적/XSN+으로/JKB+나/JX
불공정한	불/XPN+공정/NNG+하/XSA+ㄴ/ETM
국가권력,	국가/NNG+권력/NNG+,/SP
검찰권력의	검찰/NNG+권력/NNG+의/JKG
행사”라며,	행사/NNG+”/SS+이/VCP+라며/EC+,/SP
검찰	검찰/NNG
수사는	수사/NNG+는/JX
정치공작이라고	정치/NNG+공작/NNG+이/VCP+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.81.4.2
오자와 대표는 “이런 수사가 이뤄진다면 국민의 인권을 지킬 수 없다”며 “민주주의를 위태롭게 한다”고 덧붙였다.

오자와	오자와/NNP
대표는	대표/NNG+는/JX
“이런	“/SS+이런/MMD
수사가	수사/NNG+가/JKS
이뤄진다면	이뤄지/VV+ㄴ다면/EC
국민의	국민/NNG+의/JKG
인권을	인권/NNG+을/JKO
지킬	지키/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“민주주의를	“/SS+민주주의/NNG+를/JKO
위태롭게	위태롭/VA+게/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.81.4.3
민주당도 앞서 당간부회의를 열어 “오자와 대표는 잘못한 것이 없으며, 책임질 필요가 없다”는 데 의견의 일치를 봤다.

민주당도	민주당/NNP+도/JX
앞서	앞서/MAG
당간부회의를	당/NNG+간부/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
“오자와	“/SS+오자와/NNP
대표는	대표/NNG+는/JX
잘못한	잘못/MAG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
