# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.113
metadata : {}


# id : NWRW1800000029.113.1.1
“할인매장 카트 방향 틀땐 한손 놓으세요”

“할인매장	“/SS+할인/NNG+매장/NNG
카트	카트/NNG
방향	방향/NNG
틀땐	틀/VV+ㄹ/ETM+때/NNG+ㄴ/JX
한손	한/MMN+손/NNG
놓으세요”	놓/VV+으시/EP+어요/EF+”/SS


# id : NWRW1800000029.113.2.1
카트, 90도 회전하기 힘들어 무리하게 힘주면 무릎 부상

카트,	카트/NNG+,/SP
90도	90/SN+도/NNB
회전하기	회전/NNG+하/XSV+기/ETN
힘들어	힘들/VA+어/EC
무리하게	무리/NNG+하/XSA+게/EC
힘주면	힘주/VV+면/EC
무릎	무릎/NNG
부상	부상/NNG


# id : NWRW1800000029.113.3.1
여름이 성큼 다가오면서 대형 할인마트를 찾아 생활용품이나 바캉스용품을 구입하는 사람이 늘고 있다.

여름이	여름/NNG+이/JKS
성큼	성큼/MAG
다가오면서	다가오/VV+면서/EC
대형	대형/NNG
할인마트를	할인/NNG+마트/NNG+를/JKO
찾아	찾/VV+아/EC
생활용품이나	생활용품/NNG+이나/JC
바캉스용품을	바캉스용품/NNG+을/JKO
구입하는	구입/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.113.4.1
이처럼 물건을 살 때는 카트를 자주 이용한다.

이처럼	이/NP+처럼/JKB
물건을	물건/NNG+을/JKO
살	사/VV+ㄹ/ETM
때는	때/NNG+는/JX
카트를	카트/NNG+를/JKO
자주	자주/MAG
이용한다.	이용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.113.4.2
카트는 아무리 많은 물건이라도 꽉 채워서 원하는 지점까지 편하게 옮기도록 해준다.

카트는	카트/NNG+는/JX
아무리	아무리/MAG
많은	많/VA+은/ETM
물건이라도	물건/NNG+이/VCP+라도/EC
꽉	꽉/MAG
채워서	채우/VV+어서/EC
원하는	원/NNG+하/XSV+는/ETM
지점까지	지점/NNG+까지/JX
편하게	편하/VA+게/EC
옮기도록	옮기/VV+도록/EC
해준다.	하/VX+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.113.4.3
그러나 별것 아니라고 생각할 수 있는 카트를 잘못 이용하면 무릎을 다칠 수 있다.

그러나	그러나/MAJ
별것	별것/NNG
아니라고	아니/VCN+라고/EC
생각할	생각/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
카트를	카트/NNG+를/JKO
잘못	잘못/MAG
이용하면	이용/NNG+하/XSV+면/EC
무릎을	무릎/NNG+을/JKO
다칠	다치/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.113.5.1
문제는 주로 방향을 바꿀 때 생긴다.

문제는	문제/NNG+는/JX
주로	주로/MAG
방향을	방향/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
때	때/NNG
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.113.5.2
카트를 미는 사람은 몸의 방향을 갑자기 90도로 바꾸지 못하고 회전하는 카트의 긴 궤적을 따라간다.

카트를	카트/NNG+를/JKO
미는	밀/VV+는/ETM
사람은	사람/NNG+은/JX
몸의	몸/NNG+의/JKG
방향을	방향/NNG+을/JKO
갑자기	갑자기/MAG
90도로	90/SN+도/NNB+로/JKB
바꾸지	바꾸/VV+지/EC
못하고	못하/VX+고/EC
회전하는	회전/NNG+하/XSV+는/ETM
카트의	카트/NNG+의/JKG
긴	길/VA+ㄴ/ETM
궤적을	궤적/NNG+을/JKO
따라간다.	따라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.113.6.1
무릎이 카트의 어정쩡한 각도와 방향을 맞추는 과정에서 대퇴부와 정강이가 꼬인다.

무릎이	무릎/NNG+이/JKS
카트의	카트/NNG+의/JKG
어정쩡한	어정쩡/MAG+하/XSA+ㄴ/ETM
각도와	각도/NNG+와/JC
방향을	방향/NNG+을/JKO
맞추는	맞추/VV+는/ETM
과정에서	과정/NNG+에서/JKB
대퇴부와	대퇴부/NNG+와/JC
정강이가	정강이/NNG+가/JKS
꼬인다.	꼬이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.113.6.2
뼈와 뼈가 맞닿는 부위가 서로 다른 방향으로 비틀어지는 셈이다.

뼈와	뼈/NNG+와/JC
뼈가	뼈/NNG+가/JKS
맞닿는	맞닿/VV+는/ETM
부위가	부위/NNG+가/JKS
서로	서로/MAG
다른	다른/MMD
방향으로	방향/NNG+으로/JKB
비틀어지는	비틀어지/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.113.7.1
발과 다리의 힘을 분배하는 무릎 관절은 방향을 바꾸기 위해 갑자기 정지하는 상황이 반복될 때 큰 부담을 받는다.

발과	발/NNG+과/JC
다리의	다리/NNG+의/JKG
힘을	힘/NNG+을/JKO
분배하는	분배/NNG+하/XSV+는/ETM
무릎	무릎/NNG
관절은	관절/NNG+은/JX
방향을	방향/NNG+을/JKO
바꾸기	바꾸/VV+기/ETN
위해	위하/VV+아/EC
갑자기	갑자기/MAG
정지하는	정지/NNG+하/XSV+는/ETM
상황이	상황/NNG+이/JKS
반복될	반복/NNG+되/XSV+ㄹ/ETM
때	때/NNG
큰	크/VA+ㄴ/ETM
부담을	부담/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000029.113.8.1
여기에 카트에 담긴 물건의 무게까지 동시에 이겨내야 하는 상황이 되므로 무릎관절에는 최악인 상태가 된다.

여기에	여기/NP+에/JKB
카트에	카트/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
물건의	물건/NNG+의/JKG
무게까지	무게/NNG+까지/JX
동시에	동시/NNG+에/JKB
이겨내야	이기/VV+어/EC+내/VX+어야/EC
하는	하/VX+는/ETM
상황이	상황/NNG+이/JKC
되므로	되/VV+므로/EC
무릎관절에는	무릎/NNG+관절/NNG+에/JKB+는/JX
최악인	최악/NNG+이/VCP+ㄴ/ETM
상태가	상태/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.113.9.1
실제로 바른세상병원이 무릎관절에 손상이 있는 환자 중 100명을 대상으로 설문조사를 했더니 73%가 마트의 카트를 이용할 때 무릎 통증을 느낀 것으로 조사됐다.

실제로	실제로/MAG
바른세상병원이	바른세상병원/NNP+이/JKS
무릎관절에	무릎/NNG+관절/NNG+에/JKB
손상이	손상/NNG+이/JKS
있는	있/VA+는/ETM
환자	환자/NNG
중	중/NNB
100명을	100/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
설문조사를	설문/NNG+조사/NNG+를/JKO
했더니	하/VV+았/EP+더니/EC
73%가	73/SN+%/SW+가/JKS
마트의	마트/NNG+의/JKG
카트를	카트/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
때	때/NNG
무릎	무릎/NNG
통증을	통증/NNG+을/JKO
느낀	느끼/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.113.10.1
무릎관절이 꼬인 채 힘이 가중되면 주위 인대가 늘어나거나 손상이 생긴다.

무릎관절이	무릎/NNG+관절/NNG+이/JKS
꼬인	꼬이/VV+ㄴ/ETM
채	채/NNB
힘이	힘/NNG+이/JKS
가중되면	가중/NNG+되/XSV+면/EC
주위	주위/NNG
인대가	인대/NNG+가/JKS
늘어나거나	늘어나/VV+거나/EC
손상이	손상/NNG+이/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.113.10.2
인대가 손상되면 관절을 지지하는 힘이 약해지고 연골과 연골판 손상으로 이어진다.

인대가	인대/NNG+가/JKS
손상되면	손상/NNG+되/XSV+면/EC
관절을	관절/NNG+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
힘이	힘/NNG+이/JKS
약해지고	약하/VA+아/EC+지/VX+고/EC
연골과	연골/NNG+과/JC
연골판	연골판/NNG
손상으로	손상/NNG+으로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.113.10.3
무릎 관절염으로 진행될 가능성도 덩달아 커진다.

무릎	무릎/NNG
관절염으로	관절염/NNG+으로/JKB
진행될	진행/NNG+되/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
덩달아	덩달/VV+아/EC
커진다.	커지/VV+ㄴ다/EF+./SF


