# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.412
metadata : {}


# id : NWRW1800000040.412.1.1
야 “대화록 정쟁 종결하자는 취지” 여 “뻔뻔스러워…정치적 책임져야”

야	야/NNG
“대화록	“/SS+대화록/NNG
정쟁	정쟁/NNG
종결하자는	종결/NNG+하/XSV+자는/ETM
취지”	취지/NNG+”/SS
여	여/NNG
“뻔뻔스러워…정치적	“/SS+뻔뻔스럽/VA+어/EF+…/SE+정치/NNG+적/XSN
책임져야”	책임지/VV+어야/EC+”/SS


# id : NWRW1800000040.412.2.1
문재인 민주당 의원이 10일 2007년 남북정상회담 대화록의 행방을 수사하는 검찰을 향해 ‘정치를 하지 말고 수사를 하라’고 한 데 대해 여야의 반응은 엇갈렸다.

문재인	문재인/NNP
민주당	민주당/NNP
의원이	의원/NNG+이/JKS
10일	10/SN+일/NNB
2007년	2007/SN+년/NNB
남북정상회담	남북/NNP+정상/NNG+회담/NNG
대화록의	대화록/NNG+의/JKG
행방을	행방/NNG+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
검찰을	검찰/NNG+을/JKO
향해	향하/VV+아/EC
‘정치를	‘/SS+정치/NNG+를/JKO
하지	하/VV+지/EC
말고	말/VX+고/EC
수사를	수사/NNG+를/JKO
하라’고	하/VV+라/EF+’/SS+고/JKQ
한	하/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
여야의	여야/NNG+의/JKG
반응은	반응/NNG+은/JX
엇갈렸다.	엇갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.412.2.2
민주당은 엄정중립 수사를 통해 대화록을 둘러싼 소모적 정쟁을 중단하자는 뜻이라고 문 의원의 발언을 감싼 반면, 새누리당은 문 의원이 “뻔뻔스럽다”며 ‘사초 실종’에 대해 책임지는 자세를 보이라고 공세를 폈다.

민주당은	민주당/NNP+은/JX
엄정중립	엄정/NNG+중립/NNG
수사를	수사/NNG+를/JKO
통해	통하/VV+아/EC
대화록을	대화록/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
소모적	소모/NNG+적/XSN
정쟁을	정쟁/NNG+을/JKO
중단하자는	중단/NNG+하/XSV+자는/ETM
뜻이라고	뜻/NNG+이/VCP+라고/EC
문	문/NNP
의원의	의원/NNG+의/JKG
발언을	발언/NNG+을/JKO
감싼	감싸/VV+ㄴ/ETM
반면,	반면/NNG+,/SP
새누리당은	새누리당/NNP+은/JX
의원이	의원/NNG+이/JKS
“뻔뻔스럽다”며	“/SS+뻔뻔스럽/VA+다/EF+”/SS+며/EC
‘사초	‘/SS+사초/NNG
실종’에	실종/NNG+’/SS+에/JKB
대해	대하/VV+아/EC
책임지는	책임지/VV+는/ETM
자세를	자세/NNG+를/JKO
보이라고	보이/VV+라고/EC
공세를	공세/NNG+를/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.412.3.1
전병헌 민주당 원내대표는 <한겨레>와 한 통화에서 “문 의원의 발언은 검찰이 정치검찰이 되지 말고 수사를 똑바로 해서, 대화록 정쟁이 종결의 수순으로 갈 수 있게 해야 한다는 것”이라고 말했다.

전병헌	전병헌/NNP
민주당	민주당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
통화에서	통화/NNG+에서/JKB
“문	“/SS+문/NNP
의원의	의원/NNG+의/JKG
발언은	발언/NNG+은/JX
검찰이	검찰/NNG+이/JKS
정치검찰이	정치/NNG+검찰/NNG+이/JKC
되지	되/VV+지/EC
말고	말/VX+고/EC
수사를	수사/NNG+를/JKO
똑바로	똑바로/MAG
해서,	하/VV+아서/EC+,/SP
대화록	대화록/NNG
정쟁이	정쟁/NNG+이/JKS
종결의	종결/NNG+의/JKG
수순으로	수순/NNG+으로/JKB
갈	가/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해야	하/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.412.3.2
