# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.395
metadata : {}


# id : NWRW1800000037.395.1.1
[수도권]“초교 앞에 빗물펌프장…” 대치동 시끌

[수도권]“초교	[/SS+수도/NNG+권/XSN+]/SS+“/SS+초교/NNG
앞에	앞/NNG+에/JKB
빗물펌프장…”	빗물/NNG+펌프장/NNG+…/SE+”/SS
대치동	대치동/NNP
시끌	시끌/XR


# id : NWRW1800000037.395.2.1
서울시, 대치초교 맞은편 양재천변에 설치 결정… 학부모들 격렬 반발

서울시,	서울시/NNP+,/SP
대치초교	대치초교/NNP
맞은편	맞은편/NNG
양재천변에	양재천/NNP+변/NNG+에/JKB
설치	설치/NNG
결정…	결정/NNG+…/SE
학부모들	학부모/NNG+들/XSN
격렬	격렬/XR
반발	반발/NNG


# id : NWRW1800000037.395.3.1
“초등학교 바로 앞에 빗물펌프장을 짓겠다니요.”(학부모)

“초등학교	“/SS+초등학교/NNG
바로	바로/MAG
앞에	앞/NNG+에/JKB
빗물펌프장을	빗물/NNG+펌프장/NNG+을/JKO
짓겠다니요.”(학부모)	짓/VV+겠/EP+다니/EF+요/JX+./SF+”/SS+(/SS+학부모/NNG+)/SS


# id : NWRW1800000037.395.4.1
“학교 앞이라도 꼭 필요한 시설을 지어야 합니다.”(서울시)

“학교	“/SS+학교/NNG
앞이라도	앞/NNG+이/VCP+라도/EC
꼭	꼭/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
시설을	시설/NNG+을/JKO
지어야	짓/VV+어야/EC
합니다.”(서울시)	하/VX+ㅂ니다/EF+./SF+”/SS+(/SS+서울시/NNP+)/SS


# id : NWRW1800000037.395.5.1
‘사교육 일번지’인 서울 강남구 대치동이 요즘 시끄럽다.

‘사교육	‘/SS+사교육/NNG
일번지’인	일번지/NNG+’/SS+이/VCP+ㄴ/ETM
서울	서울/NNP
강남구	강남구/NNP
대치동이	대치동/NNP+이/JKS
요즘	요즘/NNG
시끄럽다.	시끄럽/VA+다/EF+./SF


# id : NWRW1800000037.395.5.2
서울시와 강남구가 대치초등학교 맞은편 양재천변에 빗물펌프장을 짓겠다고 하자 학부모와 주민들이 반발하고 있다.

서울시와	서울시/NNP+와/JC
강남구가	강남구/NNP+가/JKS
대치초등학교	대치초등학교/NNP
맞은편	맞은편/NNG
양재천변에	양재천/NNP+변/NNG+에/JKB
빗물펌프장을	빗물/NNG+펌프장/NNG+을/JKO
짓겠다고	짓/VV+겠/EP+다고/EC
하자	하/VV+자/EC
학부모와	학부모/NNG+와/JC
주민들이	주민/NNG+들/XSN+이/JKS
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.395.5.3
이 때문에 올 상반기 착공해 내년 여름 무렵에 완공하려고 했던 빗물펌프장 건설은 계속 표류하고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
올	올/NNG
상반기	상반기/NNG
착공해	착공/NNG+하/XSV+아/EC
내년	내년/NNG
여름	여름/NNG
무렵에	무렵/NNB+에/JKB
완공하려고	완공/NNG+하/XSV+려고/EC
했던	하/VX+았/EP+던/ETM
빗물펌프장	빗물/NNG+펌프장/NNG
건설은	건설/NNG+은/JX
계속	계속/MAG
표류하고	표류/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.395.6.1
빗물펌프장 건설은 2011년 7월 수십 년 만의 폭우로 대치역 사거리 인근 상가와 아파트 일부가 물에 잠겨 환경미화원이 익사하고 수백억 원의 재산 피해가 발생하자 검토되기 시작했다.

빗물펌프장	빗물/NNG+펌프장/NNG
건설은	건설/NNG+은/JX
2011년	2011/SN+년/NNB
7월	7/SN+월/NNB
수십	수십/NR
년	년/NNB
만의	만/NNB+의/JKG
폭우로	폭우/NNG+로/JKB
대치역	대치역/NNP
사거리	사거리/NNG
인근	인근/NNG
상가와	상가/NNG+와/JC
아파트	아파트/NNG
일부가	일부/NNG+가/JKS
물에	물/NNG+에/JKB
잠겨	잠기/VV+어/EC
환경미화원이	환경미화원/NNG+이/JKS
익사하고	익사/NNG+하/XSV+고/EC
수백억	수백억/NR
원의	원/NNB+의/JKG
재산	재산/NNG
피해가	피해/NNG+가/JKS
발생하자	발생/NNG+하/XSV+자/EC
검토되기	검토/NNG+되/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.395.6.2
이 지역은 과거에도 장마철마다 크고 작은 침수 피해를 겪곤 했다.

이	이/MMD
지역은	지역/NNG+은/JX
과거에도	과거/NNG+에/JKB+도/JX
장마철마다	장마철/NNG+마다/JX
크고	크/VA+고/EC
작은	작/VA+은/ETM
침수	침수/NNG
피해를	피해/NNG+를/JKO
겪곤	겪/VV+곤/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.395.6.3
서울시는 강남구의 요청에 따라 빗물펌프장을 추가로 건설하기로 하고 지난해부터 설계용역에 들어갔다.

서울시는	서울시/NNP+는/JX
강남구의	강남구/NNP+의/JKG
요청에	요청/NNG+에/JKB
따라	따르/VV+아/EC
빗물펌프장을	빗물/NNG+펌프장/NNG+을/JKO
추가로	추가/NNG+로/JKB
건설하기로	건설/NNG+하/XSV+기/ETN+로/JKB
하고	하/VV+고/EC
지난해부터	지난해/NNG+부터/JX
설계용역에	설계/NNG+용역/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.395.7.1
시는 올해 4월 대치초교 담장에서 10m 떨어진 양재천변을 최종 후보지로 결정했다.

시는	시/NNG+는/JX
올해	올해/NNG
4월	4/SN+월/NNB
대치초교	대치초교/NNP
담장에서	담장/NNG+에서/JKB
10m	10/SN+m/SW
떨어진	떨어지/VV+ㄴ/ETM
양재천변을	양재천/NNP+변/NNG+을/JKO
최종	최종/NNG
후보지로	후보지/NNG+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.395.7.2
학부모들은 아이들의 안전 문제를 들어 반대에 나섰다.

학부모들은	학부모/NNG+들/XSN+은/JX
아이들의	아이/NNG+들/XSN+의/JKG
안전	안전/NNG
문제를	문제/NNG+를/JKO
들어	들/VV+어/EC
반대에	반대/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.395.7.3
학교 앞 유일한 통학로인 편도 1차로 도로와 정문, 후문 앞에 물길을 내기 위해 땅을 10m 깊이에 200m 길이로 파야 하기 때문.

학교	학교/NNG
앞	앞/NNG
유일한	유일/NNG+하/XSA+ㄴ/ETM
통학로인	통학로/NNG+이/VCP+ㄴ/ETM
편도	편도/NNG
1차로	1/SN+차로/NNG
도로와	도로/NNG+와/JC
정문,	정문/NNG+,/SP
후문	후문/NNG
앞에	앞/NNG+에/JKB
물길을	물길/NNG+을/JKO
내기	내/VV+기/ETN
위해	위하/VV+아/EC
땅을	땅/NNG+을/JKO
10m	10/SN+m/SW
깊이에	깊이/NNG+에/JKB
200m	200/SN+m/SW
길이로	길이/NNG+로/JKB
파야	파/VV+아야/EC
하기	하/VX+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000037.395.7.4
학교 주변이 1년 반 남짓 공사장으로 변할 수밖에 없다.

학교	학교/NNG
주변이	주변/NNG+이/JKS
1년	1/SN+년/NNB
반	반/NNG
남짓	남짓/NNB
공사장으로	공사장/NNG+으로/JKB
변할	변하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.395.8.1
5일 오후 대치초교 정문 앞은 수업을 마친 학생들로 붐볐다.

5일	5/SN+일/NNB
오후	오후/NNG
대치초교	대치초교/NNP
정문	정문/NNG
앞은	앞/NNG+은/JX
수업을	수업/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
학생들로	학생/NNG+들/XSN+로/JKB
붐볐다.	붐비/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.395.8.2
학생들은 폭 1m 정도의 좁은 인도에서 장난치며 뛰어다니고 있었다.

학생들은	학생/NNG+들/XSN+은/JX
폭	폭/NNG
1m	1/SN+m/SW
정도의	정도/NNG+의/JKG
좁은	좁/VA+은/ETM
인도에서	인도/NNG+에서/JKB
장난치며	장난치/VV+며/EC
뛰어다니고	뛰어다니/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.395.8.3
학부모회장 이인영 씨(42·여)는 “가뜩이나 통학로가 좁은데 공사까지 하면 아이들의 안전을 어떻게 보장할 수 있겠느냐”며 “4월 강북구 송중동에서 초등학생 남매가 8m 깊이의 빗물펌프장에 빠진 사고에서 보듯 위험한 시설물을 왜 초등학교 앞에 설치하려고 하는지 모르겠다”고 말했다.

학부모회장	학부모회장/NNG
이인영	이인영/NNP
씨(42·여)는	씨/NNB+(/SS+42/SN+·/SP+여/NNG+)/SS+는/JX
“가뜩이나	“/SS+가뜩이나/MAG
통학로가	통학로/NNG+가/JKS
좁은데	좁/VA+은데/EC
공사까지	공사/NNG+까지/JX
하면	하/VV+면/EC
아이들의	아이/NNG+들/XSN+의/JKG
안전을	안전/NNG+을/JKO
어떻게	어떻/VA+게/EC
보장할	보장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있겠느냐”며	있/VA+겠/EP+느냐/EF+”/SS+며/EC
“4월	“/SS+4/SN+월/NNB
강북구	강북구/NNP
송중동에서	송중동/NNP+에서/JKB
초등학생	초등학생/NNG
남매가	남매/NNG+가/JKS
8m	8/SN+m/SW
깊이의	깊이/NNG+의/JKG
빗물펌프장에	빗물/NNG+펌프장/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
사고에서	사고/NNG+에서/JKB
보듯	보/VV+듯/EC
위험한	위험/NNG+하/XSA+ㄴ/ETM
시설물을	시설물/NNG+을/JKO
왜	왜/MAG
초등학교	초등학교/NNG
앞에	앞/NNG+에/JKB
설치하려고	설치/NNG+하/XSV+려고/EC
하는지	하/VX+는지/EC
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.395.9.1
대치초교 학부모와 주민들도 빗물펌프장이 필요하다는 데는 동의하지만 시와 구가 용지 선정을 놓고 그동안 갈팡질팡해 온 점에 더욱 반발하고 있다.

대치초교	대치초교/NNP
학부모와	학부모/NNG+와/JC
주민들도	주민/NNG+들/XSN+도/JX
빗물펌프장이	빗물/NNG+펌프장/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
데는	데/NNB+는/JX
동의하지만	동의/NNG+하/XSV+지만/EC
시와	시/NNG+와/JC
구가	구/NNG+가/JKS
용지	용지/NNG
선정을	선정/NNG+을/JKO
놓고	놓/VV+고/EC
그동안	그동안/NNG
갈팡질팡해	갈팡질팡/MAG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
점에	점/NNG+에/JKB
더욱	더욱/MAG
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.395.10.1
강남구는 지난해 대청중학교 옆 개포5근린공원, 영동6교 서울무역전시컨벤션센터(SETEC) 터 등을 유력 후보지로 내세웠고, 개포5근린공원 땅에 짓겠다고 재무공고를 내기도 했다.

강남구는	강남구/NNP+는/JX
지난해	지난해/NNG
대청중학교	대청중학교/NNP
옆	옆/NNG
개포5근린공원,	개포5근린공원/NNP+,/SP
영동6교	영동6교/NNP
서울무역전시컨벤션센터(SETEC)	서울무역전시컨벤션센터/NNP+(/SS+SETEC/SL+)/SS
터	터/NNG
등을	등/NNB+을/JKO
유력	유력/NNG
후보지로	후보지/NNG+로/JKB
내세웠고,	내세우/VV+었/EP+고/EC+,/SP
개포5근린공원	개포5근린공원/NNP
땅에	땅/NNG+에/JKB
짓겠다고	짓/VV+겠/EP+다고/EC
재무공고를	재무/NNG+공고/NNG+를/JKO
내기도	내/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.395.11.1
하지만 4월 서울시 용역 결과에서 갑자기 대치초교가 등장했다.

하지만	하지만/MAJ
4월	4/SN+월/NNB
서울시	서울시/NNP
용역	용역/NNG
결과에서	결과/NNG+에서/JKB
갑자기	갑자기/MAG
대치초교가	대치초교/NNP+가/JKS
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.395.11.2
용역보고서 내용도 논란을 키웠다.

용역보고서	용역/NNG+보고서/NNG
내용도	내용/NNG+도/JX
논란을	논란/NNG+을/JKO
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.395.11.3
다른 후보지에 대해 ‘주변 주민의 극심한 민원 발생’을 우려한 반면, 대치초교 앞은 ‘학교 앞 설치로 상대적으로 민원 발생이 적음’이라는 내용이 담긴 것.

다른	다른/MMD
후보지에	후보지/NNG+에/JKB
대해	대하/VV+아/EC
‘주변	‘/SS+주변/NNG
주민의	주민/NNG+의/JKG
극심한	극심하/VA+ㄴ/ETM
민원	민원/NNG
발생’을	발생/NNG+’/SS+을/JKO
우려한	우려/NNG+하/XSV+ㄴ/ETM
반면,	반면/NNG+,/SP
대치초교	대치초교/NNP
앞은	앞/NNG+은/JX
‘학교	‘/SS+학교/NNG
앞	앞/NNG
설치로	설치/NNG+로/JKB
상대적으로	상대/NNG+적/XSN+으로/JKB
발생이	발생/NNG+이/JKS
적음’이라는	적/VA+음/ETN+’/SS+이/VCP+라는/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.395.11.4
학부모들은 “타워팰리스 등 다른 후보지 주민들이 반발하자 만만한 초등학교 앞으로 떠넘긴 것”이라고 입을 모았다.

학부모들은	학부모/NNG+들/XSN+은/JX
“타워팰리스	“/SS+타워팰리스/NNP
등	등/NNB
다른	다른/MMD
후보지	후보지/NNG
주민들이	주민/NNG+들/XSN+이/JKS
반발하자	반발/NNG+하/XSV+자/EC
만만한	만만하/VA+ㄴ/ETM
초등학교	초등학교/NNG
앞으로	앞/NNG+으로/JKB
떠넘긴	떠넘기/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.395.12.1
이진용 시 하천관리과장은 “30년 빈도의 비가 오는 것으로 가정해 시뮬레이션을 한 결과 대치초교 앞을 제외한 다른 후보지에 펌프장을 설치하면 대치역 사거리에 침수가 발생하는 것으로 나왔다”며 “공사 중에 통행권 보장과 안전을 우선적으로 고려하겠다”고 말했다.

이진용	이진용/NNP
시	시/NNG
하천관리과장은	하천/NNG+관리과장/NNG+은/JX
“30년	“/SS+30/SN+년/NNB
빈도의	빈도/NNG+의/JKG
비가	비/NNG+가/JKS
오는	오/VV+는/ETM
것으로	것/NNB+으로/JKB
가정해	가정/NNG+하/XSV+아/EC
시뮬레이션을	시뮬레이션/NNG+을/JKO
한	하/VV+ㄴ/ETM
결과	결과/NNG
대치초교	대치초교/NNP
앞을	앞/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
후보지에	후보지/NNG+에/JKB
펌프장을	펌프장/NNG+을/JKO
설치하면	설치/NNG+하/XSV+면/EC
대치역	대치역/NNP
사거리에	사거리/NNG+에/JKB
침수가	침수/NNG+가/JKS
발생하는	발생/NNG+하/XSV+는/ETM
나왔다”며	나오/VV+았/EP+다/EF+”/SS+며/EC
“공사	“/SS+공사/NNG
중에	중/NNB+에/JKB
통행권	통행/NNG+권/XSN
보장과	보장/NNG+과/JC
안전을	안전/NNG+을/JKO
우선적으로	우선/NNG+적/XSN+으로/JKB
고려하겠다”고	고려/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.395.13.1
건설이 지연되면서 대치동 주민들 사이에서도 갈등이 심해지고 있다.

건설이	건설/NNG+이/JKS
지연되면서	지연/NNG+되/XSV+면서/EC
대치동	대치동/NNP
주민들	주민/NNG+들/XSN
사이에서도	사이/NNG+에서/JKB+도/JX
갈등이	갈등/NNG+이/JKS
심해지고	심하/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.395.13.2
대치역 사거리 주변 아파트 주민과 상인들은 “언제 또 물난리가 날지 모르는데 왜 아직 공사를 시작하지 않느냐”고 시에 항의하고 있다.

대치역	대치역/NNP
사거리	사거리/NNG
주변	주변/NNG
아파트	아파트/NNG
주민과	주민/NNG+과/JC
상인들은	상인/NNG+들/XSN+은/JX
“언제	“/SS+언제/MAG
또	또/MAG
물난리가	물난리/NNG+가/JKS
날지	나/VV+ㄹ지/EC
모르는데	모르/VV+는데/EC
왜	왜/MAG
아직	아직/MAG
공사를	공사/NNG+를/JKO
시작하지	시작/NNG+하/XSV+지/EC
않느냐”고	않/VX+느냐/EF+”/SS+고/JKQ
시에	시/NNG+에/JKB
항의하고	항의/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.395.14.1
논란이 커지자 강남구는 일단 입지를 원점에서 다시 검토하기로 했다.

논란이	논란/NNG+이/JKS
커지자	커지/VV+자/EC
강남구는	강남구/NNP+는/JX
일단	일단/MAG
입지를	입지/NNG+를/JKO
원점에서	원점/NNG+에서/JKB
다시	다시/MAG
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.395.14.2
