# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.283
metadata : {}


# id : NWRW1800000030.283.1.1
[조선일보에 비친 '모던 조선'] (80) '산림의 깽' 송충이 떼, 열차를 세우다

[조선일보에	[/SS+조선일보/NNP+에/JKB
비친	비치/VV+ㄴ/ETM
'모던	'/SS+모던/NNG
조선']	조선/NNP+'/SS+]/SS
(80)	(/SS+80/SN+)/SS
'산림의	'/SS+산림/NNG+의/JKG
깽'	깽/NNG+'/SS
송충이	송충이/NNG
떼,	떼/NNG+,/SP
열차를	열차/NNG+를/JKO
세우다	세우/VV+다/EF


# id : NWRW1800000030.283.2.1
1923년 전국에서 송충이가 극성을 부렸다.

1923년	1923/SN+년/NNB
전국에서	전국/NNG+에서/JKB
송충이가	송충이/NNG+가/JKS
극성을	극성/NNG+을/JKO
부렸다.	부리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.283.2.2
이에 평안남도 대동군은 5원의 상금을 내걸고 '송점사(송충이) 구제(驅除) 현상모집'을 실시하고(1923년 6월 17일자), 황해도 재령에선 매 가구마다 1명씩 차출 '송충 구제군'을 편성, 송충이 잡이에 투입하는 등(1923년 7월 5일자) 전국이 송충 구제에 법석을 떨었다.

이에	이/NP+에/JKB
평안남도	평안남도/NNP
대동군은	대동군/NNP+은/JX
5원의	5/SN+원/NNB+의/JKG
상금을	상금/NNG+을/JKO
내걸고	내걸/VV+고/EC
'송점사(송충이)	'/SS+송점사/NNG+(/SS+송충이/NNG+)/SS
구제(驅除)	구제/NNG+(/SS+驅除/SH+)/SS
현상모집'을	현상/NNG+모집/NNG+'/SS+을/JKO
실시하고(1923년	실시/NNG+하/XSV+고/EC+(/SS+1923/SN+년/NNB
6월	6/SN+월/NNB
17일자),	17/SN+일/NNB+자/NNG+)/SS+,/SP
황해도	황해도/NNP
재령에선	재령/NNP+에서/JKB+ㄴ/JX
매	매/MMD
가구마다	가구/NNG+마다/JX
1명씩	1/SN+명/NNB+씩/XSN
차출	차출/NNG
'송충	'/SS+송충/NNG
구제군'을	구제/NNG+군/NNG+'/SS+을/JKO
편성,	편성/NNG+,/SP
송충이	송충이/NNG
잡이에	잡이/NA+에/JKB
투입하는	투입/NNG+하/XSV+는/ETM
등(1923년	등/NNB+(/SS+1923/SN+년/NNB
7월	7/SN+월/NNB
5일자)	5/SN+일/NNB+자/NNG+)/SS
전국이	전국/NNG+이/JKS
송충	송충/NNG
구제에	구제/NNG+에/JKB
법석을	법석/NNG+을/JKO
떨었다.	떨/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.283.3.1
이듬해 새로 부임한 경기도 고양 군수는 '제1 정책'으로 송충 구제를 내세우고, "송충이 한 되에 8전씩 주겠다"는 '공약'을 내걸었다.

이듬해	이듬해/NNG
새로	새로/MAG
부임한	부임/NNG+하/XSV+ㄴ/ETM
경기도	경기도/NNP
고양	고양/NNP
군수는	군수/NNG+는/JX
'제1	'/SS+제/XPN+1/SN
정책'으로	정책/NNG+'/SS+으로/JKB
송충	송충/NNG
구제를	구제/NNG+를/JKO
내세우고,	내세우/VV+고/EC+,/SP
"송충이	"/SS+송충이/NNG
한	한/MMN
되에	되/NNB+에/JKB
8전씩	8/SN+전/NNB+씩/XSN
주겠다"는	주/VV+겠/EP+다/EF+"/SS+는/ETM
'공약'을	'/SS+공약/NNG+'/SS+을/JKO
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.283.3.2
'돈 생긴다는 바람에 늙은이 젊은이 어린아이까지 총츌동 하야 송충이 가시에 팔다리가 부어오르는 것도 불구하고' 송충이를 잡아들였으나, '첫 날 몇 말은 한 되에 8전씩 쳐주다, 예산이 바닥나게 되자 석유통에 가득 담아 온 것을 한 되 혹은 두 되로 쳐주고, 그나마 아예 사지 않아' 주민 원성을 사기도 하는 등(1924년 8월 4일자), 송충구제는 조선의 연례행사가 됐다.

'돈	'/SS+돈/NNG
생긴다는	생기/VV+ㄴ다는/ETM
바람에	바람/NNB+에/JKB
늙은이	늙은이/NNG
젊은이	젊은이/NNG
어린아이까지	어린아이/NNG+까지/JX
총츌동	총츌동/NNG
하야	하/VV+아/EC
송충이	송충이/NNG
가시에	가시/NNG+에/JKB
팔다리가	팔다리/NNG+가/JKS
부어오르는	부어오르/VV+는/ETM
것도	것/NNB+도/JX
불구하고'	불구하/VV+고/EC+'/SS
송충이를	송충이/NNG+를/JKO
잡아들였으나,	잡아들이/VV+었/EP+으나/EC+,/SP
'첫	'/SS+첫/MMN
날	날/NNG
몇	몇/NR
말은	말/NNG+은/JX
한	한/MMN
되에	되/NNB+에/JKB
8전씩	8/SN+전/NNB+씩/XSN
쳐주다,	쳐주/VV+다/EC+,/SP
예산이	예산/NNG+이/JKS
바닥나게	바닥나/VV+게/EC
되자	되/VV+자/EC
석유통에	석유통/NNG+에/JKB
가득	가득/MAG
담아	담/VV+아/EC
온	오/VX+ㄴ/ETM
것을	것/NNB+을/JKO
되	되/NNB
혹은	혹은/MAG
두	두/MMN
되로	되/NNB+로/JKB
쳐주고,	치/VV+어/EC+주/VX+고/EC+,/SP
그나마	그나마/MAG
아예	아예/MAG
사지	사/VV+지/EC
않아'	않/VX+아/EC+'/SS
주민	주민/NNG
원성을	원성/NNG+을/JKO
사기도	사/VV+기/ETN+도/JX
하는	하/VX+는/ETM
등(1924년	등/NNB+(/SS+1924/SN+년/NNB
8월	8/SN+월/NNB
4일자),	4/SN+일/NNB+자/NNG+)/SS+,/SP
송충구제는	송충/NNG+구제/NNG+는/JX
조선의	조선/NNP+의/JKG
연례행사가	연례행사/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.283.4.1
송충 피해는 '연연증대'했다.

송충	송충/NNG
피해는	피해/NNG+는/JX
'연연증대'했다.	'/SS+연연증대/NNG+'/SS+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.283.4.2
식산국 조사에 따르면 3년 평균 피해면적이 24만정보, 피해액은 160만원에 달했다.

식산국	식산국/NNG
조사에	조사/NNG+에/JKB
따르면	따르/VV+면/EC
3년	3/SN+년/NNB
평균	평균/NNG
피해면적이	피해/NNG+면적/NNG+이/JKS
24만정보,	24/SN+만/NR+정보/NNB+,/SP
피해액은	피해액/NNG+은/JX
160만원에	160/SN+만/NR+원/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.283.4.3
(1925년 7월 13일자) 이듬해 피해는 32만4000여정보로 더 늘었으나, 구제면적은 겨우 14만여정보에 불과했다.

(1925년	(/SS+1925/SN+년/NNB
7월	7/SN+월/NNB
13일자)	13/SN+일/NNB+자/NNG+)/SS
이듬해	이듬해/NNG
피해는	피해/NNG+는/JX
32만4000여정보로	32/SN+만/NR+4000/SN+여/XSN+정보/NNB+로/JKB
더	더/MAG
늘었으나,	늘/VV+었/EP+으나/EC+,/SP
구제면적은	구제/NNG+면적/NNG+은/JX
겨우	겨우/MAG
14만여정보에	14/SN+만/NR+여/XSN+정보/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000030.283.4.4
송충 피해를 막기 위한 특단의 대책으로 '송충 없애는 데 가장 굳센' 벌 17만마리를 일본에서 들여오기도 했다.

송충	송충/NNG
피해를	피해/NNG+를/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
특단의	특단/NNG+의/JKG
대책으로	대책/NNG+으로/JKB
'송충	'/SS+송충/NNG
없애는	없애/VV+는/ETM
데	데/NNB
가장	가장/MAG
굳센'	굳세/VA+ㄴ/ETM+'/SS
벌	벌/NNG
17만마리를	17/SN+만/NR+마리/NNB+를/JKO
일본에서	일본/NNP+에서/JKB
들여오기도	들여오/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.283.4.5
(1926년 5월 18일자)

(1926년	(/SS+1926/SN+년/NNB
5월	5/SN+월/NNB
18일자)	18/SN+일/NNB+자/NNG+)/SS


# id : NWRW1800000030.283.5.1
