# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.243
metadata : {}


# id : NWRW1800000044.243.1.1
“한국사 국정교과서 전환땐 학생들 입시부담도 커진다”

“한국사	“/SS+한국사/NNG
국정교과서	국정/NNG+교과서/NNG
전환땐	전환/NNG+때/NNG+ㄴ/JX
학생들	학생/NNG+들/XSN
입시부담도	입시/NNG+부담/NNG+도/JX
커진다”	커지/VV+ㄴ다/EF+”/SS


# id : NWRW1800000044.243.2.1
[한겨레] 조한경 역사교사모임 회장

[한겨레]	[/SS+한겨레/NNP+]/SS
조한경	조한경/NNP
역사교사모임	역사/NNG+교사/NNG+모임/NNG
회장	회장/NNG


# id : NWRW1800000044.243.3.1
“지금은 교과서 많아 중요개념 출제

“지금은	“/SS+지금/NNG+은/JX
교과서	교과서/NNG
많아	많/VA+아/EC
중요개념	중요/NNG+개념/NNG
출제	출제/NNG


# id : NWRW1800000044.243.4.1
국정땐 지엽 출제로 입시부담 늘어”

국정땐	국정/NNG+때/NNG+ㄴ/JX
지엽	지엽/NNG
출제로	출제/NNG+로/JKB
입시부담	입시/NNG+부담/NNG
늘어”	늘/VV+어/EF+”/SS


# id : NWRW1800000044.243.5.1
정권입김에 수시로 바뀔 우려도

정권입김에	정권/NNG+입김/NNG+에/JKB
수시로	수시로/MAG
바뀔	바뀌/VV+ㄹ/ETM
우려도	우려/NNG+도/JX


# id : NWRW1800000044.243.6.1
정부, 26일 ‘발행체제 개선’ 토론회

정부,	정부/NNG+,/SP
26일	26/SN+일/NNB
‘발행체제	‘/SS+발행/NNG+체제/NNG
개선’	개선/NNG+’/SS
토론회	토론회/NNG


# id : NWRW1800000044.243.7.1
“2017년부터 한국사가 수능 필수니 국가가 공인하는 한 권의 교과서가 필요하다구요?

“2017년부터	“/SS+2017/SN+년/NNB+부터/JX
한국사가	한국사/NNG+가/JKS
수능	수능/NNG
필수니	필수/NNG+이/VCP+니/EC
국가가	국가/NNG+가/JKS
공인하는	공인/NNG+하/XSV+는/ETM
한	한/MMN
권의	권/NNB+의/JKG
교과서가	교과서/NNG+가/JKS
필요하다구요?	필요/NNG+하/XSA+다구/EF+요/JX+?/SF


# id : NWRW1800000044.243.7.2
진작부터 실질적인 수능 필수인 국·영·수는 훨씬 더 많은 검정 교과서로도 아무 문제 없이 수능을 치르고 있습니다.”

진작부터	진작/MAG+부터/JX
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
수능	수능/NNG
필수인	필수/NNG+이/VCP+ㄴ/ETM
국·영·수는	국·영·수/NNG+는/JX
훨씬	훨씬/MAG
더	더/MAG
많은	많/VA+은/ETM
검정	검정/NNG
교과서로도	교과서/NNG+로/JKB+도/JX
아무	아무/MMD
문제	문제/NNG
없이	없이/MAG
수능을	수능/NNG+을/JKO
치르고	치르/VV+고/EC
