# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.240
metadata : {}


# id : NWRW1800000056.240.1.1
MBC·KBS 총파업 돌입

MBC·KBS	MBC/SL+·/SP+KBS/SL
총파업	총파업/NNG
돌입	돌입/NNG


# id : NWRW1800000056.240.2.1
공영방송 정상화 요구 제작거부

공영방송	공영/NNG+방송/NNG
정상화	정상/NNG+화/XSN
요구	요구/NNG
제작거부	제작/NNG+거부/NNG


# id : NWRW1800000056.240.3.1
<문화방송>(MBC)과 <한국방송>(KBS) 노조가 4일 0시부터 총파업에 돌입한다.

<문화방송>(MBC)과	</SS+문화방송/NNP+>/SS+(/SS+MBC/SL+)/SS+과/JC
<한국방송>(KBS)	</SS+한국방송/NNP+>/SS+(/SS+KBS/SL+)/SS
노조가	노조/NNG+가/JKS
4일	4/SN+일/NNB
0시부터	0/SN+시/NNB+부터/JX
총파업에	총파업/NNG+에/JKB
돌입한다.	돌입/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.240.3.2
양대 공영방송이 함께 총파업을 벌이는 건 2012년 이후 5년 만이다.

양대	양대/MMA
공영방송이	공영/NNG+방송/NNG+이/JKS
함께	함께/MAG
총파업을	총파업/NNG+을/JKO
벌이는	벌이/VV+는/ETM
건	거/NNB+ㄴ/JX
2012년	2012/SN+년/NNB
이후	이후/NNG
5년	5/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.240.3.3
뉴스를 포함한 방송 프로그램이 축소·결방될 전망이다.

뉴스를	뉴스/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
방송	방송/NNG
프로그램이	프로그램/NNG+이/JKS
축소·결방될	축소/NNG+·/SP+결방/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.240.4.1
전국언론노동조합 문화방송·한국방송본부는 이날 오후 2시와 3시 각각 서울 상암동 문화방송 사옥과 여의도 한국방송 사옥에서 총파업 출정식을 열 계획이다.

전국언론노동조합	전국언론노동조합/NNP
문화방송·한국방송본부는	문화방송/NNP+·/SP+한국방송/NNP+본부/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
2시와	2/SN+시/NNB+와/JC
3시	3/SN+시/NNB
각각	각각/MAG
서울	서울/NNP
상암동	상암동/NNP
문화방송	문화방송/NNP
사옥과	사옥/NNG+과/JC
여의도	여의도/NNP
한국방송	한국방송/NNP
사옥에서	사옥/NNG+에서/JKB
총파업	총파업/NNG
출정식을	출정식/NNG+을/JKO
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.240.4.2
언론노조 한국방송본부에 따르면 이날부터 간판 뉴스 프로그램인 <뉴스 9>는 기존 1시간에서 40분으로 축소편성되며, 주말에는 20분으로 줄어들 예정이다.

언론노조	언론/NNG+노조/NNG
한국방송본부에	한국방송/NNP+본부/NNG+에/JKB
따르면	따르/VV+면/EC
이날부터	이날/NNG+부터/JX
간판	간판/NNG
뉴스	뉴스/NNG
프로그램인	프로그램/NNG+이/VCP+ㄴ/ETM
<뉴스	</SS+뉴스/NNG
9>는	9/SN+>/SS+는/JX
기존	기존/NNG
1시간에서	1/SN+시간/NNB+에서/JKB
40분으로	40/SN+분/NNB+으로/JKB
축소편성되며,	축소/NNG+편성/NNG+되/XSV+며/EC+,/SP
주말에는	주말/NNG+에/JKB+는/JX
20분으로	20/SN+분/NNB+으로/JKB
줄어들	줄어들/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.240.4.3
한국방송에서는 이미 전국에서 1200명이 넘는 기자·피디가 제작거부를 선언한 상황이다.

한국방송에서는	한국방송/NNP+에서/JKB+는/JX
이미	이미/MAG
전국에서	전국/NNG+에서/JKB
1200명이	1200/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
기자·피디가	기자/NNG+·/SP+피디/NNG+가/JKS
제작거부를	제작/NNG+거부/NNG+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.240.4.4
7일 케이비에스노동조합(1노조)이 총파업에 동참하면 방송 파행이 더 가시화할 전망이다.

7일	7/SN+일/NNB
케이비에스노동조합(1노조)이	케이비에스/NNP+노동조합/NNG+(/SS+1/SN+노조/NNG+)/SS+이/JKS
총파업에	총파업/NNG+에/JKB
동참하면	동참/NNG+하/XSV+면/EC
방송	방송/NNG
파행이	파행/NNG+이/JKS
더	더/MAG
가시화할	가시/NNG+화/XSN+하/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.240.4.5
이미 기자·피디·아나운서 400여명이 제작거부 중인 문화방송 상황도 비슷하다.

이미	이미/MAG
기자·피디·아나운서	기자/NNG+·/SP+피디/NNG+·/SP+아나운서/NNG
400여명이	400/SN+여/XSN+명/NNB+이/JKS
제작거부	제작/NNG+거부/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
문화방송	문화방송/NNP
상황도	상황/NNG+도/JX
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000056.240.5.1
직원 상대 입장문, 문자메시지 등을 통해 업무 복귀를 호소해온 한국방송·문화방송 회사 쪽은 3일에도 북한의 6차 핵실험을 계기로 제작 업무로 돌아올 것을 종용했다.

직원	직원/NNG
상대	상대/NNG
입장문,	입장문/NNG+,/SP
문자메시지	문자/NNG+메시지/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
업무	업무/NNG
복귀를	복귀/NNG+를/JKO
호소해온	호소/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
한국방송·문화방송	한국방송/NNP+·/SP+문화방송/NNP
회사	회사/NNG
쪽은	쪽/NNB+은/JX
3일에도	3/SN+일/NNB+에/JKB+도/JX
북한의	북한/NNP+의/JKG
6차	6/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
계기로	계기/NNG+로/JKB
제작	제작/NNG
