# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.465
metadata : {}


# id : NWRW1800000024.465.1.1
‘치병 기적’ /이단시비·승리주의 벗으려면

‘치병	‘/SS+치병/NNG
기적’	기적/NNG+’/SS
/이단시비·승리주의	//SP+이단/NNG+시비/NNG+·/SP+승리/NNG+주의/NNG
벗으려면	벗/VV+으려면/EC


# id : NWRW1800000024.465.2.1
암에 걸린 환자들이 다른 치료를 거부한 채 기도원에서 천장이 뚫어져라 바닥이 꺼져라 뛰면서 “주여, 주여!”를 외치며 울부짖고 몸부림치는 모습을 본 비신자들은 과연 그들이 제정신인가라고 묻곤 한다.

암에	암/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
환자들이	환자/NNG+들/XSN+이/JKS
다른	다른/MMD
치료를	치료/NNG+를/JKO
거부한	거부/NNG+하/XSV+ㄴ/ETM
채	채/NNB
기도원에서	기도원/NNG+에서/JKB
천장이	천장/NNG+이/JKS
뚫어져라	뚫어지/VV+어라/EF
바닥이	바닥/NNG+이/JKS
꺼져라	꺼지/VV+어라/EF
뛰면서	뛰/VV+면서/EC
“주여,	“/SS+주/NNG+여/JKV+,/SP
주여!”를	주/NNG+여/JKV+!/SF+”/SS+를/JKO
외치며	외치/VV+며/EC
울부짖고	울부짖/VV+고/EC
몸부림치는	몸부림치/VV+는/ETM
모습을	모습/NNG+을/JKO
본	보/VV+ㄴ/ETM
비신자들은	비/XPN+신자/NNG+들/XSN+은/JX
과연	과연/MAG
그들이	그/NP+들/XSN+이/JKS
제정신인가라고	제정신/NNG+이/VCP+ㄴ가/EF+라고/EC
묻곤	묻/VV+곤/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.465.3.1
그러나 그들은 “당신도 하루아침에 암 선고를 받아봐라.

그러나	그러나/MAJ
그들은	그/NP+들/XSN+은/JX
“당신도	“/SS+당신/NP+도/JX
하루아침에	하루아침/NNG+에/JKB
암	암/NNG
선고를	선고/NNG+를/JKO
받아봐라.	받/VV+아/EC+보/VX+아라/EF+./SF


# id : NWRW1800000024.465.3.2
병원에서도 받아주지 않고, 이제 살 날이 얼마 남지 않았다는 청천벽력 같은 사형선고를 받아봐라.

병원에서도	병원/NNG+에서/JKB+도/JX
받아주지	받/VV+아/EC+주/VX+지/EC
않고,	않/VX+고/EC+,/SP
이제	이제/MAG
살	살/VV+ㄹ/ETM
날이	날/NNG+이/JKS
얼마	얼마/NNG
남지	남/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
청천벽력	청천벽력/NNG
같은	같/VA+은/ETM
사형선고를	사형/NNG+선고/NNG+를/JKO
받아봐라.	받/VV+아/EC+보/VX+아라/EF+./SF


# id : NWRW1800000024.465.3.3
과연 그게 미친 짓이라고 손가락질할 수 있는지”라고 반문한다.

과연	과연/MAG
그게	그거/NP+이/JKS
미친	미치/VV+ㄴ/ETM
짓이라고	짓/NNG+이/VCP+라고/EC
손가락질할	손가락/NNG+질/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있는지”라고	있/VA+는지/EF+”/SS+라고/JKQ
반문한다.	반문/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.465.3.4
이런 논쟁과 상관없이 우리나라에서만 매년 12만여명이 암에 걸리고, 그 외 여러 가지 병고나 사고로 고통받는 환자들과 가족들이 적지 않다.

이런	이런/MMD
논쟁과	논쟁/NNG+과/JKB
상관없이	상관없이/MAG
우리나라에서만	우리나라/NNG+에서/JKB+만/JX
매년	매년/MAG
12만여명이	12/SN+만/NR+여/XSN+명/NNB+이/JKS
암에	암/NNG+에/JKB
걸리고,	걸리/VV+고/EC+,/SP
그	그/MMD
외	외/NNB
여러	여러/MMN
가지	가지/NNB
병고나	병고/NNG+나/JC
사고로	사고/NNG+로/JKB
고통받는	고통/NNG+받/XSV+는/ETM
환자들과	환자/NNG+들/XSN+과/JC
가족들이	가족/NNG+들/XSN+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000024.465.3.5
삶이 있는 한 죽음은 절대 거역할 수 없는 자연의 법칙이다.

삶이	삶/NNG+이/JKS
있는	있/VA+는/ETM
한	한/NNG
죽음은	죽음/NNG+은/JX
절대	절대/MAG
거역할	거역/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
자연의	자연/NNG+의/JKG
법칙이다.	법칙/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.465.3.6
그래서 병과 죽음은 멈출 수 없다.

그래서	그래서/MAJ
병과	병/NNG+과/JC
죽음은	죽음/NNG+은/JX
멈출	멈추/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.465.3.7
그 멈추지 않는 고통의 어둠 속에서 고대하는 한 줄기 빛이 바로 기적이다.

그	그/MMD
멈추지	멈추/VV+지/EC
않는	않/VX+는/ETM
고통의	고통/NNG+의/JKG
어둠	어둠/NNG
속에서	속/NNG+에서/JKB
고대하는	고대/NNG+하/XSV+는/ETM
한	한/MMN
줄기	줄기/NNG
빛이	빛/NNG+이/JKS
바로	바로/MAG
기적이다.	기적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.465.4.1
그래서 죽게 된 사람도 살려준다는 기도발이 있는 것으로 회자되는 유명사찰의 기도처엔 밤낮을 가리지 않고 기도객들이 몰려든다.

그래서	그래서/MAJ
죽게	죽/VV+게/EC
된	되/VV+ㄴ/ETM
사람도	사람/NNG+도/JX
살려준다는	살리/VV+어/EC+주/VX+ㄴ다는/ETM
기도발이	기도발/NNG+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
회자되는	회자/NNG+되/XSV+는/ETM
유명사찰의	유명/NNG+사찰/NNG+의/JKG
기도처엔	기도처/NNG+에/JKB+ㄴ/JX
밤낮을	밤낮/NNG+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
기도객들이	기도객/NNG+들/XSN+이/JKS
몰려든다.	몰려들/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.465.4.2
이 때문에 최근 몇 년 동안 불교계에선 3000년 만에 한 번 핀다는 우담바라가 피는 ‘기적’을 주장하는 사찰들이 곳곳에서 쏟아져나왔다.

이	이/MMD
때문에	때문/NNB+에/JKB
최근	최근/NNG
몇	몇/NR
년	년/NNB
동안	동안/NNG
불교계에선	불교/NNG+계/XSN+에서/JKB+ㄴ/JX
3000년	3000/SN+년/NNB
만에	만/NNB+에/JKB
한	한/MMN
번	번/NNB
핀다는	피/VV+ㄴ다는/ETM
우담바라가	우담바라/NNG+가/JKS
피는	피/VV+는/ETM
‘기적’을	‘/SS+기적/NNG+’/SS+을/JKO
주장하는	주장/NNG+하/XSV+는/ETM
사찰들이	사찰/NNG+들/XSN+이/JKS
곳곳에서	곳곳/NNG+에서/JKB
쏟아져나왔다.	쏟아지/VV+어/EC+나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.465.4.3
나중에는 그것은 우담바라가 아니라 잠자리알이었다는 해프닝이 벌어지기도 했다.

나중에는	나중/NNG+에/JKB+는/JX
그것은	그것/NP+은/JX
우담바라가	우담바라/NNG+가/JKC
아니라	아니/VCN+라/EC
잠자리알이었다는	잠자리/NNG+알/NNG+이/VCP+었/EP+다는/ETM
해프닝이	해프닝/NNG+이/JKS
벌어지기도	벌어지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.465.5.1
개신교계에서도 신유(神癒·신의 힘으로 병을 낫는 것)의 능력을 가졌다는 개신교 목사와 부흥사와 전도사가 가는 곳엔 환자와 그 가족들이 구름처럼 몰려든다.

개신교계에서도	개신교/NNG+계/XSN+에서/JKB+도/JX
신유(神癒·신의	신유/NNG+(/SS+神癒/SH+·/SP+신/NNG+의/JKG
힘으로	힘/NNG+으로/JKB
병을	병/NNG+을/JKO
낫는	낫/VV+는/ETM
것)의	것/NNB+)/SS+의/JKG
능력을	능력/NNG+을/JKO
가졌다는	가지/VV+었/EP+다는/ETM
개신교	개신교/NNG
목사와	목사/NNG+와/JC
부흥사와	부흥사/NNG+와/JC
전도사가	전도사/NNG+가/JKS
가는	가/VV+는/ETM
곳엔	곳/NNG+에/JKB+ㄴ/JX
환자와	환자/NNG+와/JC
그	그/MMD
가족들이	가족/NNG+들/XSN+이/JKS
구름처럼	구름/NNG+처럼/JKB
몰려든다.	몰려들/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.465.5.2
또 그런 기도처에서 과학적으로 설명하기 어려운 기적적인 치병을 경험하는 경우도 적지 않다.

또	또/MAG
그런	그런/MMD
기도처에서	기도처/NNG+에서/JKB
과학적으로	과학/NNG+적/XSN+으로/JKB
설명하기	설명/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
기적적인	기적/NNG+적/XSN+이/VCP+ㄴ/ETM
치병을	치병/NNG+을/JKO
경험하는	경험/NNG+하/XSV+는/ETM
경우도	경우/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000024.465.6.1
치병을 경험하는 이들에게 기도의 장소는 성전이 되고, 치병을 이끈 종교인은 영웅이 되기 마련이다.

치병을	치병/NNG+을/JKO
경험하는	경험/NNG+하/XSV+는/ETM
이들에게	이/NNB+들/XSN+에게/JKB
기도의	기도/NNG+의/JKG
장소는	장소/NNG+는/JX
성전이	성전/NNG+이/JKC
되고,	되/VV+고/EC+,/SP
이끈	이끌/VV+ㄴ/ETM
종교인은	종교인/NNG+은/JX
영웅이	영웅/NNG+이/JKC
되기	되/VV+기/ETN
마련이다.	마련/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.465.6.2
이어 우상이 되고 교주처럼 떠받들어지는 당사자는 마침내 이단 사이비 시비에 휘말리는 경우가 다반사다.

이어	이어/MAG
우상이	우상/NNG+이/JKC
되고	되/VV+고/EC
교주처럼	교주/NNG+처럼/JKB
떠받들어지는	떠받들/VV+어/EC+지/VX+는/ETM
당사자는	당사자/NNG+는/JX
마침내	마침내/MAG
이단	이단/NNG
사이비	사이비/NNG
시비에	시비/NNG+에/JKB
휘말리는	휘말리/VV+는/ETM
경우가	경우/NNG+가/JKS
다반사다.	다반사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.465.7.1
