# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.179
metadata : {}


# id : NWRW1800000021.179.1.1
경제자유구역내 일부지역 분양가 상한제 폐지 추진

경제자유구역내	경제/NNG+자유/NNG+구역/NNG+내/NNB
일부지역	일부/NNG+지역/NNG
분양가	분양/NNG+가/XSN
상한제	상한/NNG+제/XSN
폐지	폐지/NNG
추진	추진/NNG


# id : NWRW1800000021.179.2.1
국토해양부는 경제자유구역 내 국제업무지역에서 분양되는 주택에 대해 분양가 상한제를 폐지하도록 하는 내용을 담은 주택법 개정안을 의원입법으로 국회에 제출했다고 4일 밝혔다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
경제자유구역	경제/NNG+자유/NNG+구역/NNG
내	내/NNB
국제업무지역에서	국제/NNG+업무/NNG+지역/NNG+에서/JKB
분양되는	분양/NNG+되/XSV+는/ETM
주택에	주택/NNG+에/JKB
대해	대하/VV+아/EC
분양가	분양/NNG+가/XSN
상한제를	상한/NNG+제/XSN+를/JKO
폐지하도록	폐지/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
주택법	주택법/NNG
개정안을	개정안/NNG+을/JKO
의원입법으로	의원/NNG+입법/NNG+으로/JKB
국회에	국회/NNG+에/JKB
제출했다고	제출/NNG+하/XSV+았/EP+다고/EC
4일	4/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.179.2.2
정치권에서 경제자유구역 내 특정 지역에는 분양가 상한제를 적용하지 않아야 한다는 의견이 많은 것으로 알려져 6월 임시국회에서 이 개정안이 통과될 가능성이 높은 것으로 보인다.

정치권에서	정치/NNG+권/XSN+에서/JKB
경제자유구역	경제/NNG+자유/NNG+구역/NNG
내	내/NNB
특정	특정/NNG
지역에는	지역/NNG+에/JKB+는/JX
분양가	분양/NNG+가/XSN
상한제를	상한/NNG+제/XSN+를/JKO
적용하지	적용/NNG+하/XSV+지/EC
않아야	않/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
6월	6/SN+월/NNB
임시국회에서	임시/NNG+국회/NNG+에서/JKB
이	이/MMD
개정안이	개정안/NNG+이/JKS
통과될	통과/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.179.3.1
국토부의 이 같은 방안은 민간 사업자들이 경제자유구역에서 주택과 상가를 분양해 얻은 이익으로 각종 기반시설을 마련하도록 하기 위한 것이다.

국토부의	국토부/NNG+의/JKG
이	이/NP
같은	같/VA+은/ETM
방안은	방안/NNG+은/JX
민간	민간/NNG
사업자들이	사업자/NNG+들/XSN+이/JKS
경제자유구역에서	경제/NNG+자유/NNG+구역/NNG+에서/JKB
주택과	주택/NNG+과/JC
상가를	상가/NNG+를/JKO
분양해	분양/NNG+하/XSV+아/EC
얻은	얻/VV+은/ETM
이익으로	이익/NNG+으로/JKB
각종	각종/NNG
기반시설을	기반/NNG+시설/NNG+을/JKO
마련하도록	마련/NNG+하/XSV+도록/EC
하기	하/VX+기/ETN
위한	위하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.179.3.2
국토부는 컨벤션센터와 외국인학교, 공연장 등을 주요 대상 시설로 꼽고 있다.

국토부는	국토부/NNG+는/JX
