# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.281
metadata : {}


# id : NWRW1800000056.281.1.1
[유레카] 히딩크 논란 / 김창금

[유레카]	[/SS+유레카/NNG+]/SS
히딩크	히딩크/NNP
논란	논란/NNG
/	//SP
김창금	김창금/NNP


# id : NWRW1800000056.281.2.1
거스 히딩크 감독 논란으로 한국 축구가 흔들리고 있다.

거스	거스/NNP
히딩크	히딩크/NNP
감독	감독/NNG
논란으로	논란/NNG+으로/JKB
한국	한국/NNP
축구가	축구/NNG+가/JKS
흔들리고	흔들리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.281.2.2
일부 네티즌은 메시아 대망론처럼 히딩크 감독을 얘기하고, 반대로 현장의 축구 지도자들은 지금 사령탑을 바꾸는 것은 자살행위라며 러시아 월드컵 본선행을 이끈 신태용 감독에게 힘을 실어줄 때라고 말한다.

일부	일부/NNG
네티즌은	네티즌/NNG+은/JX
메시아	메시아/NNG
대망론처럼	대망/NNG+론/XSN+처럼/JKB
히딩크	히딩크/NNP
감독을	감독/NNG+을/JKO
얘기하고,	얘기/NNG+하/XSV+고/EC+,/SP
반대로	반대/NNG+로/JKB
현장의	현장/NNG+의/JKG
축구	축구/NNG
지도자들은	지도자/NNG+들/XSN+은/JX
지금	지금/MAG
사령탑을	사령탑/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
것은	것/NNB+은/JX
자살행위라며	자살행위/NNG+이/VCP+라며/EC
러시아	러시아/NNP
월드컵	월드컵/NNG
본선행을	본선행/NNG+을/JKO
이끈	이끌/VV+ㄴ/ETM
신태용	신태용/NNP
감독에게	감독/NNG+에게/JKB
힘을	힘/NNG+을/JKO
실어줄	싣/VV+어/EC+주/VX+ㄹ/ETM
때라고	때/NNG+이/VCP+라고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.281.3.1
감독 한 사람이 축구의 수준과 성패를 좌우한다면 논쟁은 필요 없다.

감독	감독/NNG
한	한/MMN
사람이	사람/NNG+이/JKS
축구의	축구/NNG+의/JKG
수준과	수준/NNG+과/JC
성패를	성패/NNG+를/JKO
좌우한다면	좌우/NNG+하/XSV+ㄴ다면/EC
논쟁은	논쟁/NNG+은/JX
필요	필요/NNG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.281.3.2
언제나 최고의 감독을 영입하면 된다.

언제나	언제나/MAG
최고의	최고/NNG+의/JKG
감독을	감독/NNG+을/JKO
영입하면	영입/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.281.3.3
그러나 문제는 간단치 않다.

그러나	그러나/MAJ
문제는	문제/NNG+는/JX
간단치	간단하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000056.281.3.4
최근 영국 코번트리대학에서 K리그를 주제로 한 석사학위 논문은 생각거리를 준다.

최근	최근/MAG
영국	영국/NNP
코번트리대학에서	코번트리대학/NNP+에서/JKB
K리그를	K/SL+리그/NNG+를/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
석사학위	석사/NNG+학위/NNG
논문은	논문/NNG+은/JX
생각거리를	생각/NNG+거리/NNB+를/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.281.3.5
정원표씨가 네이버카페 리그월드에서 제시한 방법을 응용해 분석한 ‘K리그는 왜 국제대회 성적은 뛰어나지만 흥행하지 못하는가’라는 논문은 국내 기반이 취약하면 국제대회 성적도 허장성세임을 지적한다.

정원표씨가	정원표/NNP+씨/NNB+가/JKS
네이버카페	네이버/NNP+카페/NNG
리그월드에서	리그/NNG+월드/NNG+에서/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
방법을	방법/NNG+을/JKO
응용해	응용/NNG+하/XSV+아/EC
분석한	분석/NNG+하/XSV+ㄴ/ETM
‘K리그는	‘/SS+K/SL+리그/NNG+는/JX
왜	왜/MAG
국제대회	국제/NNG+대회/NNG
성적은	성적/NNG+은/JX
뛰어나지만	뛰어나/VA+지만/EC
흥행하지	흥행/NNG+하/XSV+지/EC
못하는가’라는	못하/VX+는가/EF+’/SS+이/VCP+라는/ETM
논문은	논문/NNG+은/JX
국내	국내/NNG
기반이	기반/NNG+이/JKS
취약하면	취약/NNG+하/XSA+면/EC
성적도	성적/NNG+도/JX
허장성세임을	허장성세/NNG+이/VCP+ㅁ/ETN+을/JKO
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.281.4.1
2016년 33개 나라의 1부리그 관중 수와 국내 중계권료, 1인당 소득과 총인구, 국내총생산 등을 적용해 비교분석한 이 논문에서 대표팀 역량의 토대인 K리그의 위상은 매우 낮다.

2016년	2016/SN+년/NNB
33개	33/SN+개/NNB
나라의	나라/NNG+의/JKG
1부리그	1부/NNG+리그/NNG
관중	관중/NNG
수와	수/NNG+와/JC
국내	국내/NNG
중계권료,	중계권료/NNG+,/SP
1인당	1/SN+인/NNG+당/XSN
소득과	소득/NNG+과/JC
총인구,	총인구/NNG+,/SP
국내총생산	국내/NNG+총생산/NNG
등을	등/NNB+을/JKO
적용해	적용/NNG+하/XSV+아/EC
비교분석한	비교/NNG+분석/NNG+하/XSV+ㄴ/ETM
이	이/MMD
논문에서	논문/NNG+에서/JKB
대표팀	대표/NNG+팀/NNG
역량의	역량/NNG+의/JKG
토대인	토대/NNG+이/VCP+ㄴ/ETM
K리그의	K/SL+리그/NNG+의/JKG
위상은	위상/NNG+은/JX
매우	매우/MAG
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000056.281.4.2
