# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.253
metadata : {}


# id : NWRW1800000037.253.1.1
대박 대호

대박	대/XPN+박/NNG
대호	대호/NNP


# id : NWRW1800000037.253.2.1
日언론 “오릭스, 3년 109억원 제시” 구단 “본인 잔류 원해” 밝혔지만 다른 팀 베팅금액 보고 결정할듯

日언론	日/SH+언론/NNG
“오릭스,	“/SS+오릭스/NNP+,/SP
3년	3/SN+년/NNB
109억원	109/SN+억/NR+원/NNB
제시”	제시/NNG+”/SS
구단	구단/NNG
“본인	“/SS+본인/NNG
잔류	잔류/NNG
원해”	원/NNG+하/XSV+아/EC+”/SS
밝혔지만	밝히/VV+었/EP+지만/EC
다른	다른/MMD
팀	팀/NNG
베팅금액	베팅/NNG+금액/NNG
보고	보/VV+고/EC
결정할듯	결정/NNG+하/XSV+ㄹ/ETM+듯/NNB


# id : NWRW1800000037.253.3.1
“선수라면 누구나 더 좋은 대우를 받길 바란다.”

“선수라면	“/SS+선수/NNG+이/VCP+라면/EC
누구나	누구/NP+나/JX
더	더/MAG
좋은	좋/VA+은/ETM
대우를	대우/NNG+를/JKO
받길	받/VV+기/ETN+ㄹ/JKO
바란다.”	바라/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000037.253.3.2
2011년 말 ‘빅보이’ 이대호(31)가 롯데의 4년간 100억 원 제안을 뿌리치고 일본 프로야구 오릭스에 입단하면서 했던 말이다.

2011년	2011/SN+년/NNB
말	말/NNB
‘빅보이’	‘/SS+빅보이/NNP+’/SS
이대호(31)가	이대호/NNP+(/SS+31/SN+)/SS+가/JKS
롯데의	롯데/NNP+의/JKG
4년간	4/SN+년/NNB+간/XSN
100억	100/SN+억/NR
원	원/NNB
제안을	제안/NNG+을/JKO
뿌리치고	뿌리치/VV+고/EC
일본	일본/NNP
프로야구	프로/NNG+야구/NNG
오릭스에	오릭스/NNP+에/JKB
입단하면서	입단/NNG+하/XSV+면서/EC
했던	하/VV+았/EP+던/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.253.4.1
당시 오릭스가 이대호에게 제시했던 조건은 2년간 총액 7억 엔(계약금 2억 엔, 연봉 2억 5000만 엔)이었다.

당시	당시/NNG
오릭스가	오릭스/NNP+가/JKS
이대호에게	이대호/NNP+에게/JKB
제시했던	제시/NNG+하/XSV+았/EP+던/ETM
조건은	조건/NNG+은/JX
2년간	2/SN+년/NNB+간/XSN
총액	총액/NNG
7억	7/SN+억/NR
엔(계약금	엔/NNB+(/SS+계약금/NNG
2억	2/SN+억/NR
엔,	엔/NNB+,/SP
연봉	연봉/NNG
5000만	5000/SN+만/NR
엔)이었다.	엔/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.253.4.2
현재 환율로는 76억 원가량이지만 당시 환율로는 100억 원이 넘는 좋은 조건이었다.

현재	현재/MAG
환율로는	환율/NNG+로/JKB+는/JX
76억	76/SN+억/NR
원가량이지만	원/NNB+가량/XSN+이/VCP+지만/EC
당시	당시/NNG
100억	100/SN+억/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
좋은	좋/VA+은/ETM
조건이었다.	조건/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.253.4.3
이대호는 최고 대우를 약속한 오릭스 유니폼으로 갈아입었다.

이대호는	이대호/NNP+는/JX
최고	최고/NNG
대우를	대우/NNG+를/JKO
약속한	약속/NNG+하/XSV+ㄴ/ETM
오릭스	오릭스/NNP
유니폼으로	유니폼/NNG+으로/JKB
갈아입었다.	갈아입/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.253.5.1
2년이 지난 요즘 이대호의 향후 거취가 또 다시 주목받고 있다.

2년이	2/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
요즘	요즘/NNG
이대호의	이대호/NNP+의/JKG
향후	향후/NNG
거취가	거취/NNG+가/JKS
또	또/MAG
다시	다시/MAG
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.253.5.2
올 시즌을 끝으로 오릭스와의 2년 계약이 끝나 다시 한 번 자유계약선수(FA)가 되는 이대호는 현 소속인 오릭스는 물론 한신과 소프트뱅크 등 일본 내 여러 구단의 러브콜을 받고 있다.

올	올/NNG
시즌을	시즌/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
오릭스와의	오릭스/NNP+와/JKB+의/JKG
2년	2/SN+년/NNB
계약이	계약/NNG+이/JKS
끝나	끝나/VV+아/EC
다시	다시/MAG
한	한/MMN
번	번/NNB
자유계약선수(FA)가	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS+가/JKC
되는	되/VV+는/ETM
이대호는	이대호/NNP+는/JX
현	현/MMD
소속인	소속/NNG+이/VCP+ㄴ/ETM
오릭스는	오릭스/NNP+는/JX
물론	물론/MAG
한신과	한신/NNP+과/JC
소프트뱅크	소프트뱅크/NNP
등	등/NNB
일본	일본/NNP
내	내/NNB
여러	여러/MMN
구단의	구단/NNG+의/JKG
러브콜을	러브콜/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.253.5.3
한국 프로야구에서 최고의 타자로 군림했던 이대호는 일본에서도 찾아보기 힘든 4번 타자다.

한국	한국/NNP
프로야구에서	프로/NNG+야구/NNG+에서/JKB
최고의	최고/NNG+의/JKG
타자로	타자/NNG+로/JKB
군림했던	군림/NNG+하/XSV+았/EP+던/ETM
이대호는	이대호/NNP+는/JX
일본에서도	일본/NNP+에서/JKB+도/JX
찾아보기	찾아보/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
4번	4/SN+번/NNB
타자다.	타자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.253.5.4
22일 세이부 전에서 3타수 2안타 1타점을 올리면서 타율 0.309에 23홈런, 84타점을 기록 중이다.

22일	22/SN+일/NNB
세이부	세이부/NNP
전에서	전/NA+에서/JKB
3타수	3/SN+타수/NNG
2안타	2/SN+안타/NNG
1타점을	1/SN+타점/NNG+을/JKO
올리면서	올리/VV+면서/EC
타율	타율/NNG
0.309에	0/SN+./SP+309/SN+에/JKB
23홈런,	23/SN+홈런/NNG+,/SP
84타점을	84/SN+타점/NNG+을/JKO
기록	기록/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.253.5.5
퍼시픽리그 타율 7위, 홈런 6위, 타점 4위다.

퍼시픽리그	퍼시픽리그/NNG
타율	타율/NNG
7위,	7/SN+위/NNB+,/SP
홈런	홈런/NNG
6위,	6/SN+위/NNB+,/SP
타점	타점/NNG
4위다.	4/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.253.5.6
특히 찬스에 강해 득점권 타율은 0.331(142타수 47안타)이나 된다.

특히	특히/MAG
찬스에	찬스/NNG+에/JKB
강해	강하/VA+아/EC
득점권	득점/NNG+권/XSN
타율은	타율/NNG+은/JX
0.331(142타수	0/SN+./SP+331/SN+(/SS+142/SN+타수/NNG
47안타)이나	47/SN+안타/NNG+)/SS+이나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.253.5.7
큰 덩치에도 몸이 유연해 올 시즌 팀이 치른 129경기에 모두 출장했다.

큰	크/VA+ㄴ/ETM
덩치에도	덩치/NNG+에/JKB+도/JX
몸이	몸/NNG+이/JKS
유연해	유연하/VA+아/EC
올	올/NNG
시즌	시즌/NNG
팀이	팀/NNG+이/JKS
치른	치르/VV+ㄴ/ETM
129경기에	129/SN+경기/NNG+에/JKB
모두	모두/MAG
출장했다.	출장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.253.5.8
이대호는 지난해에도 전 경기(144경기)에 출전하는 등 2년 연속 전 경기 출장이 유력하다.

이대호는	이대호/NNP+는/JX
지난해에도	지난해/NNG+에/JKB+도/JX
전	전/MMN
경기(144경기)에	경기/NNG+(/SS+144/SN+경기/NNG+)/SS+에/JKB
출전하는	출전/NNG+하/XSV+는/ETM
등	등/NNB
2년	2/SN+년/NNB
연속	연속/NNG
경기	경기/NNG
출장이	출장/NNG+이/JKS
유력하다.	유력/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.253.6.1
오릭스는 팀 전력의 핵심인 이대호를 다른 팀에 빼앗기지 않기 위해 일찌감치 움직이고 있다.

오릭스는	오릭스/NNP+는/JX
팀	팀/NNG
전력의	전력/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
이대호를	이대호/NNP+를/JKO
다른	다른/MMD
팀에	팀/NNG+에/JKB
빼앗기지	빼앗기/VV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
일찌감치	일찌감치/MAG
움직이고	움직이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.253.6.2
시즌이 끝나지도 않았지만 구단 고위층이 이대호와 긴급 면담을 갖는 등 이대호의 잔류를 위해 애쓰고 있다.

시즌이	시즌/NNG+이/JKS
끝나지도	끝나/VV+지/EC+도/JX
않았지만	않/VX+았/EP+지만/EC
구단	구단/NNG
고위층이	고위/NNG+층/XSN+이/JKS
이대호와	이대호/NNP+와/JKB
긴급	긴급/NNG
면담을	면담/NNG+을/JKO
갖는	갖/VV+는/ETM
등	등/NNB
이대호의	이대호/NNP+의/JKG
잔류를	잔류/NNG+를/JKO
위해	위하/VV+아/EC
애쓰고	애쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.253.6.3
일본 스포츠전문지 데일리스포츠는 22일자에서 ‘오릭스가 3년간 총액 10억 엔(약 109억 원)의 대형 계약을 준비하고 있다’며 구체적인 액수까지 밝혔다.

일본	일본/NNP
스포츠전문지	스포츠/NNG+전문지/NNG
데일리스포츠는	데일리스포츠/NNP+는/JX
22일자에서	22/SN+일자/NNG+에서/JKB
‘오릭스가	‘/SS+오릭스/NNP+가/JKS
3년간	3/SN+년/NNB+간/XSN
총액	총액/NNG
10억	10/SN+억/NR
엔(약	엔/NNB+(/SS+약/MMA
109억	109/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
대형	대형/NNG
계약을	계약/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다’며	있/VX+다/EF+’/SS+며/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
액수까지	액수/NNG+까지/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.253.7.1
구단 관계자는 이 신문과의 인터뷰에서 “(이대호가) 딸도 어리고 환경이 변하는 것을 원치 않는다.

구단	구단/NNG
관계자는	관계자/NNG+는/JX
이	이/MMD
신문과의	신문/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“(이대호가)	“/SS+(/SS+이대호/NNP+가/JKS+)/SS
딸도	딸/NNG+도/JX
어리고	어리/VA+고/EC
환경이	환경/NNG+이/JKS
변하는	변하/VV+는/ETM
것을	것/NNB+을/JKO
원치	원/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000037.253.7.2
잔류를 강하게 희망하고 있다”고 말했다.

잔류를	잔류/NNG+를/JKO
강하게	강하/VA+게/EC
희망하고	희망/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.253.7.3
또 “이미 구단과 협상을 진행하고 있어 시즌이 끝나기를 기다리지 않고 합의에 도달할 수도 있다”고 내다봤다

또	또/MAG
“이미	“/SS+이미/MAG
구단과	구단/NNG+과/JKB
협상을	협상/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있어	있/VX+어/EC
시즌이	시즌/NNG+이/JKS
끝나기를	끝나/VV+기/ETN+를/JKO
기다리지	기다리/VV+지/EC
않고	않/VX+고/EC
합의에	합의/NNG+에/JKB
도달할	도달/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
내다봤다	내다보/VV+았/EP+다/EF


# id : NWRW1800000037.253.8.1
하지만 이는 어디까지나 구단의 희망사항이다.

하지만	하지만/MAJ
이는	이/NP+는/JX
어디까지나	어디/NP+까지/JX+나/JX
구단의	구단/NNG+의/JKG
희망사항이다.	희망/NNG+사항/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.253.8.2
칼자루를 쥔 쪽은 이대호이기 때문이다.

칼자루를	칼자루/NNG+를/JKO
쥔	쥐/VV+ㄴ/ETM
쪽은	쪽/NNB+은/JX
이대호이기	이대호/NNP+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.253.8.3
공급이 한정되어 있고 수요가 많다면 가격이 올라가기 마련이다.

공급이	공급/NNG+이/JKS
한정되어	한정/NNG+되/XSV+어/EC
있고	있/VX+고/EC
수요가	수요/NNG+가/JKS
많다면	많/VA+다면/EC
가격이	가격/NNG+이/JKS
올라가기	올라가/VV+기/ETN
마련이다.	마련/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.253.8.4
구단이 현재 생각하고 있는 3년간 10억 엔은 협상의 시초가가 될 가능성이 높다.

구단이	구단/NNG+이/JKS
현재	현재/MAG
생각하고	생각/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
3년간	3/SN+년/NNB+간/XSN
10억	10/SN+억/NR
엔은	엔/NNB+은/JX
협상의	협상/NNG+의/JKG
시초가가	시초가/NNG+가/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000037.253.8.5
이대호로서는 시즌 후 이곳저곳을 저울질한 뒤 최고 대우를 해주는 구단과 계약하면 그만이다.

이대호로서는	이대호/NNP+로서/JKB+는/JX
시즌	시즌/NNG
후	후/NNG
이곳저곳을	이곳저곳/NNG+을/JKO
저울질한	저울/NNG+질/XSN+하/XSV+ㄴ/ETM
뒤	뒤/NNG
최고	최고/NNG
대우를	대우/NNG+를/JKO
해주는	하/VV+아/EC+주/VX+는/ETM
구단과	구단/NNG+과/JKB
계약하면	계약/NNG+하/XSV+면/EC
