# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.227
metadata : {}


# id : NWRW1800000030.227.1.1
또 모래바람… 홍명보호는 뚫을 수 있을까

또	또/MAG
모래바람…	모래바람/NNG+…/SE
홍명보호는	홍명보호/NNP+는/JX
뚫을	뚫/VV+을/ETM
수	수/NNB
있을까	있/VA+을까/EF


# id : NWRW1800000030.227.2.1
•올림픽대표팀 24일 카타르전, A매치 아니라 해외파 적어 "2주간 다진 팀워크로 승부"

•올림픽대표팀	•/SW+올림픽/NNG+대표/NNG+팀/NNG
24일	24/SN+일/NNB
카타르전,	카타르전/NNG+,/SP
A매치	A/SL+매치/NNG
아니라	아니/VCN+라/EC
해외파	해외파/NNG
적어	적/VA+어/EC
"2주간	"/SS+2/SN+주/NNB+간/XSN
다진	다지/VV+ㄴ/ETM
팀워크로	팀워크/NNG+로/JKB
승부"	승부/NNG+"/SS


# id : NWRW1800000030.227.3.1
형들의 부진을 아우가 씻어줄 수 있을까.

형들의	형/NNG+들/XSN+의/JKG
부진을	부진/NNG+을/JKO
아우가	아우/NNG+가/JKS
씻어줄	씻/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000030.227.4.1
올림픽 본선 7회 연속 출전을 노리는 홍명보호(號)가 2012 런던올림픽 아시아 최종 예선 2차전을 치르기 위해 18일 오전 카타르로 떠났다.

올림픽	올림픽/NNG
본선	본선/NNG
7회	7/SN+회/NNB
연속	연속/NNG
출전을	출전/NNG+을/JKO
노리는	노리/VV+는/ETM
홍명보호(號)가	홍명보호/NNP+(/SS+號/SH+)/SS+가/JKS
2012	2012/SN
런던올림픽	런던/NNP+올림픽/NNG
아시아	아시아/NNP
최종	최종/NNG
예선	예선/NNG
2차전을	2/SN+차전/NNB+을/JKO
치르기	치르/VV+기/ETN
위해	위하/VV+아/EC
18일	18/SN+일/NNB
오전	오전/NNG
카타르로	카타르/NNP+로/JKB
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.227.4.2
한국 올림픽 축구 대표팀은 24일 오전 1시(한국 시각) 알 사드 스타디움에서 카타르와 상대하고, 27일 오후 2시 서울월드컵경기장에서 사우디아라비아와 3차전을 벌인다.

한국	한국/NNP
올림픽	올림픽/NNG
축구	축구/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
24일	24/SN+일/NNB
오전	오전/NNG
1시(한국	1/SN+시/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
알	알/NNP
사드	사드/NNP
스타디움에서	스타디움/NNP+에서/JKB
카타르와	카타르/NNP+와/JKB
상대하고,	상대/NNG+하/XSV+고/EC+,/SP
27일	27/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
서울월드컵경기장에서	서울월드컵경기장/NNP+에서/JKB
사우디아라비아와	사우디아라비아/NNP+와/JKB
3차전을	3/SN+차전/NNB+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.227.5.1
사우디·오만·카타르와 함께 A조에 속한 한국은 지난 9월 오만전 2대0 승리로 조 1위를 달리고 있다.

