# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.239
metadata : {}


# id : NWRW1800000033.239.1.1
10년전 박세리가 왔다… 대우증권클래식 16언더 우승

10년전	10/SN+년/NNB+전/NNG
박세리가	박세리/NNP+가/JKS
왔다…	오/VV+았/EP+다/EF+…/SE
대우증권클래식	대우증권클래식/NNP
16언더	16/SN+언더/NNG
우승	우승/NNG


# id : NWRW1800000033.239.2.1
아이언 샷 -퍼팅 전성기 위력… 9년 만에 고국 그린서 환호

아이언	아이언/NNG
샷	샷/NNG
-퍼팅	-/SO+퍼팅/NNG
전성기	전성기/NNG
위력…	위력/NNG+…/SE
9년	9/SN+년/NNB
만에	만/NNB+에/JKB
고국	고국/NNG
그린서	그린/NNG+서/JKB
환호	환호/NNG


# id : NWRW1800000033.239.3.1
마치 시계를 10년 전으로 되돌린 것 같았다.

마치	마치/MAG
시계를	시계/NNG+를/JKO
10년	10/SN+년/NNB
전으로	전/NNG+으로/JKB
되돌린	되돌리/VV+ㄴ/ETM
것	것/NNB
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.239.3.2
드라이버면 드라이버, 아이언이면 아이언, 모든 게 전성기 모습 그대로였다.

드라이버면	드라이버/NNG+면/JC
드라이버,	드라이버/NNG+,/SP
아이언이면	아이언/NNG+이면/JC
아이언,	아이언/NNG+,/SP
모든	모든/MMN
게	거/NNB+이/JKS
전성기	전성기/NNG
모습	모습/NNG
그대로였다.	그대로/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.239.3.3
라운드당 평균 1.4타밖에 되지 않은 퍼트 수 역시 마찬가지였다.

라운드당	라운드/NNG+당/XSN
평균	평균/NNG
1.4타밖에	1/SN+./SP+4/SN+타/NNG+밖에/JX
되지	되/VV+지/EC
않은	않/VX+은/ETM
퍼트	퍼트/NNG
수	수/NNG
역시	역시/MAG
마찬가지였다.	마찬가지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.239.4.1
미국여자프로골프(LPGA)투어에서 25승을 올린 ‘살아있는 전설’ 박세리(35·KDB금융그룹)가 9년 만에 한국 무대에서 우승컵을 들어올렸다.

미국여자프로골프(LPGA)투어에서	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS+투어/NNG+에서/JKB
25승을	25/SN+승/NNB+을/JKO
올린	올리/VV+ㄴ/ETM
‘살아있는	‘/SS+살/VV+아/EC+있/VX+는/ETM
전설’	전설/NNG+’/SS
박세리(35·KDB금융그룹)가	박세리/NNP+(/SS+35/SN+·/SP+KDB금융그룹/NNP+)/SS+가/JKS
9년	9/SN+년/NNB
만에	만/NNB+에/JKB
한국	한국/NNP
무대에서	무대/NNG+에서/JKB
우승컵을	우승컵/NNG+을/JKO
들어올렸다.	들/VV+어/EC+올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.239.5.1
23일 강원 평창 휘닉스파크 골프장(파72)에서 열린 한국여자프로골프(KLPGA)투어 KDB대우증권 클래식 마지막 날 3라운드.

23일	23/SN+일/NNB
강원	강원/NNP
평창	평창/NNP
휘닉스파크	휘닉스파크/NNP
골프장(파72)에서	골프장/NNG+(/SS+파/NNG+72/SN+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
한국여자프로골프(KLPGA)투어	한국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS+투어/NNG
KDB대우증권	KDB대우증권/NNP
클래식	클래식/NNG
마지막	마지막/NNG
날	날/NNG
