# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.52
metadata : {}


# id : NWRW1800000024.52.1.1
산꼭대기 2만명 밀집…불쏘시개 된 억새…기상변화 ‘모르쇠’ /‘화왕산 참사’ 무모한 행사가 불질렀다

산꼭대기	산꼭대기/NNG
2만명	2/SN+만/NR+명/NNB
밀집…불쏘시개	밀집/NNG+…/SE+불쏘시개/NNG
된	되/VV+ㄴ/ETM
억새…기상변화	억새/NNG+…/SE+기상/NNG+변화/NNG
‘모르쇠’	‘/SS+모르쇠/NNG+’/SS
/‘화왕산	//SP+‘/SS+화왕산/NNP
참사’	참사/NNG+’/SS
무모한	무모/NNG+하/XSA+ㄴ/ETM
행사가	행사/NNG+가/JKS
불질렀다	불/NNG+지르/VV+었/EP+다/EF


# id : NWRW1800000024.52.2.1
지난 9일 밤 경남 창녕군 화왕산 억새태우기 도중 일어난 ‘대보름 화재 참사’는 무모한 행사가 부른 사고였다.

지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
밤	밤/NNG
경남	경남/NNP
창녕군	창녕군/NNP
화왕산	화왕산/NNP
억새태우기	억새/NNG+태우/VV+기/ETN
도중	도중/NNG
일어난	일어나/VV+ㄴ/ETM
‘대보름	‘/SS+대/XPN+보름/NNG
화재	화재/NNG
참사’는	참사/NNG+’/SS+는/JX
무모한	무모/NNG+하/XSA+ㄴ/ETM
행사가	행사/NNG+가/JKS
부른	부르/VV+ㄴ/ETM
사고였다.	사고/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.52.3.1
화왕산 억새태우기는 해발 757m 높이의 화왕산 정상에서 정월 대보름 달이 떠오르면, 18만여㎡ 면적의 억새밭에 한꺼번에 불을 붙이면서 시작된다.

화왕산	화왕산/NNP
억새태우기는	억새/NNG+태우/VV+기/ETN+는/JX
해발	해발/NNG
757m	757/SN+m/SW
높이의	높이/NNG+의/JKG
정상에서	정상/NNG+에서/JKB
정월	정월/NNG
대보름	대/XPN+보름/NNG
달이	달/NNG+이/JKS
떠오르면,	떠오르/VV+면/EC+,/SP
18만여㎡	18/SN+만/NR+여/XSN+㎡/SW
면적의	면적/NNG+의/JKG
억새밭에	억새밭/NNG+에/JKB
한꺼번에	한꺼번에/MAG
불을	불/NNG+을/JKO
붙이면서	붙이/VV+면서/EC
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.52.3.2
2만여명의 관광객은 너비 30~50m의 방화선을 사이에 두고 억새밭 주변에 둘러서서 불구경을 하며 소원을 빈다.

2만여명의	2/SN+만/NR+여/XSN+명/NNB+의/JKG
관광객은	관광객/NNG+은/JX
너비	너비/NNG
30~50m의	30/SN+~/SO+50/SN+m/SW+의/JKG
방화선을	방화선/NNG+을/JKO
사이에	사이/NNG+에/JKB
두고	두/VV+고/EC
억새밭	억새밭/NNG
주변에	주변/NNG+에/JKB
둘러서서	둘러서/VV+어서/EC
불구경을	불구경/NNG+을/JKO
하며	하/VV+며/EC
소원을	소원/NNG+을/JKO
빈다.	빌/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.52.4.1
