# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.410
metadata : {}


# id : NWRW1800000022.410.1.1
[강원]연곡 해변관광지 개발 실시협약 체결

[강원]연곡	[/SS+강원/NNP+]/SS+연곡/NNP
해변관광지	해변/NNG+관광지/NNG
개발	개발/NNG
실시협약	실시/NNG+협약/NNG
체결	체결/NNG


# id : NWRW1800000022.410.2.1
강릉 북부권 발전을 앞당길 연곡 해변관광지 개발 사업의 원활한 추진을 위한 실시협약이 체결된다.

강릉	강릉/NNP
북부권	북부/NNG+권/XSN
발전을	발전/NNG+을/JKO
앞당길	앞당기/VV+ㄹ/ETM
연곡	연곡/NNP
해변관광지	해변/NNG+관광지/NNG
개발	개발/NNG
사업의	사업/NNG+의/JKG
원활한	원활/NNG+하/XSA+ㄴ/ETM
추진을	추진/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
실시협약이	실시/NNG+협약/NNG+이/JKS
체결된다.	체결/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.410.3.1
강릉시는 30일 민간 사업자인 ㈜파라다이스컨소시엄과 연곡 해변관광지 개발 실시협약을 체결한다고 밝혔다.

강릉시는	강릉시/NNP+는/JX
30일	30/SN+일/NNB
민간	민간/NNG
사업자인	사업자/NNG+이/VCP+ㄴ/ETM
㈜파라다이스컨소시엄과	㈜/SW+파라다이스컨소시엄/NNP+과/JKB
연곡	연곡/NNP
해변관광지	해변/NNG+관광지/NNG
개발	개발/NNG
실시협약을	실시/NNG+협약/NNG+을/JKO
체결한다고	체결/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.410.4.1
이번 협약에는 시와 사업자의 상호 지원사항을 비롯해 사업부지 확보방안과 역할 등에 대한 구체적인 내용을 담게 된다.

이번	이번/NNG
협약에는	협약/NNG+에/JKB+는/JX
시와	시/NNG+와/JC
사업자의	사업자/NNG+의/JKG
상호	상호/NNG
지원사항을	지원/NNG+사항/NNG+을/JKO
비롯해	비롯하/VV+아/EC
사업부지	사업/NNG+부지/NNG
확보방안과	확보/NNG+방안/NNG+과/JC
역할	역할/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용을	내용/NNG+을/JKO
담게	담/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.410.5.1
앞서 강릉시는 관광지 개발 사업의 행정지원을 위해 지난 7월 공유재산 관리계획에 대한 시의회 의결을 거치는 등 본격적인 지원에 나섰다.

앞서	앞서/MAG
강릉시는	강릉시/NNP+는/JX
관광지	관광지/NNG
개발	개발/NNG
사업의	사업/NNG+의/JKG
행정지원을	행정/NNG+지원/NNG+을/JKO
위해	위하/VV+아/EC
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
공유재산	공유/NNG+재산/NNG
관리계획에	관리/NNG+계획/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시의회	시/NNG+의회/NNG
의결을	의결/NNG+을/JKO
거치는	거치/VV+는/ETM
등	등/NNB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
지원에	지원/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.410.6.1
연곡 해변관광지 개발은 연곡면 동덕리 17만1329㎡ 일대에 250실 규모의 호텔 1동과 300실 콘도 3동 등을 조성하는 사업이다.

연곡	연곡/NNP
해변관광지	해변/NNG+관광지/NNG
개발은	개발/NNG+은/JX
연곡면	연곡면/NNP
동덕리	동덕리/NNP
17만1329㎡	17/SN+만/NR+1329/SN+㎡/SW
일대에	일대/NNG+에/JKB
250실	250/SN+실/NNB
규모의	규모/NNG+의/JKG
호텔	호텔/NNG
1동과	1/SN+동/NNB+과/JC
300실	300/SN+실/NNB
콘도	콘도/NNG
3동	3/SN+동/NNB
등을	등/NNB+을/JKO
조성하는	조성/NNG+하/XSV+는/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.410.7.1
2216억원의 사업비는 9개 업체로 구성된 파라다이스컨소시엄이 민자로 추진한다.

2216억원의	2216/SN+억/NR+원/NNB+의/JKG
사업비는	사업비/NNG+는/JX
9개	9/SN+개/NNB
업체로	업체/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
파라다이스컨소시엄이	파라다이스컨소시엄/NNP+이/JKS
민자로	민자/NNG+로/JKB
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.410.8.1
강릉시는 "2012년 사업이 완료될 수 있도록 하겠다"며 "연곡지역의 관광 인프라 구축을 통해 명품 관광지 조성에 힘쓰겠다"고 말했다.

강릉시는	강릉시/NNP+는/JX
"2012년	"/SS+2012/SN+년/NNB
사업이	사업/NNG+이/JKS
완료될	완료/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하겠다"며	하/VV+겠/EP+다/EF+"/SS+며/EC
"연곡지역의	"/SS+연곡/NNP+지역/NNG+의/JKG
관광	관광/NNG
인프라	인프라/NNG
구축을	구축/NNG+을/JKO
통해	통하/VV+아/EC
명품	명품/NNG
관광지	관광지/NNG
조성에	조성/NNG+에/JKB
힘쓰겠다"고	힘쓰/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


