# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.103
metadata : {}


# id : NWRW1800000024.103.1.1
10년이상 노후차 바꿀때 세금70% 감면

10년이상	10/SN+년/NNB+이상/NNG
노후차	노후/NNG+차/NNG
바꿀때	바꾸/VV+ㄹ/ETM+때/NNG
세금70%	세금/NNG+70/SN+%/SW
감면	감면/NNG


# id : NWRW1800000024.103.2.1
오는 5월부터 노후 차량을 새 차로 바꾸면 개별소비세와 취득·등록세를 지금보다 70% 덜 내고, 할부금융도 쉽게 받을 수 있게 된다.

오는	오/VV+는/ETM
5월부터	5/SN+월/NNB+부터/JX
노후	노후/NNG
차량을	차량/NNG+을/JKO
새	새/MMA
차로	차/NNG+로/JKB
바꾸면	바꾸/VV+면/EC
개별소비세와	개별/NNG+소비세/NNG+와/JC
취득·등록세를	취득/NNG+·/SP+등록세/NNG+를/JKO
지금보다	지금/NNG+보다/JKB
70%	70/SN+%/SW
덜	덜/MAG
내고,	내/VV+고/EC+,/SP
할부금융도	할부/NNG+금융/NNG+도/JX
쉽게	쉽/VA+게/EC
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.103.2.2
또 자동차업계의 친환경차 개발에 정부가 적극 지원을 하고 자동차부품업계에 대해서는 인수·합병(M&A)을 통한 대형화가 추진된다.

또	또/MAG
자동차업계의	자동차업/NNG+계/XSN+의/JKG
친환경차	친/XPN+환경/NNG+차/NNG
개발에	개발/NNG+에/JKB
정부가	정부/NNG+가/JKS
적극	적극/NNG
지원을	지원/NNG+을/JKO
하고	하/VV+고/EC
자동차부품업계에	자동차/NNG+부품업/NNG+계/XSN+에/JKB
대해서는	대하/VV+아서/EC+는/JX
인수·합병(M&A)을	인수/NNG+·/SP+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS+을/JKO
통한	통하/VV+ㄴ/ETM
대형화가	대형/NNG+화/XSN+가/JKS
추진된다.	추진/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.103.2.3
▶관련기사 27면

▶관련기사	▶/SW+관련/NNG+기사/NNG
27면	27/SN+면/NNG


# id : NWRW1800000024.103.3.1
정부는 26일 이명박 대통령 주재로 수원 중소기업종합지원센터에서 제13차 비상경제대책회의를 열고 이런 내용을 뼈대로 하는 자동차산업 활성화 방안을 마련했다.

정부는	정부/NNG+는/JX
26일	26/SN+일/NNB
이명박	이명박/NNP
대통령	대통령/NNG
주재로	주재/NNG+로/JKB
수원	수원/NNP
중소기업종합지원센터에서	중소기업/NNG+종합/NNG+지원/NNG+센터/NNG+에서/JKB
제13차	제/XPN+13/SN+차/NNB
비상경제대책회의를	비상/NNG+경제/NNG+대책/NNG+회의/NNG+를/JKO
열고	열/VV+고/EC
이런	이런/MMD
내용을	내용/NNG+을/JKO
뼈대로	뼈대/NNG+로/JKB
하는	하/VV+는/ETM
자동차산업	자동차/NNG+산업/NNG
활성화	활성/NNG+화/XSN
방안을	방안/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.103.4.1
먼저 정부는 2000년 1월1일 이전 등록 차량을 가진 개인이나 법인이 새 차를 사면 개별소비세와 취득세, 등록세를 각각 70%까지 감면해줄 예정이다.

먼저	먼저/MAG
정부는	정부/NNG+는/JX
2000년	2000/SN+년/NNB
1월1일	1/SN+월/NNB+1/SN+일/NNB
이전	이전/NNG
등록	등록/NNG
차량을	차량/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
개인이나	개인/NNG+이나/JC
법인이	법인/NNG+이/JKS
새	새/MMA
차를	차/NNG+를/JKO
사면	사/VV+면/EC
개별소비세와	개별/NNG+소비세/NNG+와/JC
취득세,	취득세/NNG+,/SP
등록세를	등록세/NNG+를/JKO
각각	각각/MAG
70%까지	70/SN+%/SW+까지/JX
감면해줄	감면/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.103.4.2
세금 감면은 5월1일부터 올해 연말까지만 해 준다.

세금	세금/NNG
감면은	감면/NNG+은/JX
5월1일부터	5/SN+월/NNB+1/SN+일/NNB+부터/JX
올해	올해/NNG
연말까지만	연말/NNG+까지/JX+만/JX
해	하/VV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.103.4.3
이에 따라 자동차 구입 때 내야 하는 세금이 소비세의 경우 최대 150만원, 취득·등록세는 100만원까지 줄어든다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
자동차	자동차/NNG
구입	구입/NNG
때	때/NNG
내야	내/VV+어야/EC
하는	하/VX+는/ETM
세금이	세금/NNG+이/JKS
소비세의	소비세/NNG+의/JKG
경우	경우/NNG
최대	최대/NNG
150만원,	150/SN+만/NR+원/NNB+,/SP
취득·등록세는	취득/NNG+·/SP+등록세/NNG+는/JX
100만원까지	100/SN+만/NR+원/NNB+까지/JX
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.103.4.4
현재 국내 등록 차량 1679만대 가운데 2000년 이전 등록 차는 548만대다.

현재	현재/MAG
국내	국내/NNG
등록	등록/NNG
차량	차량/NNG
1679만대	1679/SN+만/NR+대/NNB
가운데	가운데/NNG
2000년	2000/SN+년/NNB
이전	이전/NNG
차는	차/NNG+는/JX
548만대다.	548/SN+만/NR+대/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.103.5.1
정부는 또 우체국 여유자금으로 할부금융사 발행 채권을 매입해 유동성을 지원하기로 했다.

정부는	정부/NNG+는/JX
또	또/MAG
우체국	우체국/NNG
여유자금으로	여유/NNG+자금/NNG+으로/JKB
할부금융사	할부/NNG+금융사/NNG
발행	발행/NNG
채권을	채권/NNG+을/JKO
매입해	매입/NNG+하/XSV+아/EC
유동성을	유동/NNG+성/XSN+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.103.5.2
아울러 지방의 중소 부품업계 지원을 위해 지방자치단체와 은행의 공동출연으로 ‘지역상생보증펀드’를 조성하고, 산업은행 등 기관투자가를 중심으로 1조원 규모의 부품소재 인수·합병 펀드를 만들기로 했다.

아울러	아울러/MAG
지방의	지방/NNG+의/JKG
중소	중소/NNG
부품업계	부품업/NNG+계/XSN
지원을	지원/NNG+을/JKO
위해	위하/VV+아/EC
지방자치단체와	지방/NNG+자치/NNG+단체/NNG+와/JC
은행의	은행/NNG+의/JKG
공동출연으로	공동/NNG+출연/NNG+으로/JKB
‘지역상생보증펀드’를	‘/SS+지역/NNG+상생/NNG+보증/NNG+펀드/NNG+’/SS+를/JKO
