# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.306
metadata : {}


# id : NWRW1800000049.306.1.1
中 “기어코 쏜다면 제지못해”… 우다웨이 방북 빈손 될수도

中	中/SH
“기어코	“/SS+기어코/MAG
쏜다면	쏘/VV+ㄴ다면/EC
제지못해”…	제지/NNG+못/MAG+하/VV+아/EF+”/SS+…/SE
우다웨이	우다웨이/NNP
방북	방북/NNG
빈손	빈손/NNG
될수도	되/VV+ㄹ/ETM+수/NNB+도/JX


# id : NWRW1800000049.306.2.1
[北 미사일 발사 예고] 시험대 오른 中의 대북 외교

[北	[/SS+北/SH
미사일	미사일/NNG
발사	발사/NNG
예고]	예고/NNG+]/SS
시험대	시험대/NNG
오른	오르/VV+ㄴ/ETM
中의	中/SH+의/JKG
대북	대북/NNG
외교	외교/NNG


# id : NWRW1800000049.306.3.1
중국의 6자회담 수석대표인 우다웨이(武大偉) 중국 외교부 한반도사무특별대표가 2일 평양에 도착한 직후 북한의 장거리 미사일 발사 계획이 발표되자 중국은 난처한 기색이 역력하다.

중국의	중국/NNP+의/JKG
6자회담	6/SN+자/NNB+회담/NNG
수석대표인	수석대표/NNG+이/VCP+ㄴ/ETM
우다웨이(武大偉)	우다웨이/NNP+(/SS+武大偉/SH+)/SS
중국	중국/NNP
외교부	외교부/NNG
한반도사무특별대표가	한반도/NNP+사무/NNG+특별/NNG+대표/NNG+가/JKS
2일	2/SN+일/NNB
평양에	평양/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
직후	직후/NNG
북한의	북한/NNP+의/JKG
장거리	장거리/NNG
미사일	미사일/NNG
발사	발사/NNG
계획이	계획/NNG+이/JKS
발표되자	발표/NNG+되/XSV+자/EC
중국은	중국/NNP+은/JX
난처한	난처하/VA+ㄴ/ETM
기색이	기색/NNG+이/JKS
역력하다.	역력하/VA+다/EF+./SF


# id : NWRW1800000049.306.3.2
루캉(陸慷) 중국 외교부 대변인이 3일 “북한은 신중하게 행동하라”며 공개 경고한 것은 베이징 내부의 불편한 심기를 드러낸 것으로 보인다.

루캉(陸慷)	루캉/NNP+(/SS+陸慷/SH+)/SS
중국	중국/NNP
외교부	외교부/NNG
대변인이	대변인/NNG+이/JKS
3일	3/SN+일/NNB
“북한은	“/SS+북한/NNP+은/JX
신중하게	신중/NNG+하/XSA+게/EC
행동하라”며	행동/NNG+하/XSV+라/EF+”/SS+며/EC
공개	공개/NNG
경고한	경고/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
베이징	베이징/NNP
내부의	내부/NNG+의/JKG
불편한	불편/NNG+하/XSA+ㄴ/ETM
심기를	심기/NNG+를/JKO
드러낸	드러내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.306.4.1
우 대표가 북한의 인공위성 발사 계획을 사전에 통보받고 달려간 것인지, 아니면 평양에 도착해서야 들었는지는 분명하지 않다.

우	우/NNP
대표가	대표/NNG+가/JKS
북한의	북한/NNP+의/JKG
인공위성	인공위성/NNG
발사	발사/NNG
계획을	계획/NNG+을/JKO
사전에	사전/NNG+에/JKB
통보받고	통보/NNG+받/XSV+고/EC
달려간	달려가/VV+ㄴ/ETM
것인지,	것/NNB+이/VCP+ㄴ지/EC+,/SP
아니면	아니/VCN+면/EC
평양에	평양/NNP+에/JKB
도착해서야	도착/NNG+하/XSV+아서/EC+야/JX
들었는지는	듣/VV+었/EP+는지/EC+는/JX
분명하지	분명/MAG+하/XSA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.306.4.2
