# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.275
metadata : {}


# id : NWRW1800000045.275.1.1
[오늘과 내일/정연욱]아류(亞流) 정치

[오늘과	[/SS+오늘/NNG+과/JC
내일/정연욱]아류(亞流)	내일/NNG+//SP+정연욱/NNP+]/SS+아류/NNG+(/SS+亞流/SH+)/SS
정치	정치/NNG


# id : NWRW1800000045.275.2.1
“과거 노무현이었다면 이렇게 안 했을 것이다.”

“과거	“/SS+과거/NNG
노무현이었다면	노무현/NNP+이/VCP+었/EP+다면/EC
이렇게	이렇/VA+게/EC
안	안/MAG
했을	하/VV+았/EP+을/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000045.275.3.1
새정치민주연합 대표 문재인을 바라보는 야권 인사들은 요즘 이 같은 말을 자주 한다고 한다.

새정치민주연합	새정치민주연합/NNP
대표	대표/NNG
문재인을	문재인/NNP+을/JKO
바라보는	바라보/VV+는/ETM
야권	야권/NNG
인사들은	인사/NNG+들/XSN+은/JX
요즘	요즘/NNG
이	이/NP
같은	같/VA+은/ETM
말을	말/NNG+을/JKO
자주	자주/MAG
한다고	하/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.275.3.2
무모할 정도의 ‘돌직구’를 던져 국면 반전을 시도했던 노무현 스타일과 문재인 스타일이 너무 다르다는 얘기다.

무모할	무모/NNG+하/XSA+ㄹ/ETM
정도의	정도/NNG+의/JKG
‘돌직구’를	‘/SS+돌직구/NNG+’/SS+를/JKO
던져	던지/VV+어/EC
국면	국면/NNG
반전을	반전/NNG+을/JKO
시도했던	시도/NNG+하/XSV+았/EP+던/ETM
노무현	노무현/NNP
스타일과	스타일/NNG+과/JC
문재인	문재인/NNP
스타일이	스타일/NNG+이/JKS
너무	너무/MAG
다르다는	다르/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.275.3.3
계란이 날아올 것을 뻔히 알면서도 집회 연설을 강행하고, 열세가 뻔한데도 후보 단일화 여론조사를 받아들인 일화 등이 단골메뉴다.

계란이	계란/NNG+이/JKS
날아올	날아오/VV+ㄹ/ETM
것을	것/NNB+을/JKO
뻔히	뻔히/MAG
알면서도	알/VV+면서/EC+도/JX
집회	집회/NNG
연설을	연설/NNG+을/JKO
강행하고,	강행/NNG+하/XSV+고/EC+,/SP
열세가	열세/NNG+가/JKS
뻔한데도	뻔하/VA+ㄴ데/EC+도/JX
후보	후보/NNG
단일화	단일/NNG+화/XSN
여론조사를	여론/NNG+조사/NNG+를/JKO
받아들인	받아들이/VV+ㄴ/ETM
일화	일화/NNG
등이	등/NNB+이/JKS
단골메뉴다.	단골/NNG+메뉴/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.275.4.1
겉으로 비친 문재인의 모습은 분명 ‘친구 노무현’과 다르다.

겉으로	겉/NNG+으로/JKB
비친	비치/VV+ㄴ/ETM
문재인의	문재인/NNP+의/JKG
모습은	모습/NNG+은/JX
분명	분명/MAG
‘친구	‘/SS+친구/NNG
노무현’과	노무현/NNP+’/SS+과/JKB
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000045.275.4.2
4·29 재·보궐선거 참패 후 낙선인사차 광주공항을 찾았을 때 항의 시위대를 피해 다른 출구로 도망치듯 빠져나갔다.

4·29	4/SN+·/SP+29/SN
재·보궐선거	재/XPN+·/SP+보궐/NNG+선거/NNG
참패	참패/NNG
후	후/NNG
낙선인사차	낙선/NNG+인사차/NNG
광주공항을	광주공항/NNP+을/JKO
찾았을	찾/VV+았/EP+을/ETM
때	때/NNG
항의	항의/NNG
시위대를	시위대/NNG+를/JKO
피해	피하/VV+아/EC
다른	다른/MMD
출구로	출구/NNG+로/JKB
도망치듯	도망치/VV+듯/EC
빠져나갔다.	빠져나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.275.4.3
최고위원회의 공개석상에서 주승용을 자극할 것이 뻔한 정청래의 ‘막말’을 남의 일인 양 방치했다.

최고위원회의	최고/NNG+위원/NNG+회의/NNG
공개석상에서	공개/NNG+석상/NNG+에서/JKB
주승용을	주승용/NNP+을/JKO
자극할	자극/NNG+하/XSV+ㄹ/ETM
것이	것/NNB+이/JKS
뻔한	뻔하/VA+ㄴ/ETM
정청래의	정청래/NNP+의/JKG
‘막말’을	‘/SS+막말/NNG+’/SS+을/JKO
남의	남/NNG+의/JKG
일인	일/NNG+이/VCP+ㄴ/ETM
양	양/NNB
방치했다.	방치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.275.4.4
그래서 비노(비노무현) 진영은 “우리를 자극해 ‘나갈 테면 나가 봐라’는 최후통첩 아니냐”고 부글부글한다.

그래서	그래서/MAJ
비노(비노무현)	비/XPN+노/NNP+(/SS+비/XPN+노무현/NNP+)/SS
진영은	진영/NNG+은/JX
“우리를	“/SS+우리/NP+를/JKO
자극해	자극/NNG+하/XSV+아/EC
‘나갈	‘/SS+나가/VV+ㄹ/ETM
테면	터/NNB+이/VCP+면/EC
나가	나가/VV+아/EC
봐라’는	보/VX+아라/EF+’/SS+는/ETM
최후통첩	최후통첩/NNG
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
부글부글한다.	부글부글/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.275.4.5
그렇다고 해서 지지자들에게 던지는 분명한 메시지도 없어 보인다.

그렇다고	그렇/VA+다고/EC
해서	하/VV+아서/EC
지지자들에게	지지자/NNG+들/XSN+에게/JKB
던지는	던지/VV+는/ETM
분명한	분명/MAG+하/XSA+ㄴ/ETM
메시지도	메시지/NNG+도/JX
없어	없/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.275.4.6
그냥 무기력해 보일 뿐이다.

그냥	그냥/MAG
무기력해	무/XPN+기력/NNG+하/XSA+아/EC
보일	보이/VV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.275.5.1
지금 야당은 친노(친노무현) 패권주의 공방이 한창이다.

지금	지금/MAG
야당은	야당/NNG+은/JX
친노(친노무현)	친/XPN+노/NNP+(/SS+친/XPN+노무현/NNP+)/SS
패권주의	패권주의/NNG
공방이	공방/NNG+이/JKS
한창이다.	한창/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.275.5.2
그럴수록 문재인의 이름 석 자 앞에 ‘노무현의 그늘’은 짙게 드리워지고 있다.

그럴수록	그렇/VA+ㄹ수록/EC
문재인의	문재인/NNP+의/JKG
이름	이름/NNG
석	석/MMN
자	자/NNG
앞에	앞/NNG+에/JKB
‘노무현의	‘/SS+노무현/NNP+의/JKG
그늘’은	그늘/NNG+’/SS+은/JX
짙게	짙/VA+게/EC
드리워지고	드리워지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.275.5.3
문재인 정치가 사실상 노무현의 ‘아류(亞流) 정치’로 전락한 것이다.

문재인	문재인/NNP
정치가	정치/NNG+가/JKS
사실상	사실/NNG+상/XSN
노무현의	노무현/NNP+의/JKG
‘아류(亞流)	‘/SS+아류/NNG+(/SS+亞流/SH+)/SS
정치’로	정치/NNG+’/SS+로/JKB
전락한	전락/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.275.6.1
‘친노’ 브랜드는 지금도 야권 지지자들을 강하게 결집시키는 핵심 고리다.

‘친노’	‘/SS+친/XPN+노/NNP+’/SS
브랜드는	브랜드/NNG+는/JX
지금도	지금/NNG+도/JX
야권	야권/NNG
지지자들을	지지자/NNG+들/XSN+을/JKO
강하게	강하/VA+게/EC
결집시키는	결집/NNG+시키/XSV+는/ETM
핵심	핵심/NNG
고리다.	고리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.275.6.2
문재인 주변은 그 외피 속에 둥지를 튼다.

문재인	문재인/NNP
주변은	주변/NNG+은/JX
그	그/MMD
외피	외피/NNG
속에	속/NNG+에/JKB
둥지를	둥지/NNG+를/JKO
튼다.	틀/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.275.6.3
그럴수록 ‘노무현 정치’는 불가침의 성역이 된다.

그럴수록	그렇/VA+ㄹ수록/EC
‘노무현	‘/SS+노무현/NNP
정치’는	정치/NNG+’/SS+는/JX
불가침의	불가침/NNG+의/JKG
성역이	성역/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.275.6.4
노무현 정부 시절 성완종의 특별사면이 논란이 되자 문재인은 “우리는 돈 한 푼 안 받았으니 이명박 정부에 물어봐라”고 발끈할 정도다.

노무현	노무현/NNP
정부	정부/NNG
시절	시절/NNG
성완종의	성완종/NNP+의/JKG
특별사면이	특별/NNG+사면/NNG+이/JKS
논란이	논란/NNG+이/JKC
되자	되/VV+자/EC
문재인은	문재인/NNP+은/JX
“우리는	“/SS+우리/NP+는/JX
돈	돈/NNG
한	한/MMN
푼	푼/NNB
안	안/MAG
받았으니	받/VV+았/EP+으니/EC
이명박	이명박/NNP
정부에	정부/NNG+에/JKB
물어봐라”고	물어보/VV+아라/EF+”/SS+고/JKQ
발끈할	발끈/MAG+하/XSV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.275.6.5
그만큼 노무현의 그늘이 문재인에게 절실하다는 증거다.

그만큼	그만큼/MAG
노무현의	노무현/NNP+의/JKG
그늘이	그늘/NNG+이/JKS
문재인에게	문재인/NNP+에게/JKB
절실하다는	절실하/VA+다는/ETM
증거다.	증거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.275.7.1
스스로 선을 긋고 퇴로를 막는 것은 이율배반적이다.

스스로	스스로/MAG
선을	선/NNG+을/JKO
긋고	긋/VV+고/EC
퇴로를	퇴로/NNG+를/JKO
막는	막/VV+는/ETM
것은	것/NNB+은/JX
이율배반적이다.	이율배반/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.275.7.2
문재인을 위시한 친노 그룹은 공유할 만한 노무현 가치를 외면하기도 했다.

문재인을	문재인/NNP+을/JKO
위시한	위시/NNG+하/XSV+ㄴ/ETM
친노	친/XPN+노/NNP
그룹은	그룹/NNG+은/JX
공유할	공유/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
노무현	노무현/NNP
가치를	가치/NNG+를/JKO
외면하기도	외면/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.275.7.3
노무현이 성사시킨 한미 자유무역협정(FTA)을 폐기하자고 나선 것이 대표적이다.

노무현이	노무현/NNP+이/JKS
성사시킨	성사/NNG+시키/XSV+ㄴ/ETM
한미	한미/NNP
자유무역협정(FTA)을	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+을/JKO
폐기하자고	폐기/NNG+하/XSV+자고/EC
나선	나서/VV+ㄴ/ETM
것이	것/NNB+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.275.7.4
오로지 “뭉치면 이긴다”는 선거 공학만 번득였다.

오로지	오로지/MAG
“뭉치면	“/SS+뭉치/VV+면/EC
이긴다”는	이기/VV+ㄴ다/EF+”/SS+는/ETM
선거	선거/NNG
공학만	공학/NNG+만/JX
번득였다.	번득이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.275.7.5
문재인 사단은 애써 이런 과거는 떠올리지 않으려 한다.

문재인	문재인/NNP
사단은	사단/NNG+은/JX
애써	애쓰/VV+어/EC
이런	이런/MMD
과거는	과거/NNG+는/JX
떠올리지	떠올리/VV+지/EC
않으려	않/VX+으려/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.275.8.1
노무현은 2002년 대선후보 시절 당시 김대중(DJ) 정부의 비리가 터져 나오자 “나는 DJ의 자산과 부채를 함께 승계하겠다”고 치고 나갔다.

노무현은	노무현/NNP+은/JX
2002년	2002/SN+년/NNB
대선후보	대선/NNG+후보/NNG
시절	시절/NNG
당시	당시/NNG
김대중(DJ)	김대중/NNP+(/SS+DJ/SL+)/SS
정부의	정부/NNG+의/JKG
비리가	비리/NNG+가/JKS
터져	터지/VV+어/EC
나오자	나오/VV+자/EC
“나는	“/SS+나/NP+는/JX
DJ의	DJ/SL+의/JKG
자산과	자산/NNG+과/JC
부채를	부채/NNG+를/JKO
함께	함께/MAG
승계하겠다”고	승계/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
치고	치/VV+고/EC
나갔다.	나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.275.8.2
하지만 아류 정치는 그 틀을 깨기 어렵다.

하지만	하지만/MAJ
