# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.161
metadata : {}


# id : NWRW1800000041.161.1.1
대장은 오고… 마왕은 가고…

대장은	대장/NNG+은/JX
오고…	오/VV+고/EC+…/SE
마왕은	마왕/NNG+은/JX
가고…	가/VV+고/EC+…/SE


# id : NWRW1800000041.161.2.1
[2014 문화계 되감아 보기]<2>가요계 결정적 노래와 순간 소유-정기고의 ‘썸’, 자이언티 ‘양화대교’… 멜로디와 가사로 확실한 ‘한방’ 완전체로 컴백 원조 아이돌 god… 한 뮤지션 아닌 한 세대의 귀환

[2014	[/SS+2014/SN
문화계	문화/NNG+계/XSN
되감아	되감/VV+아/EC
보기]<2>가요계	보/VX+기/ETN+]/SS+</SS+2/SN+>/SS+가요/NNG+계/XSN
결정적	결정/NNG+적/XSN
노래와	노래/NNG+와/JC
순간	순간/NNG
소유-정기고의	소유/NNP+-/SO+정기고/NNP+의/JKG
‘썸’,	‘/SS+썸/NNP+’/SS+,/SP
자이언티	자이언티/NNP
‘양화대교’…	‘/SS+양화대교/NNP+’/SS+…/SE
멜로디와	멜로디/NNG+와/JC
가사로	가사/NNG+로/JKB
확실한	확실하/VA+ㄴ/ETM
‘한방’	‘/SS+한/MMN+방/NNB+’/SS
완전체로	완전체/NNG+로/JKB
컴백	컴백/NNG
원조	원조/NNG
아이돌	아이돌/NNG
god…	god/SL+…/SE
한	한/MMN
뮤지션	뮤지션/NNG
아닌	아니/VCN+ㄴ/ETM
세대의	세대/NNG+의/JKG
귀환	귀환/NNG


# id : NWRW1800000041.161.3.1
《 많은 가수가 늘 있던 곳으로 돌아왔다.

《	《/SS
많은	많/VA+은/ETM
가수가	가수/NNG+가/JKS
늘	늘/MAG
있던	있/VA+던/ETM
곳으로	곳/NNG+으로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.3.2
어떤 가수는 가면 다신 못 올 곳으로 돌아갔다.

어떤	어떤/MMD
가수는	가수/NNG+는/JX
가면	가/VV+면/EC
다신	다시/MAG+ㄴ/JX
못	못/MAG
올	오/VV+ㄹ/ETM
곳으로	곳/NNG+으로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.3.3
올해 가요계에는 큰 일, 큰 어려움이 많았다.

올해	올해/NNG
가요계에는	가요/NNG+계/XSN+에/JKB+는/JX
큰	크/VA+ㄴ/ETM
일,	일/NNG+,/SP
어려움이	어려움/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.161.3.4
4월 세월호 참사 이후 공연과 음반 시장 모두 꽁꽁 얼어붙었다.

4월	4/SN+월/NNB
세월호	세월호/NNP
참사	참사/NNG
이후	이후/NNG
공연과	공연/NNG+과/JC
음반	음반/NNG
시장	시장/NNG
모두	모두/MAG
꽁꽁	꽁꽁/MAG
얼어붙었다.	얼어붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.161.3.5
10월 신해철의 사망으로 가요계는 다시 침울한 분위기에 빠졌다.

10월	10/SN+월/NNB
신해철의	신해철/NNP+의/JKG
사망으로	사망/NNG+으로/JKB
가요계는	가요/NNG+계/XSN+는/JX
다시	다시/MAG
침울한	침울하/VA+ㄴ/ETM
분위기에	분위기/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.161.3.6
김추자부터 god, 서태지, MC몽, 양희은, 한영애, 토이까지 다양한 연령대의 가수가 오랜만에 돌아오기도 했다.

