# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.152
metadata : {}


# id : NWRW1800000037.152.1.1
“서울대 박사공부도 만화가가 되기위한 여정이었죠”

“서울대	“/SS+서울대/NNP
박사공부도	박사/NNG+공부/NNG+도/JX
만화가가	만화가/NNG+가/JKC
되기위한	되/VV+기/ETN+위하/VV+ㄴ/ETM
여정이었죠”	여정/NNG+이/VCP+었/EP+죠/EF+”/SS


# id : NWRW1800000037.152.2.1
포털 다음에 ‘달이 내린 산기슭’ 연재중인 웹툰작가 손장원

포털	포털/NNG
다음에	다음/NNP+에/JKB
‘달이	‘/SS+달/NNG+이/JKS
내린	내리/VV+ㄴ/ETM
산기슭’	산기슭/NNG+’/SS
연재중인	연재/NNG+중/NNB+이/VCP+ㄴ/ETM
웹툰작가	웹툰/NNG+작가/NNG
손장원	손장원/NNP


# id : NWRW1800000037.152.3.1
그는 초등학생 때 확고한 꿈을 정했다.

그는	그/NP+는/JX
초등학생	초등학생/NNG
때	때/NNG
확고한	확고하/VA+ㄴ/ETM
꿈을	꿈/NNG+을/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.152.3.2
그 꿈을 이루려고 서울과학고를 졸업하고 서울대 지질·해양학과군에 입학했다.

그	그/MMD
꿈을	꿈/NNG+을/JKO
이루려고	이루/VV+려고/EC
서울과학고를	서울과학고/NNP+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
서울대	서울대/NNP
지질·해양학과군에	지질·해양학과군/NNG+에/JKB
입학했다.	입학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.152.3.3
학부 공부도 부족해 석사·박사학위까지 취득했다.

학부	학부/NNG
공부도	공부/NNG+도/JX
부족해	부족/NNG+하/XSA+아/EC
석사·박사학위까지	석사/NNG+·/SP+박사/NNG+학위/NNG+까지/JX
취득했다.	취득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.152.3.4
그가 2008년 쓴 박사학위 논문은 ‘태백층군 후기 캄브리아기 세송층과 화절층의 층서와 고생물’.

그가	그/NP+가/JKS
2008년	2008/SN+년/NNB
쓴	쓰/VV+ㄴ/ETM
박사학위	박사/NNG+학위/NNG
논문은	논문/NNG+은/JX
‘태백층군	‘/SS+태백/NNP+층군/NNG
후기	후기/NNG
캄브리아기	캄브리아기/NNG
세송층과	세송층/NNG+과/JC
화절층의	화절층/NNG+의/JKG
층서와	층서/NNG+와/JC
고생물’.	고생물/NNG+’/SS+./SF


# id : NWRW1800000037.152.3.5
그런데 그의 꿈은 대학교수나 저명한 학자가 아니었다.

그런데	그런데/MAJ
그의	그/NP+의/JKG
꿈은	꿈/NNG+은/JX
대학교수나	대학교수/NNG+나/JC
저명한	저명/NNG+하/XSA+ㄴ/ETM
학자가	학자/NNG+가/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000037.152.3.6
만화가였다.

만화가였다.	만화가/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.152.4.1
6월부터 인터넷 포털 사이트 다음에 연재 중인 웹툰 ‘달이 내린 산기슭’의 작가 손장원 씨(36) 얘기다.

6월부터	6/SN+월/NNB+부터/JX
인터넷	인터넷/NNG
포털	포털/NNG
사이트	사이트/NNG
다음에	다음/NNP+에/JKB
연재	연재/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
웹툰	웹툰/NNG
‘달이	‘/SS+달/NNG+이/JKS
내린	내리/VV+ㄴ/ETM
산기슭’의	산기슭/NNG+’/SS+의/JKG
작가	작가/NNG
손장원	손장원/NNP
씨(36)	씨/NNB+(/SS+36/SN+)/SS
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.152.4.2
2011년 만화전문출판사인 학산문화사 공모전에서 우수상을 수상한 단편 ‘산’을 확장한 이 웹툰은 젊은 지질학자 오원경이 강원도의 한 산길도로에서 만난 흥월리층 지층의 정령 ‘월리’와 함께 떠나는 여정을 그렸다.

2011년	2011/SN+년/NNB
만화전문출판사인	만화/NNG+전문/NNG+출판사/NNG+이/VCP+ㄴ/ETM
학산문화사	학산문화사/NNP
공모전에서	공모전/NNG+에서/JKB
우수상을	우수상/NNG+을/JKO
수상한	수상/NNG+하/XSV+ㄴ/ETM
단편	단편/NNG
‘산’을	‘/SS+산/NNP+’/SS+을/JKO
확장한	확장/NNG+하/XSV+ㄴ/ETM
이	이/MMD
웹툰은	웹툰/NNG+은/JX
젊은	젊/VA+은/ETM
지질학자	지질학자/NNG
오원경이	오원경/NNP+이/JKS
강원도의	강원도/NNP+의/JKG
한	한/MMN
산길도로에서	산길/NNG+도로/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
흥월리층	흥월리/NNP+층/XSN
지층의	지층/NNG+의/JKG
정령	정령/NNG
‘월리’와	‘/SS+월리/NNP+’/SS+와/JKB
함께	함께/MAG
떠나는	떠나/VV+는/ETM
여정을	여정/NNG+을/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.152.5.1
만화는 탄탄한 지질학 지식을 바탕으로 난개발에 신음하는 우리 땅에 얽힌 이야기를 오래된 지층과 산속에 사는 신비한 정령과 결합해 잔잔하게 풀어낸다.

만화는	만화/NNG+는/JX
탄탄한	탄탄하/VA+ㄴ/ETM
지질학	지질학/NNG
지식을	지식/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
난개발에	난개발/NNG+에/JKB
신음하는	신음/NNG+하/XSV+는/ETM
우리	우리/NP
땅에	땅/NNG+에/JKB
얽힌	얽히/VV+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
오래된	오래/MAG+되/XSA+ㄴ/ETM
지층과	지층/NNG+과/JC
산속에	산속/NNG+에/JKB
사는	살/VV+는/ETM
신비한	신비/NNG+하/XSA+ㄴ/ETM
정령과	정령/NNG+과/JKB
결합해	결합/NNG+하/XSV+아/EC
잔잔하게	잔잔하/VA+게/EC
풀어낸다.	풀어내/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.152.5.2
독자들은 “보고 있으면 마음이 평화롭다” “강물처럼 이야기가 흐른다”며 ‘힐링 만화’로 추천한다.

독자들은	독자/NNG+들/XSN+은/JX
“보고	“/SS+보/VV+고/EC
있으면	있/VX+으면/EC
마음이	마음/NNG+이/JKS
평화롭다”	평화/NNG+롭/XSA+다/EF+”/SS
“강물처럼	“/SS+강물/NNG+처럼/JKB
이야기가	이야기/NNG+가/JKS
흐른다”며	흐르/VV+ㄴ다/EF+”/SS+며/EC
‘힐링	‘/SS+힐링/NNG
만화’로	만화/NNG+’/SS+로/JKB
추천한다.	추천/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.152.6.1
지난달 30일 서울 동작구 상도동 학산문화사 사무실에서 웹툰 작가 중 최고 학력자인 신인 만화가 손 씨를 만났다.

지난달	지난달/NNG
30일	30/SN+일/NNB
서울	서울/NNP
동작구	동작구/NNP
상도동	상도동/NNP
학산문화사	학산문화사/NNP
사무실에서	사무실/NNG+에서/JKB
웹툰	웹툰/NNG
작가	작가/NNG
중	중/NNB
최고	최고/NNG
학력자인	학력자/NNG+이/VCP+ㄴ/ETM
신인	신인/NNG
만화가	만화가/NNG
손	손/NNP
씨를	씨/NNB+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.152.6.2
정말 만화가가 되려고 오랫동안 공부를 했을까.

정말	정말/MAG
만화가가	만화가/NNG+가/JKC
되려고	되/VV+려고/EC
오랫동안	오랫동안/NNG
공부를	공부/NNG+를/JKO
했을까.	하/VV+았/EP+을까/EF+./SF


# id : NWRW1800000037.152.6.3
반복해 물었지만 답은 똑같았다.

반복해	반복/NNG+하/XSV+아/EC
물었지만	묻/VV+었/EP+지만/EC
답은	답/NNG+은/JX
똑같았다.	똑같/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.152.7.1
“어릴 때부터 만화 보는 걸 좋아했어요.

“어릴	“/SS+어리/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
만화	만화/NNG
보는	보/VV+는/ETM
걸	거/NNB+ㄹ/JKO
좋아했어요.	좋아하/VV+았/EP+어요/EF+./SF
