# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.268
metadata : {}


# id : NWRW1800000038.268.1.1
청소년대표팀의 득점 콤비, 고교축구 왕좌 놓고 격돌

청소년대표팀의	청소년/NNG+대표/NNG+팀/NNG+의/JKG
득점	득점/NNG
콤비,	콤비/NNG+,/SP
고교축구	고교/NNG+축구/NNG
왕좌	왕좌/NNG
놓고	놓/VV+고/EC
격돌	격돌/NNG


# id : NWRW1800000038.268.2.1
포항제철고·전주영생고 오늘 고교축구선수권 결승

포항제철고·전주영생고	포항제철고/NNP+·/SP+전주영생고/NNP
오늘	오늘/NNG
고교축구선수권	고교/NNG+축구/NNG+선수/NNG+권/XSN
결승	결승/NNG


# id : NWRW1800000038.268.3.1
고교 축구 최강을 가리는 제68회 전국고교축구선수권대회 겸 전국고등축구리그 왕중왕전(조선일보·대한축구협회·교육부·문화체육관광부 공동 주최) 결승이 16일 정오 서울월드컵경기장에서 열린다.

고교	고교/NNG
축구	축구/NNG
최강을	최강/NNG+을/JKO
가리는	가리/VV+는/ETM
제68회	제/XPN+68/SN+회/NNB
전국고교축구선수권대회	전국/NNG+고교/NNG+축구/NNG+선수/NNG+권/XSN+대회/NNG
겸	겸/NNB
전국고등축구리그	전국/NNG+고등/NNG+축구/NNG+리그/NNG
왕중왕전(조선일보·대한축구협회·교육부·문화체육관광부	왕중왕전/NNG+(/SS+조선일보/NNP+·/SP+대한축구협회/NNP+·/SP+교육부/NNG+·/SP+문화/NNG+체육/NNG+관광부/NNG
공동	공동/NNG
주최)	주최/NNG+)/SS
결승이	결승/NNG+이/JKS
16일	16/SN+일/NNB
정오	정오/NNG
서울월드컵경기장에서	서울월드컵경기장/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.268.3.2
이번 결승전은 프로축구 유스팀의 맞대결로 펼쳐지게 됐다.

이번	이번/NNG
결승전은	결승전/NNG+은/JX
프로축구	프로/NNG+축구/NNG
유스팀의	유스팀/NNG+의/JKG
맞대결로	맞대결/NNG+로/JKB
펼쳐지게	펼쳐지/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.268.3.3
포항 스틸러스의 18세 이하(U―18)팀인 포항제철고와 전북 현대의 U―18팀 전주영생고가 챔피언을 놓고 맞붙는다.

포항	포항/NNP
스틸러스의	스틸러스/NNP+의/JKG
18세	18/SN+세/NNB
이하(U―18)팀인	이하/NNG+(/SS+U/SL+―/SS+18/SN+)/SS+팀/NNG+이/VCP+ㄴ/ETM
포항제철고와	포항제철고/NNP+와/JKB
전북	전북/NNP
현대의	현대/NNP+의/JKG
U―18팀	U/SL+―/SS+18/SN+팀/NNG
전주영생고가	전주영생고/NNP+가/JKS
챔피언을	챔피언/NNG+을/JKO
놓고	놓/VV+고/EC
맞붙는다.	맞붙/VV+는다/EF+./SF


# id : NWRW1800000038.268.4.1
포항제철고는 작년까지 포항의 U―18팀이었던 포항제철공고 축구팀이 감독부터 선수까지 그대로 옮겨 올해 새로 창단한 팀이다.

포항제철고는	포항제철고/NNP+는/JX
작년까지	작년/NNG+까지/JX
포항의	포항/NNP+의/JKG
U―18팀이었던	U/SL+―/SS+18/SN+팀/NNG+이/VCP+었/EP+던/ETM
포항제철공고	포항제철공고/NNP
축구팀이	축구팀/NNG+이/JKS
감독부터	감독/NNG+부터/JX
선수까지	선수/NNG+까지/JX
그대로	그대로/MAG
옮겨	옮기/VV+어/EC
올해	올해/NNG
새로	새로/MAG
창단한	창단/NNG+하/XSV+ㄴ/ETM
팀이다.	팀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.268.4.2
포항제철고는 올해 챌린지리그(K리그 18세 이하팀 리그) 3연패(連覇)를 이뤘다.

포항제철고는	포항제철고/NNP+는/JX
올해	올해/NNG
챌린지리그(K리그	챌린지리그/NNG+(/SS+K/SL+리그/NNG
18세	18/SN+세/NNB
이하팀	이하/NNG+팀/NNG
리그)	리그/NNG+)/SS
3연패(連覇)를	3/SN+연패/NNG+(/SS+連覇/SH+)/SS+를/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.268.4.3
이번 대회에서 우승하면 최초로 챌린지리그와 고교축구선수권 '더블' 우승을 달성하게 된다.

이번	이번/NNG
대회에서	대회/NNG+에서/JKB
우승하면	우승/NNG+하/XSV+면/EC
최초로	최초/NNG+로/JKB
챌린지리그와	챌린지리그/NNG+와/JC
고교축구선수권	고교/NNG+축구/NNG+선수/NNG+권/XSN
'더블'	'/SS+더블/NNG+'/SS
우승을	우승/NNG+을/JKO
달성하게	달성/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.268.4.4
이창원(38) 포항제철고 감독은 "늘 해오던 우리만의 패스 축구로 고교 챔피언에 오르겠다"고 말했다.

이창원(38)	이창원/NNP+(/SS+38/SN+)/SS
포항제철고	포항제철고/NNP
감독은	감독/NNG+은/JX
"늘	"/SS+늘/MAG
해오던	하/VV+아/EC+오/VX+던/ETM
우리만의	우리/NP+만/JX+의/JKG
패스	패스/NNG
축구로	축구/NNG+로/JKB
고교	고교/NNG
챔피언에	챔피언/NNG+에/JKB
오르겠다"고	오르/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.268.5.1
"황선홍 포항 감독이 우상"이라는 2학년 스트라이커 황희찬(17)은 9골을 집어넣으며 개인 득점 1위에 올라 있다.

"황선홍	"/SS+황선홍/NNP
포항	포항/NNP
감독이	감독/NNG+이/JKS
우상"이라는	우상/NNG+"/SS+이/VCP+라는/ETM
2학년	2/SN+학년/NNG
스트라이커	스트라이커/NNG
황희찬(17)은	황희찬/NNP+(/SS+17/SN+)/SS+은/JX
9골을	9/SN+골/NNG+을/JKO
집어넣으며	집어넣/VV+으며/EC
개인	개인/NNG
득점	득점/NNG
1위에	1/SN+위/NNB+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.268.5.2
그의 뒤를 '야전사령관' 이광혁(18)이 받친다.

그의	그/NP+의/JKG
뒤를	뒤/NNG+를/JKO
'야전사령관'	'/SS+야전/NNG+사령관/NNG+'/SS
이광혁(18)이	이광혁/NNP+(/SS+18/SN+)/SS+이/JKS
받친다.	받치/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.268.6.1
2009년 K리그의 유스팀 육성 정책에 의해 창단된 전주영생고는 챌린지리그에서 7위(7승3무6패)를 기록하며 고교축구선수권행(行) 막차를 탔다.

2009년	2009/SN+년/NNB
K리그의	K/SL+리그/NNG+의/JKG
유스팀	유스팀/NNG
육성	육성/NNG
정책에	정책/NNG+에/JKB
의해	의하/VV+아/EC
창단된	창단/NNG+되/XSV+ㄴ/ETM
전주영생고는	전주영생고/NNP+는/JX
챌린지리그에서	챌린지리그/NNG+에서/JKB
7위(7승3무6패)를	7/SN+위/NNB+(/SS+7/SN+승/NNB+3/SN+무/NNB+6/SN+패/NNB+)/SS+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
고교축구선수권행(行)	고교/NNG+축구/NNG+선수권행/NNG+(/SS+行/SH+)/SS
막차를	막차/NNG+를/JKO
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.268.6.2
올 시즌 챌린지리그에선 포항제철고와 한 번 상대해 2대0으로 승리한 경험이 있다.

올	올/NNG
시즌	시즌/NNG
챌린지리그에선	챌린지리그/NNG+에서/JKB+ㄴ/JX
포항제철고와	포항제철고/NNP+와/JKB
한	한/MMN
번	번/NNB
상대해	상대/NNG+하/XSV+아/EC
2대0으로	2/SN+대/NNB+0/SN+으로/JKB
승리한	승리/NNG+하/XSV+ㄴ/ETM
경험이	경험/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.268.6.3
고교축구선수권 최고 성적은 작년 32강 진출이다.

고교축구선수권	고교/NNG+축구/NNG+선수/NNG+권/XSN
최고	최고/NNG
성적은	성적/NNG+은/JX
작년	작년/NNG
32강	32/SN+강/NNB
진출이다.	진출/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.268.6.4
김경량(40) 전주영생고 감독은 "선수들과 '갈 데까지 가보자'며 의기투합했다"고 말했다.

김경량(40)	김경량/NNP+(/SS+40/SN+)/SS
전주영생고	전주영생고/NNP
감독은	감독/NNG+은/JX
"선수들과	"/SS+선수/NNG+들/XSN+과/JKB
'갈	'/SS+가/VV+ㄹ/ETM
데까지	데/NNB+까지/JX
가보자'며	가/VV+아/EC+보/VX+자/EF+'/SS+며/EC
의기투합했다"고	의기투합/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.268.7.1
영생고의 공격은 챌린지리그 득점왕(13골)이자 도움 2위(7도움)를 기록한 김신(18)이 이끈다.

영생고의	영생고/NNP+의/JKG
공격은	공격/NNG+은/JX
챌린지리그	챌린지리그/NNG
득점왕(13골)이자	득점왕/NNG+(/SS+13/SN+골/NNG+)/SS+이/VCP+자/EC
도움	도움/NNG
2위(7도움)를	2/SN+위/NNB+(/SS+7/SN+도움/NNG+)/SS+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
