# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.286
metadata : {}


# id : NWRW1800000026.286.1.1
남는가 떠나는가 與野 '김태호 빅딜' 무산;"장관 2명 철회할테니 총리 봐달라" "No" 오늘 임명동의안 표결

남는가	남/VV+는가/EF
떠나는가	떠나/VV+는가/EF
與野	與野/SH
'김태호	'/SS+김태호/NNP
빅딜'	빅딜/NNG+'/SS
무산;"장관	무산/NNG+;/SW+"/SS+장관/NNG
2명	2/SN+명/NNB
철회할테니	철회/NNG+하/XSV+ㄹ/ETM+터/NNB+이/VCP+니/EC
총리	총리/NNG
봐달라"	보/VV+아/EC+달/VX+라/EF+"/SS
"No"	"/SS+No/SL+"/SS
오늘	오늘/MAG
임명동의안	임명/NNG+동의안/NNG
표결	표결/NNG


# id : NWRW1800000026.286.2.1
한나라당이 김태호 국무총리 후보자에 대한 국회 임명동의안을 야당이 처리해주면 장관·청장 후보자 가운데 1~2명은 내정을 철회할 수 있다고 민주당에 제의했으나 거부당한 것으로 알려졌다.

한나라당이	한나라당/NNP+이/JKS
김태호	김태호/NNP
국무총리	국무총리/NNG
후보자에	후보자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국회	국회/NNG
임명동의안을	임명/NNG+동의안/NNG+을/JKO
야당이	야당/NNG+이/JKS
처리해주면	처리/NNG+하/XSV+아/EC+주/VX+면/EC
장관·청장	장관/NNG+·/SP+청장/NNG
후보자	후보자/NNG
가운데	가운데/NNG
1~2명은	1/SN+~/SO+2/SN+명/NNB+은/JX
내정을	내정/NNG+을/JKO
철회할	철회/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
민주당에	민주당/NNP+에/JKB
제의했으나	제의/NNG+하/XSV+았/EP+으나/EC
거부당한	거부/NNG+당하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알리/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.286.2.2
이에 따라 한나라당은 27일 예정대로 김 후보자에 대한 임명동의안 표결 절차를 시작하겠다고 밝혔고, 민주당을 포함한 야 5당이 결사 저지 방침이어서 정국이 급랭할 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
한나라당은	한나라당/NNP+은/JX
27일	27/SN+일/NNB
예정대로	예정/NNG+대로/JX
김	김/NNP
후보자에	후보자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
임명동의안	임명/NNG+동의안/NNG
표결	표결/NNG
절차를	절차/NNG+를/JKO
시작하겠다고	시작/NNG+하/XSV+겠/EP+다고/EC
밝혔고,	밝히/VV+었/EP+고/EC+,/SP
민주당을	민주당/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
야	야/NNG
5당이	5/SN+당/NNG+이/JKS
결사	결사/NNG
저지	저지/NNG
방침이어서	방침/NNG+이/VCP+어서/EC
정국이	정국/NNG+이/JKS
급랭할	급랭/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.286.2.3
관련기사 A6·8면

관련기사	관련/NNG+기사/NNG
A6·8면	A/SL+6/SN+·/SP+8/SN+면/NNG


# id : NWRW1800000026.286.3.1
한나라당 김무성, 민주당 박지원 원내대표는 26일 김 후보자의 인사청문 경과보고서 채택과 임명동의안 표결 처리를 놓고 협의했으나 접점을 찾지 못했다.

한나라당	한나라당/NNP
김무성,	김무성/NNP+,/SP
민주당	민주당/NNP
박지원	박지원/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
26일	26/SN+일/NNB
김	김/NNP
후보자의	후보자/NNG+의/JKG
인사청문	인사/NNG+청문/NNG
경과보고서	경과/NNG+보고서/NNG
채택과	채택/NNG+과/JC
임명동의안	임명/NNG+동의안/NNG
표결	표결/NNG
처리를	처리/NNG+를/JKO
놓고	놓/VV+고/EC
협의했으나	협의/NNG+하/XSV+았/EP+으나/EC
접점을	접점/NNG+을/JKO
찾지	찾/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.286.3.2
한나라당은 여야 협상 과정에서 김 총리 후보자를 살려주면, 장관·청장 후보자 가운데 1~2명을 야당 뜻대로 하겠다는 뜻을 민주당에 전달한 것으로 알려졌으나, 김 원내대표는 이에 대해 "말할 수 없다"고 했다.

한나라당은	한나라당/NNP+은/JX
여야	여야/NNG
협상	협상/NNG
과정에서	과정/NNG+에서/JKB
김	김/NNP
총리	총리/NNG
후보자를	후보자/NNG+를/JKO
살려주면,	살리/VV+어/EC+주/VX+면/EC+,/SP
장관·청장	장관/NNG+·/SP+청장/NNG
후보자	후보자/NNG
가운데	가운데/NNG
1~2명을	1/SN+~/SO+2/SN+명/NNB+을/JKO
야당	야당/NNG
뜻대로	뜻/NNG+대로/JX
하겠다는	하/VV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
민주당에	민주당/NNP+에/JKB
전달한	전달/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌으나,	알리/VV+어/EC+지/VX+었/EP+으나/EC+,/SP
원내대표는	원내/NNG+대표/NNG+는/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
"말할	"/SS+말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.286.4.1
민주당을 비롯한 야권은 27일 국무총리인사청문특위의 인사청문 경과보고서 채택부터 거부하는 한편 한나라당이 강행 처리해 국회 본회의에 올릴 경우 몸싸움도 불사한다는 방침을 정했다.

민주당을	민주당/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
야권은	야권/NNG+은/JX
27일	27/SN+일/NNB
국무총리인사청문특위의	국무총리/NNG+인사/NNG+청문/NNG+특위/NNG+의/JKG
인사청문	인사/NNG+청문/NNG
경과보고서	경과/NNG+보고서/NNG
채택부터	채택/NNG+부터/JX
거부하는	거부/NNG+하/XSV+는/ETM
한편	한편/NNG
한나라당이	한나라당/NNP+이/JKS
강행	강행/NNG
처리해	처리/NNG+하/XSV+아/EC
국회	국회/NNG
본회의에	본회의/NNG+에/JKB
올릴	올리/VV+ㄹ/ETM
경우	경우/NNG
몸싸움도	몸싸움/NNG+도/JX
불사한다는	불사/NNG+하/XSV+ㄴ다는/ETM
방침을	방침/NNG+을/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.286.5.1
민주당은 총리·장관·청장 후보자 10명 가운데 이재오 특임·유정복 농림수산식품부·박재완 고용노동부 후보자만 통과시키고 나머지 7명에 대해서는 반대 입장을 분명히 했다.

민주당은	민주당/NNP+은/JX
총리·장관·청장	총리/NNG+·/SP+장관/NNG+·/SP+청장/NNG
후보자	후보자/NNG
10명	10/SN+명/NNB
가운데	가운데/NNG
이재오	이재오/NNP
특임·유정복	특임/NNG+·/SP+유정복/NNP
농림수산식품부·박재완	농림/NNG+수산/NNG+식품부/NNG+·/SP+박재완/NNP
고용노동부	고용/NNG+노동부/NNG
후보자만	후보자/NNG+만/JX
통과시키고	통과/NNG+시키/XSV+고/EC
나머지	나머지/NNG
7명에	7/SN+명/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
반대	반대/NNG
입장을	입장/NNG+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.286.5.2
박지원 민주당 비상대책위 대표는 "4+1, 즉 이명박 정부의 4대 필수 과목인 위장 전입, 부동산 투기, 세금 탈루, 병역 기피에 더해 논문 표절에 해당되는 후보자는 어떤 경우에도 반대해야 한다"고 말했다.

박지원	박지원/NNP
민주당	민주당/NNP
비상대책위	비상/NNG+대책위/NNG
대표는	대표/NNG+는/JX
"4+1,	"/SS+4/SN++/SW+1/SN+,/SP
즉	즉/MAG
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
4대	4/SN+대/NNG
필수	필수/NNG
과목인	과목/NNG+이/VCP+ㄴ/ETM
위장	위장/NNG
전입,	전입/NNG+,/SP
부동산	부동산/NNG
투기,	투기/NNG+,/SP
세금	세금/NNG
탈루,	탈루/NNG+,/SP
병역	병역/NNG
기피에	기피/NNG+에/JKB
더해	더/MAG+하/XSV+아/EC
논문	논문/NNG
표절에	표절/NNG+에/JKB
