# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.185
metadata : {}


# id : NWRW1800000041.185.1.1
이벤트업체 희생자 최정운씨 ‘잊혀진 죽음’

이벤트업체	이벤트/NNG+업체/NNG
희생자	희생자/NNG
최정운씨	최정운/NNP+씨/NNB
‘잊혀진	‘/SS+잊히/VV+어/EC+지/VX+ㄴ/ETM
죽음’	죽음/NNG+’/SS


# id : NWRW1800000041.185.2.1
빈소엔 찾는이 없고 입관도 못해… 부친-베트남 아내 쓸쓸히 지켜

빈소엔	빈소/NNG+에/JKB+ㄴ/JX
찾는이	찾/VV+는/ETM+이/NNB
없고	없/VA+고/EC
입관도	입관/NNG+도/JX
못해…	못/MAG+하/VV+아/EF+…/SE
부친-베트남	부친/NNG+-/SO+베트남/NNP
아내	아내/NNG
쓸쓸히	쓸쓸히/MAG
지켜	지키/VV+어/EF


# id : NWRW1800000041.185.3.1
이벤트 업체 직원 최정운 씨(43·사진)는 10명의 목숨을 앗아간 경주 마우나오션리조트 체육관 붕괴사고의 희생자 중 한 명이다.

이벤트	이벤트/NNG
업체	업체/NNG
직원	직원/NNG
최정운	최정운/NNP
씨(43·사진)는	씨/NNB+(/SS+43/SN+·/SP+사진/NNG+)/SS+는/JX
10명의	10/SN+명/NNB+의/JKG
목숨을	목숨/NNG+을/JKO
앗아간	앗/VV+아/EC+가/VX+ㄴ/ETM
경주	경주/NNP
마우나오션리조트	마우나오션리조트/NNP
체육관	체육관/NNG
붕괴사고의	붕괴/NNG+사고/NNG+의/JKG
희생자	희생자/NNG
중	중/NNB
한	한/MMN
명이다.	명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.185.3.2
하지만 부산외국어대생들과 달리 그에 대한 관심은 싸늘한 시신만큼 차갑다.

하지만	하지만/MAJ
부산외국어대생들과	부산외국어대/NNP+생/XSN+들/XSN+과/JKB
달리	달리/MAG
그에	그/NP+에/JKB
대한	대하/VV+ㄴ/ETM
관심은	관심/NNG+은/JX
싸늘한	싸늘하/VA+ㄴ/ETM
시신만큼	시신/NNG+만큼/JKB
차갑다.	차갑/VA+다/EF+./SF


# id : NWRW1800000041.185.3.3
그의 시신은 현재 입관도 못한 채 부산 수영구 광안동 좋은강안병원 영안실에 안치돼 있다.

그의	그/NP+의/JKG
시신은	시신/NNG+은/JX
현재	현재/MAG
입관도	입관/NNG+도/JX
못한	못/MAG+하/VV+ㄴ/ETM
채	채/NNB
부산	부산/NNP
수영구	수영구/NNP
광안동	광안동/NNP
좋은강안병원	좋은강안병원/NNP
영안실에	영안실/NNG+에/JKB
안치돼	안치/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.185.3.4
아무런 보상 협의 없이 장례 절차를 진행할 수 없기 때문이다.

아무런	아무런/MMD
보상	보상/NNG
협의	협의/NNG
없이	없이/MAG
장례	장례/NNG
절차를	절차/NNG+를/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.185.4.1
그는 17일 사고 당시 오리엔테이션의 모든 장면을 놓치지 않고 카메라에 담는 촬영 담당이었다.

그는	그/NP+는/JX
17일	17/SN+일/NNB
사고	사고/NNG
당시	당시/NNG
오리엔테이션의	오리엔테이션/NNG+의/JKG
모든	모든/MMN
장면을	장면/NNG+을/JKO
놓치지	놓치/VV+지/EC
않고	않/VX+고/EC
카메라에	카메라/NNG+에/JKB
담는	담/VV+는/ETM
촬영	촬영/NNG
담당이었다.	담당/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.185.4.2
체육관 중앙에서 6mm 캠코더로 현장 상황을 일일이 담았다.

체육관	체육관/NNG
중앙에서	중앙/NNG+에서/JKB
6mm	6/SN+mm/SW
캠코더로	캠코더/NNG+로/JKB
현장	현장/NNG
상황을	상황/NNG+을/JKO
일일이	일일이/MAG
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.185.4.3
그는 체육관이 무너져 내리는 순간까지 카메라를 손에서 떼지 않았다.

그는	그/NP+는/JX
체육관이	체육관/NNG+이/JKS
무너져	무너지/VV+어/EC
내리는	내리/VV+는/ETM
순간까지	순간/NNG+까지/JX
카메라를	카메라/NNG+를/JKO
손에서	손/NNG+에서/JKB
떼지	떼/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.185.4.4
그가 촬영한 행사 장면과 붕괴사고 순간도 경찰수사에 중요한 단서가 되고 있는 것으로 알려졌다.

그가	그/NP+가/JKS
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
행사	행사/NNG
장면과	장면/NNG+과/JC
붕괴사고	붕괴/NNG+사고/NNG
순간도	순간/NNG+도/JX
경찰수사에	경찰/NNG+수사/NNG+에/JKB
