# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.350
metadata : {}


# id : NWRW1800000022.350.1.1
공무원이 풀지 못한 교통문제, 과학이 풀어내다;비용 줄이고 편의성 높이는 버스 운송 최적화 기법 개발 병원·학교 효과적 배치 등 포스텍·KAIST 과학자들 공공정책 해법 잇달아 제시

공무원이	공무원/NNG+이/JKS
풀지	풀/VV+지/EC
못한	못하/VX+ㄴ/ETM
교통문제,	교통/NNG+문제/NNG+,/SP
과학이	과학/NNG+이/JKS
풀어내다;비용	풀어내/VV+다/EF+;/SP+비용/NNG
줄이고	줄이/VV+고/EC
편의성	편의/NNG+성/XSN
높이는	높이/VV+는/ETM
버스	버스/NNG
운송	운송/NNG
최적화	최적/NNG+화/XSN
기법	기법/NNG
개발	개발/NNG
병원·학교	병원/NNG+·/SP+학교/NNG
효과적	효과/NNG+적/XSN
배치	배치/NNG
등	등/NNB
포스텍·KAIST	포스텍/NNP+·/SP+KAIST/SL
과학자들	과학자/NNG+들/XSN
공공정책	공공/NNG+정책/NNG
해법	해법/NNG
잇달아	잇달/VV+아/EC
제시	제시/NNG


# id : NWRW1800000022.350.2.1
수만 대의 버스가 도시를 다니지만 사람들은 늘 배차 시간이나 노선에 불만이다.

수만	수만/NR
대의	대/NNB+의/JKG
버스가	버스/NNG+가/JKS
도시를	도시/NNG+를/JKO
다니지만	다니/VV+지만/EC
사람들은	사람/NNG+들/XSN+은/JX
늘	늘/MAG
배차	배차/NNG
시간이나	시간/NNG+이나/JC
노선에	노선/NNG+에/JKB
불만이다.	불만/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.350.2.2
공무원들이 머리를 싸매고 대책을 마련하지만 불만이 줄어들지 않는다.

공무원들이	공무원/NNG+들/XSN+이/JKS
머리를	머리/NNG+를/JKO
싸매고	싸매/VV+고/EC
대책을	대책/NNG+을/JKO
마련하지만	마련/NNG+하/XSV+지만/EC
불만이	불만/NNG+이/JKS
줄어들지	줄어들/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.350.2.3
보건소나 학교를 어디에 세울지 결정하기도 까다롭기는 마찬가지다.

보건소나	보건소/NNG+나/JC
학교를	학교/NNG+를/JKO
어디에	어디/NP+에/JKB
세울지	세우/VV+ㄹ지/EC
결정하기도	결정/NNG+하/XSV+기/ETN+도/JX
까다롭기는	까다롭/VA+기/ETN+는/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.350.2.4
국내 과학자들이 최근 이런 사회 인프라와 관련된 난제를 해결할 수 있는 해법을 잇달아 제시했다.

국내	국내/NNG
과학자들이	과학자/NNG+들/XSN+이/JKS
최근	최근/NNG
이런	이런/MMD
사회	사회/NNG
인프라와	인프라/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
난제를	난제/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
해법을	해법/NNG+을/JKO
잇달아	잇달/VV+아/EC
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.350.2.5
과학에 기반을 둔 정책으로 비용 절감과 편의성 향상이라는 두 마리 토끼를 모두 잡으려는 것이다.

과학에	과학/NNG+에/JKB
기반을	기반/NNG+을/JKO
둔	두/VV+ㄴ/ETM
정책으로	정책/NNG+으로/JKB
비용	비용/NNG
절감과	절감/NNG+과/JC
편의성	편의/NNG+성/XSN
향상이라는	향상/NNG+이/VCP+라는/ETM
두	두/MMN
마리	마리/NNB
토끼를	토끼/NNG+를/JKO
모두	모두/MAG
잡으려는	잡/VV+으려는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.350.3.1
◆버스 노선 최적화로 연간 1600여억원 절감

◆버스	◆/SW+버스/NNG
노선	노선/NNG
최적화로	최적/NNG+화/XSN+로/JKB
연간	연간/NNG
1600여억원	1600/SN+여/XSN+억/NR+원/NNB
절감	절감/NNG


# id : NWRW1800000022.350.4.1
버스 노선은 거미줄 이상으로 복잡하다.

버스	버스/NNG
노선은	노선/NNG+은/JX
거미줄	거미줄/NNG
이상으로	이상/NNG+으로/JKB
복잡하다.	복잡하/VA+다/EF+./SF


# id : NWRW1800000022.350.4.2
수천 개의 정류장을 다니는 버스들이 가능한 한 중복되지 않게 하면서 승객들을 효율적으로 수송하는 문제는 학계에서도 고난도의 문제로 분류된다.

수천	수천/NR
개의	개/NNB+의/JKG
정류장을	정류장/NNG+을/JKO
다니는	다니/VV+는/ETM
버스들이	버스/NNG+들/XSN+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
한	한/NNG
중복되지	중복/NNG+되/XSV+지/EC
않게	않/VX+게/EC
하면서	하/VX+면서/EC
승객들을	승객/NNG+들/XSN+을/JKO
효율적으로	효율/NNG+적/XSN+으로/JKB
수송하는	수송/NNG+하/XSV+는/ETM
문제는	문제/NNG+는/JX
학계에서도	학계/NNG+에서/JKB+도/JX
고난도의	고/XPN+난도/NNG+의/JKG
문제로	문제/NNG+로/JKB
분류된다.	분류/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.350.4.3
포스텍(포항공대) 산업경영공학과 김병인 교수팀은 지리정보시스템(GIS)과 컴퓨터 모의실험을 결합해 버스 운송을 최적화하는 기법을 개발했다.

포스텍(포항공대)	포스텍/NNP+(/SS+포항공대/NNP+)/SS
산업경영공학과	산업/NNG+경영/NNG+공학과/NNG
김병인	김병인/NNP
교수팀은	교수/NNG+팀/NNG+은/JX
지리정보시스템(GIS)과	지리/NNG+정보/NNG+시스템/NNG+(/SS+GIS/SL+)/SS+과/JC
컴퓨터	컴퓨터/NNG
모의실험을	모의실험/NNG+을/JKO
결합해	결합/NNG+하/XSV+아/EC
버스	버스/NNG
운송을	운송/NNG+을/JKO
최적화하는	최적/NNG+화/XSN+하/XSV+는/ETM
기법을	기법/NNG+을/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.350.5.1
연구진은 1만 대의 버스가 4000개의 버스 정류장을 통과하면서 200개의 종점으로 각기 향하는 운송 시스템을 가정했다.

연구진은	연구진/NNG+은/JX
1만	1/SN+만/NR
대의	대/NNB+의/JKG
버스가	버스/NNG+가/JKS
4000개의	4000/SN+개/NNB+의/JKG
버스	버스/NNG
정류장을	정류장/NNG+을/JKO
통과하면서	통과/NNG+하/XSV+면서/EC
200개의	200/SN+개/NNB+의/JKG
종점으로	종점/NNG+으로/JKB
각기	각기/MAG
향하는	향하/VV+는/ETM
운송	운송/NNG
시스템을	시스템/NNG+을/JKO
가정했다.	가정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.350.5.2
일단 지리정보시스템이 제공하는 버스 경로별 거리와 비용을 컴퓨터에 입력했다.

일단	일단/MAG
지리정보시스템이	지리/NNG+정보/NNG+시스템/NNG+이/JKS
제공하는	제공/NNG+하/XSV+는/ETM
버스	버스/NNG
경로별	경로/NNG+별/XSN
거리와	거리/NNG+와/JC
비용을	비용/NNG+을/JKO
컴퓨터에	컴퓨터/NNG+에/JKB
입력했다.	입력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.350.6.1
다음엔 수억 개의 가능한 버스 노선 중에서 경로가 겹치는 노선을 찾아내 제외했다.

다음엔	다음/NNG+에/JKB+ㄴ/JX
수억	수억/NR
개의	개/NNB+의/JKG
가능한	가능/NNG+하/XSA+ㄴ/ETM
버스	버스/NNG
노선	노선/NNG
중에서	중/NNB+에서/JKB
경로가	경로/NNG+가/JKS
겹치는	겹치/VV+는/ETM
노선을	노선/NNG+을/JKO
찾아내	찾아내/VV+어/EC
제외했다.	제외/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.350.6.2
중첩된 노선을 제외하면 비용 절감은 가능하지만, 승객의 불편함이 생길 수 있다.

중첩된	중첩/NNG+되/XSV+ㄴ/ETM
노선을	노선/NNG+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
비용	비용/NNG
절감은	절감/NNG+은/JX
가능하지만,	가능/NNG+하/XSA+지만/EC+,/SP
승객의	승객/NNG+의/JKG
불편함이	불편/NNG+하/XSA+ㅁ/ETN+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.350.6.3
김 교수팀은 기존에 시민이 누리는 편리성은 보장하면서 중첩된 노선을 최대한 제외하는 방식으로 최적화된 버스 노선을 찾아낼 수 있는 컴퓨터 프로그램을 독자 개발했다.

김	김/NNP
교수팀은	교수/NNG+팀/NNG+은/JX
기존에	기존/NNG+에/JKB
시민이	시민/NNG+이/JKS
누리는	누리/VV+는/ETM
편리성은	편리/NNG+성/XSN+은/JX
보장하면서	보장/NNG+하/XSV+면서/EC
중첩된	중첩/NNG+되/XSV+ㄴ/ETM
노선을	노선/NNG+을/JKO
최대한	최대한/MAG
제외하는	제외/NNG+하/XSV+는/ETM
